Encompass Health Rehabilitation Hospital of Panama City ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL PREFERRED PAT CARE (BCFP) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,COVENTRY NATIONAL (CHCN) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-C,NA,NA,$24980.76,$30239.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26295.54,NA,NA,NA,NA,NA,NA,NA,$26295.54,NA,NA,$30239.87,$26295.54,NA,$26295.54,$26295.54,NA,$24980.76,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-D,NA,NA,$21817.59,$26410.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22965.88,NA,NA,NA,NA,NA,NA,NA,$22965.88,NA,NA,$26410.76,$22965.88,NA,$22965.88,$22965.88,NA,$21817.59,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-A,NA,NA,$12523.42,$15159.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13182.55,NA,NA,NA,NA,NA,NA,NA,$13182.55,NA,NA,$15159.93,$13182.55,NA,$13182.55,$13182.55,NA,$12523.42,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-B,NA,NA,$20471.59,$24781.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21549.04,NA,NA,NA,NA,NA,NA,NA,$21549.04,NA,NA,$24781.39,$21549.04,NA,$21549.04,$21549.04,NA,$20471.59,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-C,NA,NA,$13639.58,$16511.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14357.46,NA,NA,NA,NA,NA,NA,NA,$14357.46,NA,NA,$16511.07,$14357.46,NA,$14357.46,$14357.46,NA,$13639.58,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-D,NA,NA,$13639.58,$16511.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14357.46,NA,NA,NA,NA,NA,NA,NA,$14357.46,NA,NA,$16511.07,$14357.46,NA,$14357.46,$14357.46,NA,$13639.58,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-A,NA,NA,$15735.44,$19048.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16563.62,NA,NA,NA,NA,NA,NA,NA,$16563.62,NA,NA,$19048.16,$16563.62,NA,$16563.62,$16563.62,NA,$15735.44,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-B,NA,NA,$25723.44,$31138.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27077.30,NA,NA,NA,NA,NA,NA,NA,$27077.30,NA,NA,$31138.90,$27077.30,NA,$27077.30,$27077.30,NA,$25723.44,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-C,NA,NA,$17137.46,$20745.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18039.44,NA,NA,NA,NA,NA,NA,NA,$18039.44,NA,NA,$20745.35,$18039.44,NA,$18039.44,$18039.44,NA,$17137.46,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-D,NA,NA,$17137.46,$20745.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18039.44,NA,NA,NA,NA,NA,NA,NA,$18039.44,NA,NA,$20745.35,$18039.44,NA,$18039.44,$18039.44,NA,$17137.46,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-A,NA,NA,$18292.41,$22143.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19255.17,NA,NA,NA,NA,NA,NA,NA,$19255.17,NA,NA,$22143.45,$19255.17,NA,$19255.17,$19255.17,NA,$18292.41,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-B,NA,NA,$29900.78,$36195.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31474.51,NA,NA,NA,NA,NA,NA,NA,$31474.51,NA,NA,$36195.68,$31474.51,NA,$31474.51,$31474.51,NA,$29900.78,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-C,NA,NA,$19919.97,$24113.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20968.39,NA,NA,NA,NA,NA,NA,NA,$20968.39,NA,NA,$24113.65,$20968.39,NA,$20968.39,$20968.39,NA,$19919.97,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-D,NA,NA,$19919.97,$24113.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20968.39,NA,NA,NA,NA,NA,NA,NA,$20968.39,NA,NA,$24113.65,$20968.39,NA,$20968.39,$20968.39,NA,$19919.97,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-A,NA,NA,$19224.70,$23272.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20236.53,NA,NA,NA,NA,NA,NA,NA,$20236.53,NA,NA,$23272.01,$20236.53,NA,$20236.53,$20236.53,NA,$19224.70,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-B,NA,NA,$31426.35,$38042.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33080.36,NA,NA,NA,NA,NA,NA,NA,$33080.36,NA,NA,$38042.42,$33080.36,NA,$33080.36,$33080.36,NA,$31426.35,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-C,NA,NA,$20937.01,$25344.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22038.96,NA,NA,NA,NA,NA,NA,NA,$22038.96,NA,NA,$25344.80,$22038.96,NA,$22038.96,$22038.96,NA,$20937.01,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-D,NA,NA,$20937.01,$25344.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22038.96,NA,NA,NA,NA,NA,NA,NA,$22038.96,NA,NA,$25344.80,$22038.96,NA,$22038.96,$22038.96,NA,$20937.01,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-A,NA,NA,$11272.23,$13645.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11865.50,NA,NA,NA,NA,NA,NA,NA,$11865.50,NA,NA,$13645.33,$11865.50,NA,$11865.50,$11865.50,NA,$11272.23,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-B,NA,NA,$16199.43,$19609.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17052.03,NA,NA,NA,NA,NA,NA,NA,$17052.03,NA,NA,$19609.84,$17052.03,NA,$17052.03,$17052.03,NA,$16199.43,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-C,NA,NA,$13375.27,$16191.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14079.23,NA,NA,NA,NA,NA,NA,NA,$14079.23,NA,NA,$16191.11,$14079.23,NA,$14079.23,$14079.23,NA,$13375.27,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-D,NA,NA,$12697.24,$15370.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13365.51,NA,NA,NA,NA,NA,NA,NA,$13365.51,NA,NA,$15370.34,$13365.51,NA,$13365.51,$13365.51,NA,$12697.24,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-A,NA,NA,$15423.72,$18670.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16235.49,NA,NA,NA,NA,NA,NA,NA,$16235.49,NA,NA,$18670.82,$16235.49,NA,$16235.49,$16235.49,NA,$15423.72,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-B,NA,NA,$22163.78,$26829.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23330.30,NA,NA,NA,NA,NA,NA,NA,$23330.30,NA,NA,$26829.84,$23330.30,NA,$23330.30,$23330.30,NA,$22163.78,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-C,NA,NA,$18301.03,$22153.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19264.24,NA,NA,NA,NA,NA,NA,NA,$19264.24,NA,NA,$22153.88,$19264.24,NA,$19264.24,$19264.24,NA,$18301.03,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-D,NA,NA,$17373.05,$21030.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18287.42,NA,NA,NA,NA,NA,NA,NA,$18287.42,NA,NA,$21030.54,$18287.42,NA,$18287.42,$18287.42,NA,$17373.05,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-A,NA,NA,$17779.58,$21522.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18715.35,NA,NA,NA,NA,NA,NA,NA,$18715.35,NA,NA,$21522.65,$18715.35,NA,$18715.35,$18715.35,NA,$17779.58,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-B,NA,NA,$25549.62,$30928.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26894.34,NA,NA,NA,NA,NA,NA,NA,$26894.34,NA,NA,$30928.49,$26894.34,NA,$26894.34,$26894.34,NA,$25549.62,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-C,NA,NA,$21096.46,$25537.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22206.80,NA,NA,NA,NA,NA,NA,NA,$22206.80,NA,NA,$25537.82,$22206.80,NA,$22206.80,$22206.80,NA,$21096.46,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-D,NA,NA,$20026.27,$24242.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21080.28,NA,NA,NA,NA,NA,NA,NA,$21080.28,NA,NA,$24242.33,$21080.28,NA,$21080.28,$21080.28,NA,$20026.27,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-A,NA,NA,$20609.49,$24948.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21694.20,NA,NA,NA,NA,NA,NA,NA,$21694.20,NA,NA,$24948.33,$21694.20,NA,$21694.20,$21694.20,NA,$20609.49,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-B,NA,NA,$29616.35,$35851.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31175.11,NA,NA,NA,NA,NA,NA,NA,$31175.11,NA,NA,$35851.38,$31175.11,NA,$31175.11,$31175.11,NA,$29616.35,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-C,NA,NA,$24455.00,$29603.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25742.11,NA,NA,NA,NA,NA,NA,NA,$25742.11,NA,NA,$29603.43,$25742.11,NA,$25742.11,$25742.11,NA,$24455.00,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-D,NA,NA,$23215.30,$28102.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24437.16,NA,NA,NA,NA,NA,NA,NA,$24437.16,NA,NA,$28102.74,$24437.16,NA,$24437.16,$24437.16,NA,$23215.30,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-A,NA,NA,$20868.06,$25261.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21966.38,NA,NA,NA,NA,NA,NA,NA,$21966.38,NA,NA,$25261.34,$21966.38,NA,$21966.38,$21966.38,NA,$20868.06,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-B,NA,NA,$29988.41,$36301.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31566.75,NA,NA,NA,NA,NA,NA,NA,$31566.75,NA,NA,$36301.76,$31566.75,NA,$31566.75,$31566.75,NA,$29988.41,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-C,NA,NA,$24760.98,$29973.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26064.19,NA,NA,NA,NA,NA,NA,NA,$26064.19,NA,NA,$29973.82,$26064.19,NA,$26064.19,$26064.19,NA,$24760.98,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-D,NA,NA,$23505.48,$28454.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24742.61,NA,NA,NA,NA,NA,NA,NA,$24742.61,NA,NA,$28454.00,$24742.61,NA,$24742.61,$24742.61,NA,$23505.48,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-A,NA,NA,$10895.87,$13189.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11469.33,NA,NA,NA,NA,NA,NA,NA,$11469.33,NA,NA,$13189.73,$11469.33,NA,$11469.33,$11469.33,NA,$10895.87,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-B,NA,NA,$16456.56,$19921.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17322.70,NA,NA,NA,NA,NA,NA,NA,$17322.70,NA,NA,$19921.10,$17322.70,NA,$17322.70,$17322.70,NA,$16456.56,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-C,NA,NA,$13491.62,$16331.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14201.71,NA,NA,NA,NA,NA,NA,NA,$14201.71,NA,NA,$16331.97,$14201.71,NA,$14201.71,$14201.71,NA,$13491.62,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-D,NA,NA,$12177.22,$14740.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12818.13,NA,NA,NA,NA,NA,NA,NA,$12818.13,NA,NA,$14740.85,$12818.13,NA,$12818.13,$12818.13,NA,$12177.22,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-A,NA,NA,$13688.42,$16570.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14408.87,NA,NA,NA,NA,NA,NA,NA,$14408.87,NA,NA,$16570.20,$14408.87,NA,$14408.87,$14408.87,NA,$13688.42,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-B,NA,NA,$20672.70,$25024.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21760.73,NA,NA,NA,NA,NA,NA,NA,$21760.73,NA,NA,$25024.84,$21760.73,NA,$21760.73,$21760.73,NA,$20672.70,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-C,NA,NA,$16949.28,$20517.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17841.35,NA,NA,NA,NA,NA,NA,NA,$17841.35,NA,NA,$20517.55,$17841.35,NA,$17841.35,$17841.35,NA,$16949.28,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-D,NA,NA,$15298.74,$18519.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16103.94,NA,NA,NA,NA,NA,NA,NA,$16103.94,NA,NA,$18519.53,$16103.94,NA,$16103.94,$16103.94,NA,$15298.74,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-A,NA,NA,$16620.32,$20119.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17495.08,NA,NA,NA,NA,NA,NA,NA,$17495.08,NA,NA,$20119.34,$17495.08,NA,$17495.08,$17495.08,NA,$16620.32,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-B,NA,NA,$25101.43,$30385.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26422.56,NA,NA,NA,NA,NA,NA,NA,$26422.56,NA,NA,$30385.94,$26422.56,NA,$26422.56,$26422.56,NA,$25101.43,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-C,NA,NA,$20579.32,$24911.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21662.44,NA,NA,NA,NA,NA,NA,NA,$21662.44,NA,NA,$24911.81,$21662.44,NA,$21662.44,$21662.44,NA,$20579.32,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-D,NA,NA,$18575.40,$22486.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19553.06,NA,NA,NA,NA,NA,NA,NA,$19553.06,NA,NA,$22486.01,$19553.06,NA,$19553.06,$19553.06,NA,$18575.40,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-A,NA,NA,$19522.06,$23631.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20549.53,NA,NA,NA,NA,NA,NA,NA,$20549.53,NA,NA,$23631.96,$20549.53,NA,$20549.53,$20549.53,NA,$19522.06,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-B,NA,NA,$29482.76,$35689.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31034.48,NA,NA,NA,NA,NA,NA,NA,$31034.48,NA,NA,$35689.66,$31034.48,NA,$31034.48,$31034.48,NA,$29482.76,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-C,NA,NA,$24172.01,$29260.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25444.22,NA,NA,NA,NA,NA,NA,NA,$25444.22,NA,NA,$29260.86,$25444.22,NA,$25444.22,$25444.22,NA,$24172.01,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-D,NA,NA,$21817.59,$26410.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22965.88,NA,NA,NA,NA,NA,NA,NA,$22965.88,NA,NA,$26410.76,$22965.88,NA,$22965.88,$22965.88,NA,$21817.59,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-A,NA,NA,$13304.88,$16105.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14005.14,NA,NA,NA,NA,NA,NA,NA,$14005.14,NA,NA,$16105.91,$14005.14,NA,$14005.14,$14005.14,NA,$13304.88,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-B,NA,NA,$18538.05,$22440.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19513.74,NA,NA,NA,NA,NA,NA,NA,$19513.74,NA,NA,$22440.80,$19513.74,NA,$19513.74,$19513.74,NA,$18538.05,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-C,NA,NA,$14846.24,$17971.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15627.63,NA,NA,NA,NA,NA,NA,NA,$15627.63,NA,NA,$17971.77,$15627.63,NA,$15627.63,$15627.63,NA,$14846.24,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-D,NA,NA,$13869.42,$16789.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14599.39,NA,NA,NA,NA,NA,NA,NA,$14599.39,NA,NA,$16789.30,$14599.39,NA,$14599.39,$14599.39,NA,$13869.42,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-A,NA,NA,$16406.29,$19860.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17269.77,NA,NA,NA,NA,NA,NA,NA,$17269.77,NA,NA,$19860.24,$17269.77,NA,$17269.77,$17269.77,NA,$16406.29,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-B,NA,NA,$22859.05,$27671.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24062.16,NA,NA,NA,NA,NA,NA,NA,$24062.16,NA,NA,$27671.48,$24062.16,NA,$24062.16,$24062.16,NA,$22859.05,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-C,NA,NA,$18306.78,$22160.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19270.29,NA,NA,NA,NA,NA,NA,NA,$19270.29,NA,NA,$22160.84,$19270.29,NA,$19270.29,$19270.29,NA,$18306.78,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-D,NA,NA,$17102.99,$20703.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18003.15,NA,NA,NA,NA,NA,NA,NA,$18003.15,NA,NA,$20703.62,$18003.15,NA,$18003.15,$18003.15,NA,$17102.99,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-A,NA,NA,$19049.45,$23059.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20052.05,NA,NA,NA,NA,NA,NA,NA,$20052.05,NA,NA,$23059.86,$20052.05,NA,$20052.05,$20052.05,NA,$19049.45,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-B,NA,NA,$26540.80,$32128.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27937.69,NA,NA,NA,NA,NA,NA,NA,$27937.69,NA,NA,$32128.34,$27937.69,NA,$27937.69,$27937.69,NA,$26540.80,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-C,NA,NA,$21254.48,$25729.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22373.14,NA,NA,NA,NA,NA,NA,NA,$22373.14,NA,NA,$25729.11,$22373.14,NA,$22373.14,$22373.14,NA,$21254.48,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-D,NA,NA,$19856.76,$24037.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20901.86,NA,NA,NA,NA,NA,NA,NA,$20901.86,NA,NA,$24037.13,$20901.86,NA,$20901.86,$20901.86,NA,$19856.76,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-A,NA,NA,$22086.21,$26735.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23248.65,NA,NA,NA,NA,NA,NA,NA,$23248.65,NA,NA,$26735.94,$23248.65,NA,$23248.65,$23248.65,NA,$22086.21,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-B,NA,NA,$30771.30,$37249.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32390.84,NA,NA,NA,NA,NA,NA,NA,$32390.84,NA,NA,$37249.47,$32390.84,NA,$32390.84,$32390.84,NA,$30771.30,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-C,NA,NA,$24641.75,$29829.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25938.68,NA,NA,NA,NA,NA,NA,NA,$25938.68,NA,NA,$29829.49,$25938.68,NA,$25938.68,$25938.68,NA,$24641.75,NA,NA,NA
