Encompass Health Rehabilitation Hospital of Colorado Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,ANTHEM BCBS OF COLORADO (BCOA) negotiated charge,BC OF CO ANTHEM EXCHANGE (BOAZ) negotiated charge,BC OF CO ANTHEM MEDICARE (BOAM) negotiated charge,BCBS OF COLORADO (BCCO) negotiated charge,BRIGHT HEALTH EXCHANGE (BRHZ) negotiated charge,BRIGHT HEALTH PLAN (BRH) negotiated charge,BRIGHT HEALTH PLAN MCR (BRHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CHOICE CARE NET MEDICARE (CHOM) negotiated charge,CHOICE CARE NETWORK (CHO) negotiated charge,CIGNA (CIG) negotiated charge,CIGNA EXCHANGE (CIGZ) negotiated charge,CIGNA MEDICARE (CIGM) negotiated charge,CO ACCESS CHP HMO MCD (CAHD) negotiated charge,COLORADO ACCESS MEDICAID (CAAD) negotiated charge,COLORADO CHOICE EXCHANGE (COLZ) negotiated charge,COLORADO CHOICE HEALTH (COL) negotiated charge,COVENTRY HEALTHCARE (CHC) negotiated charge,COVENTRY HEALTHCARE WC (CHCW) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,HEALTHNET FEDERAL SVCS (HFS) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,LONGEVITY HEALTH PLAN MCR (LHPM) negotiated charge,MULTIPLAN (MUL) negotiated charge,MY INNOVAGE PACE DUAL (MIPB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PINNACOL ASSURANCE WC (PINW) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,ROCKY MOUNTAIN HMO (RMH) negotiated charge,ROCKY MOUNTAIN MEDICARE (RMHM) negotiated charge,ROCKY MTN PACE DUAL (RMPM) negotiated charge,SLOANS LAKE MANAGED CARE (SLK) negotiated charge,TRIWEST VETERANS (TWV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-A,NA,NA,$23028.82,$28152.71,NA,$48721.49,NA,NA,NA,$48721.49,NA,$46285.40,$46285.40,$46772.62,NA,NA,$48721.49,$48721.49,NA,NA,NA,$48721.49,NA,NA,NA,NA,NA,NA,NA,NA,$48721.49,NA,$48721.49,$48721.49,NA,$48721.49,NA,NA,$56029.71,NA,NA,$48721.49,NA,$48721.49,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-B,NA,NA,$32601.52,$39855.32,NA,$68974.19,NA,NA,NA,$68974.19,NA,$65525.48,$65525.48,$66215.23,NA,NA,$68974.19,$68974.19,NA,NA,NA,$68974.19,NA,NA,NA,NA,NA,NA,NA,NA,$68974.19,NA,$68974.19,$68974.19,NA,$68974.19,NA,NA,$79320.32,NA,NA,$68974.19,NA,$68974.19,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-C,NA,NA,$26439.29,$32322.00,NA,$55936.92,NA,NA,NA,$55936.92,NA,$53140.07,$53140.07,$53699.44,NA,NA,$55936.92,$55936.92,NA,NA,NA,$55936.92,NA,NA,NA,NA,NA,NA,NA,NA,$55936.92,NA,$55936.92,$55936.92,NA,$55936.92,NA,NA,$64327.46,NA,NA,$55936.92,NA,$55936.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-D,NA,NA,$25054.81,$30629.47,NA,$53007.80,NA,NA,NA,$53007.80,NA,$50357.42,$50357.42,$50887.50,NA,NA,$53007.80,$53007.80,NA,NA,NA,$53007.80,NA,NA,NA,NA,NA,NA,NA,NA,$53007.80,NA,$53007.80,$53007.80,NA,$53007.80,NA,NA,$60958.98,NA,NA,$53007.80,NA,$53007.80,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-A,NA,NA,$26313.74,$32168.52,NA,$55671.30,NA,NA,NA,$55671.30,NA,$52887.73,$52887.73,$53444.45,NA,NA,$55671.30,$55671.30,NA,NA,NA,$55671.30,NA,NA,NA,NA,NA,NA,NA,NA,$55671.30,NA,$55671.30,$55671.30,NA,$55671.30,NA,NA,$64022.00,NA,NA,$55671.30,NA,$55671.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-B,NA,NA,$37252.00,$45540.53,NA,$78813.10,NA,NA,NA,$78813.10,NA,$74872.44,$74872.44,$75660.57,NA,NA,$78813.10,$78813.10,NA,NA,NA,$78813.10,NA,NA,NA,NA,NA,NA,NA,NA,$78813.10,NA,$78813.10,$78813.10,NA,$78813.10,NA,NA,$90635.06,NA,NA,$78813.10,NA,$78813.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-C,NA,NA,$30210.93,$36932.82,NA,$63916.48,NA,NA,NA,$63916.48,NA,$60720.65,$60720.65,$61359.82,NA,NA,$63916.48,$63916.48,NA,NA,NA,$63916.48,NA,NA,NA,NA,NA,NA,NA,NA,$63916.48,NA,$63916.48,$63916.48,NA,$63916.48,NA,NA,$73503.94,NA,NA,$63916.48,NA,$63916.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-D,NA,NA,$28628.66,$34998.50,NA,$60568.92,NA,NA,NA,$60568.92,NA,$57540.47,$57540.47,$58146.16,NA,NA,$60568.92,$60568.92,NA,NA,NA,$60568.92,NA,NA,NA,NA,NA,NA,NA,NA,$60568.92,NA,$60568.92,$60568.92,NA,$60568.92,NA,NA,$69654.25,NA,NA,$60568.92,NA,$60568.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-A,NA,NA,$13008.96,$15903.44,NA,$27522.73,NA,NA,NA,$27522.73,NA,$26146.59,$26146.59,$26421.82,NA,NA,$27522.73,$27522.73,NA,NA,NA,$27522.73,NA,NA,NA,NA,NA,NA,NA,NA,$27522.73,NA,$27522.73,$27522.73,NA,$27522.73,NA,NA,$31651.13,NA,NA,$27522.73,NA,$27522.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-B,NA,NA,$19379.30,$23691.17,NA,$41000.27,NA,NA,NA,$41000.27,NA,$38950.26,$38950.26,$39360.26,NA,NA,$41000.27,$41000.27,NA,NA,NA,$41000.27,NA,NA,NA,NA,NA,NA,NA,NA,$41000.27,NA,$41000.27,$41000.27,NA,$41000.27,NA,NA,$47150.32,NA,NA,$41000.27,NA,$41000.27,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-C,NA,NA,$15595.62,$19065.63,NA,$32995.25,NA,NA,NA,$32995.25,NA,$31345.49,$31345.49,$31675.44,NA,NA,$32995.25,$32995.25,NA,NA,NA,$32995.25,NA,NA,NA,NA,NA,NA,NA,NA,$32995.25,NA,$32995.25,$32995.25,NA,$32995.25,NA,NA,$37944.54,NA,NA,$32995.25,NA,$32995.25,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-D,NA,NA,$13966.92,$17074.54,NA,$29549.45,NA,NA,NA,$29549.45,NA,$28071.98,$28071.98,$28367.47,NA,NA,$29549.45,$29549.45,NA,NA,NA,$29549.45,NA,NA,NA,NA,NA,NA,NA,NA,$29549.45,NA,$29549.45,$29549.45,NA,$29549.45,NA,NA,$33981.87,NA,NA,$29549.45,NA,$29549.45,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-A,NA,NA,$15294.65,$18697.69,NA,$32358.49,NA,NA,NA,$32358.49,NA,$30740.57,$30740.57,$31064.14,NA,NA,$32358.49,$32358.49,NA,NA,NA,$32358.49,NA,NA,NA,NA,NA,NA,NA,NA,$32358.49,NA,$32358.49,$32358.49,NA,$32358.49,NA,NA,$37212.26,NA,NA,$32358.49,NA,$32358.49,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-B,NA,NA,$22784.61,$27854.15,NA,$48204.80,NA,NA,NA,$48204.80,NA,$45794.56,$45794.56,$46276.60,NA,NA,$48204.80,$48204.80,NA,NA,NA,$48204.80,NA,NA,NA,NA,NA,NA,NA,NA,$48204.80,NA,$48204.80,$48204.80,NA,$48204.80,NA,NA,$55435.51,NA,NA,$48204.80,NA,$48204.80,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-C,NA,NA,$18335.35,$22414.94,NA,$38791.62,NA,NA,NA,$38791.62,NA,$36852.04,$36852.04,$37239.95,NA,NA,$38791.62,$38791.62,NA,NA,NA,$38791.62,NA,NA,NA,NA,NA,NA,NA,NA,$38791.62,NA,$38791.62,$38791.62,NA,$38791.62,NA,NA,$44610.36,NA,NA,$38791.62,NA,$38791.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-D,NA,NA,$16421.15,$20074.84,NA,$34741.80,NA,NA,NA,$34741.80,NA,$33004.71,$33004.71,$33352.13,NA,NA,$34741.80,$34741.80,NA,NA,NA,$34741.80,NA,NA,NA,NA,NA,NA,NA,NA,$34741.80,NA,$34741.80,$34741.80,NA,$34741.80,NA,NA,$39953.08,NA,NA,$34741.80,NA,$34741.80,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-A,NA,NA,$17085.01,$20886.41,NA,$36146.32,NA,NA,NA,$36146.32,NA,$34339.00,$34339.00,$34700.47,NA,NA,$36146.32,$36146.32,NA,NA,NA,$36146.32,NA,NA,NA,NA,NA,NA,NA,NA,$36146.32,NA,$36146.32,$36146.32,NA,$36146.32,NA,NA,$41568.27,NA,NA,$36146.32,NA,$36146.32,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-B,NA,NA,$25452.10,$31115.16,NA,$53848.34,NA,NA,NA,$53848.34,NA,$51155.92,$51155.92,$51694.40,NA,NA,$53848.34,$53848.34,NA,NA,NA,$53848.34,NA,NA,NA,NA,NA,NA,NA,NA,$53848.34,NA,$53848.34,$53848.34,NA,$53848.34,NA,NA,$61925.59,NA,NA,$53848.34,NA,$53848.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-C,NA,NA,$20481.72,$25038.88,NA,$43332.65,NA,NA,NA,$43332.65,NA,$41166.01,$41166.01,$41599.34,NA,NA,$43332.65,$43332.65,NA,NA,NA,$43332.65,NA,NA,NA,NA,NA,NA,NA,NA,$43332.65,NA,$43332.65,$43332.65,NA,$43332.65,NA,NA,$49832.54,NA,NA,$43332.65,NA,$43332.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-D,NA,NA,$18343.95,$22425.45,NA,$38809.81,NA,NA,NA,$38809.81,NA,$36869.32,$36869.32,$37257.42,NA,NA,$38809.81,$38809.81,NA,NA,NA,$38809.81,NA,NA,NA,NA,NA,NA,NA,NA,$38809.81,NA,$38809.81,$38809.81,NA,$38809.81,NA,NA,$44631.28,NA,NA,$38809.81,NA,$38809.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-A,NA,NA,$19690.59,$24071.72,NA,$41658.87,NA,NA,NA,$41658.87,NA,$39575.93,$39575.93,$39992.51,NA,NA,$41658.87,$41658.87,NA,NA,NA,$41658.87,NA,NA,NA,NA,NA,NA,NA,NA,$41658.87,NA,$41658.87,$41658.87,NA,$41658.87,NA,NA,$47907.70,NA,NA,$41658.87,NA,$41658.87,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-B,NA,NA,$29333.80,$35860.54,NA,$62060.77,NA,NA,NA,$62060.77,NA,$58957.72,$58957.72,$59578.33,NA,NA,$62060.77,$62060.77,NA,NA,NA,$62060.77,NA,NA,NA,NA,NA,NA,NA,NA,$62060.77,NA,$62060.77,$62060.77,NA,$62060.77,NA,NA,$71369.88,NA,NA,$62060.77,NA,$62060.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-C,NA,NA,$23606.69,$28859.15,NA,$49944.07,NA,NA,NA,$49944.07,NA,$47446.86,$47446.86,$47946.31,NA,NA,$49944.07,$49944.07,NA,NA,NA,$49944.07,NA,NA,NA,NA,NA,NA,NA,NA,$49944.07,NA,$49944.07,$49944.07,NA,$49944.07,NA,NA,$57435.68,NA,NA,$49944.07,NA,$49944.07,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-D,NA,NA,$21142.15,$25846.25,NA,$44729.89,NA,NA,NA,$44729.89,NA,$42493.40,$42493.40,$42940.70,NA,NA,$44729.89,$44729.89,NA,NA,NA,$44729.89,NA,NA,NA,NA,NA,NA,NA,NA,$44729.89,NA,$44729.89,$44729.89,NA,$44729.89,NA,NA,$51439.37,NA,NA,$44729.89,NA,$44729.89,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-A,NA,NA,$22944.55,$28049.68,NA,$48543.19,NA,NA,NA,$48543.19,NA,$46116.03,$46116.03,$46601.46,NA,NA,$48543.19,$48543.19,NA,NA,NA,$48543.19,NA,NA,NA,NA,NA,NA,NA,NA,$48543.19,NA,$48543.19,$48543.19,NA,$48543.19,NA,NA,$55824.66,NA,NA,$48543.19,NA,$48543.19,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-B,NA,NA,$34180.35,$41785.43,NA,$72314.47,NA,NA,NA,$72314.47,NA,$68698.75,$68698.75,$69421.89,NA,NA,$72314.47,$72314.47,NA,NA,NA,$72314.47,NA,NA,NA,NA,NA,NA,NA,NA,$72314.47,NA,$72314.47,$72314.47,NA,$72314.47,NA,NA,$83161.64,NA,NA,$72314.47,NA,$72314.47,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-C,NA,NA,$27507.32,$33627.66,NA,$58196.52,NA,NA,NA,$58196.52,NA,$55286.69,$55286.69,$55868.66,NA,NA,$58196.52,$58196.52,NA,NA,NA,$58196.52,NA,NA,NA,NA,NA,NA,NA,NA,$58196.52,NA,$58196.52,$58196.52,NA,$58196.52,NA,NA,$66925.99,NA,NA,$58196.52,NA,$58196.52,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-D,NA,NA,$24635.17,$30116.46,NA,$52119.98,NA,NA,NA,$52119.98,NA,$49513.98,$49513.98,$50035.18,NA,NA,$52119.98,$52119.98,NA,NA,NA,$52119.98,NA,NA,NA,NA,NA,NA,NA,NA,$52119.98,NA,$52119.98,$52119.98,NA,$52119.98,NA,NA,$59937.98,NA,NA,$52119.98,NA,$52119.98,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-A,NA,NA,$14228.34,$17394.13,NA,$30102.53,NA,NA,NA,$30102.53,NA,$28597.40,$28597.40,$28898.42,NA,NA,$30102.53,$30102.53,NA,NA,NA,$30102.53,NA,NA,NA,NA,NA,NA,NA,NA,$30102.53,NA,$30102.53,$30102.53,NA,$30102.53,NA,NA,$34617.91,NA,NA,$30102.53,NA,$30102.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-B,NA,NA,$20829.13,$25463.59,NA,$44067.65,NA,NA,NA,$44067.65,NA,$41864.27,$41864.27,$42304.95,NA,NA,$44067.65,$44067.65,NA,NA,NA,$44067.65,NA,NA,NA,NA,NA,NA,NA,NA,$44067.65,NA,$44067.65,$44067.65,NA,$44067.65,NA,NA,$50677.80,NA,NA,$44067.65,NA,$44067.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-C,NA,NA,$16598.30,$20291.40,NA,$35116.58,NA,NA,NA,$35116.58,NA,$33360.76,$33360.76,$33711.91,NA,NA,$35116.58,$35116.58,NA,NA,NA,$35116.58,NA,NA,NA,NA,NA,NA,NA,NA,$35116.58,NA,$35116.58,$35116.58,NA,$35116.58,NA,NA,$40384.07,NA,NA,$35116.58,NA,$35116.58,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-D,NA,NA,$15707.41,$19202.29,NA,$33231.76,NA,NA,NA,$33231.76,NA,$31570.17,$31570.17,$31902.49,NA,NA,$33231.76,$33231.76,NA,NA,NA,$33231.76,NA,NA,NA,NA,NA,NA,NA,NA,$33231.76,NA,$33231.76,$33231.76,NA,$33231.76,NA,NA,$38216.53,NA,NA,$33231.76,NA,$33231.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-A,NA,NA,$17716.20,$21658.03,NA,$37481.70,NA,NA,NA,$37481.70,NA,$35607.62,$35607.62,$35982.44,NA,NA,$37481.70,$37481.70,NA,NA,NA,$37481.70,NA,NA,NA,NA,NA,NA,NA,NA,$37481.70,NA,$37481.70,$37481.70,NA,$37481.70,NA,NA,$43103.96,NA,NA,$37481.70,NA,$37481.70,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-B,NA,NA,$25931.94,$31701.76,NA,$54863.52,NA,NA,NA,$54863.52,NA,$52120.35,$52120.35,$52668.98,NA,NA,$54863.52,$54863.52,NA,NA,NA,$54863.52,NA,NA,NA,NA,NA,NA,NA,NA,$54863.52,NA,$54863.52,$54863.52,NA,$54863.52,NA,NA,$63093.05,NA,NA,$54863.52,NA,$54863.52,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-C,NA,NA,$20664.03,$25261.75,NA,$43718.35,NA,NA,NA,$43718.35,NA,$41532.43,$41532.43,$41969.61,NA,NA,$43718.35,$43718.35,NA,NA,NA,$43718.35,NA,NA,NA,NA,NA,NA,NA,NA,$43718.35,NA,$43718.35,$43718.35,NA,$43718.35,NA,NA,$50276.10,NA,NA,$43718.35,NA,$43718.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-D,NA,NA,$19556.44,$23907.73,NA,$41375.06,NA,NA,NA,$41375.06,NA,$39306.30,$39306.30,$39720.05,NA,NA,$41375.06,$41375.06,NA,NA,NA,$41375.06,NA,NA,NA,NA,NA,NA,NA,NA,$41375.06,NA,$41375.06,$41375.06,NA,$41375.06,NA,NA,$47581.32,NA,NA,$41375.06,NA,$41375.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-A,NA,NA,$20848.05,$25486.72,NA,$44107.68,NA,NA,NA,$44107.68,NA,$41902.29,$41902.29,$42343.37,NA,NA,$44107.68,$44107.68,NA,NA,NA,$44107.68,NA,NA,NA,NA,NA,NA,NA,NA,$44107.68,NA,$44107.68,$44107.68,NA,$44107.68,NA,NA,$50723.83,NA,NA,$44107.68,NA,$44107.68,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-B,NA,NA,$30517.06,$37307.07,NA,$64564.15,NA,NA,NA,$64564.15,NA,$61335.94,$61335.94,$61981.58,NA,NA,$64564.15,$64564.15,NA,NA,NA,$64564.15,NA,NA,NA,NA,NA,NA,NA,NA,$64564.15,NA,$64564.15,$64564.15,NA,$64564.15,NA,NA,$74248.78,NA,NA,$64564.15,NA,$64564.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-C,NA,NA,$24316.99,$29727.49,NA,$51446.83,NA,NA,NA,$51446.83,NA,$48874.48,$48874.48,$49388.95,NA,NA,$51446.83,$51446.83,NA,NA,NA,$51446.83,NA,NA,NA,NA,NA,NA,NA,NA,$51446.83,NA,$51446.83,$51446.83,NA,$51446.83,NA,NA,$59163.85,NA,NA,$51446.83,NA,$51446.83,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-D,NA,NA,$23015.07,$28135.89,NA,$48692.37,NA,NA,NA,$48692.37,NA,$46257.76,$46257.76,$46744.68,NA,NA,$48692.37,$48692.37,NA,NA,NA,$48692.37,NA,NA,NA,NA,NA,NA,NA,NA,$48692.37,NA,$48692.37,$48692.37,NA,$48692.37,NA,NA,$55996.23,NA,NA,$48692.37,NA,$48692.37,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-A,NA,NA,$23936.91,$29262.84,NA,$50642.69,NA,NA,NA,$50642.69,NA,$48110.56,$48110.56,$48616.98,NA,NA,$50642.69,$50642.69,NA,NA,NA,$50642.69,NA,NA,NA,NA,NA,NA,NA,NA,$50642.69,NA,$50642.69,$50642.69,NA,$50642.69,NA,NA,$58239.10,NA,NA,$50642.69,NA,$50642.69,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-B,NA,NA,$35038.55,$42834.59,NA,$74130.16,NA,NA,NA,$74130.16,NA,$70423.64,$70423.64,$71164.95,NA,NA,$74130.16,$74130.16,NA,NA,NA,$74130.16,NA,NA,NA,NA,NA,NA,NA,NA,$74130.16,NA,$74130.16,$74130.16,NA,$74130.16,NA,NA,$85249.68,NA,NA,$74130.16,NA,$74130.16,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-C,NA,NA,$27921.80,$34134.37,NA,$59073.43,NA,NA,NA,$59073.43,NA,$56119.76,$56119.76,$56710.50,NA,NA,$59073.43,$59073.43,NA,NA,NA,$59073.43,NA,NA,NA,NA,NA,NA,NA,NA,$59073.43,NA,$59073.43,$59073.43,NA,$59073.43,NA,NA,$67934.45,NA,NA,$59073.43,NA,$59073.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-D,NA,NA,$26425.53,$32305.18,NA,$55907.81,NA,NA,NA,$55907.81,NA,$53112.42,$53112.42,$53671.50,NA,NA,$55907.81,$55907.81,NA,NA,NA,$55907.81,NA,NA,NA,NA,NA,NA,NA,NA,$55907.81,NA,$55907.81,$55907.81,NA,$55907.81,NA,NA,$64293.98,NA,NA,$55907.81,NA,$55907.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-A,NA,NA,$15485.55,$18931.07,NA,$32762.38,NA,NA,NA,$32762.38,NA,$31124.26,$31124.26,$31451.89,NA,NA,$32762.38,$32762.38,NA,NA,NA,$32762.38,NA,NA,NA,NA,NA,NA,NA,NA,$32762.38,NA,$32762.38,$32762.38,NA,$32762.38,NA,NA,$37676.74,NA,NA,$32762.38,NA,$32762.38,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-B,NA,NA,$22289.29,$27248.63,NA,$47156.87,NA,NA,NA,$47156.87,NA,$44799.02,$44799.02,$45270.59,NA,NA,$47156.87,$47156.87,NA,NA,NA,$47156.87,NA,NA,NA,NA,NA,NA,NA,NA,$47156.87,NA,$47156.87,$47156.87,NA,$47156.87,NA,NA,$54230.40,NA,NA,$47156.87,NA,$47156.87,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-C,NA,NA,$18682.76,$22839.65,NA,$39526.62,NA,NA,NA,$39526.62,NA,$37550.29,$37550.29,$37945.56,NA,NA,$39526.62,$39526.62,NA,NA,NA,$39526.62,NA,NA,NA,NA,NA,NA,NA,NA,$39526.62,NA,$39526.62,$39526.62,NA,$39526.62,NA,NA,$45455.62,NA,NA,$39526.62,NA,$39526.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-D,NA,NA,$16765.12,$20495.34,NA,$35469.53,NA,NA,NA,$35469.53,NA,$33696.05,$33696.05,$34050.75,NA,NA,$35469.53,$35469.53,NA,NA,NA,$35469.53,NA,NA,NA,NA,NA,NA,NA,NA,$35469.53,NA,$35469.53,$35469.53,NA,$35469.53,NA,NA,$40789.96,NA,NA,$35469.53,NA,$35469.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-A,NA,NA,$19129.92,$23386.30,NA,$40472.67,NA,NA,NA,$40472.67,NA,$38449.04,$38449.04,$38853.77,NA,NA,$40472.67,$40472.67,NA,NA,NA,$40472.67,NA,NA,NA,NA,NA,NA,NA,NA,$40472.67,NA,$40472.67,$40472.67,NA,$40472.67,NA,NA,$46543.57,NA,NA,$40472.67,NA,$40472.67,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-B,NA,NA,$27534.84,$33661.30,NA,$58254.74,NA,NA,NA,$58254.74,NA,$55342.00,$55342.00,$55924.55,NA,NA,$58254.74,$58254.74,NA,NA,NA,$58254.74,NA,NA,NA,NA,NA,NA,NA,NA,$58254.74,NA,$58254.74,$58254.74,NA,$58254.74,NA,NA,$66992.95,NA,NA,$58254.74,NA,$58254.74,NA,NA,NA,NA
