Encompass Health Rehabilitation Hospital of Dothan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,BC FEP (BCFD) negotiated charge,BC/BS ALABAMA (BCAL) negotiated charge,BCBS AL BLUE ADVANTAGE (BCAD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HLTHCARE MEDICARE (UHCM) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-A,NA,NA,$14554.32,$17618.38,NA,NA,NA,NA,NA,$14554.32,NA,NA,NA,$15320.33,NA,NA,$15320.33,NA,$17618.38,$15320.33,$15320.33,$15320.33,NA,$14554.32,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-B,NA,NA,$21981.17,$26608.79,NA,NA,NA,NA,NA,$21981.17,NA,NA,NA,$23138.07,NA,NA,$23138.07,NA,$26608.79,$23138.07,$23138.07,$23138.07,NA,$21981.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-C,NA,NA,$18021.19,$21815.12,NA,NA,NA,NA,NA,$18021.19,NA,NA,NA,$18969.67,NA,NA,$18969.67,NA,$21815.12,$18969.67,$18969.67,$18969.67,NA,$18021.19,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-D,NA,NA,$16266.37,$19690.87,NA,NA,NA,NA,NA,$16266.37,NA,NA,NA,$17122.49,NA,NA,$17122.49,NA,$19690.87,$17122.49,$17122.49,$17122.49,NA,$16266.37,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-A,NA,NA,$17095.35,$20694.37,NA,NA,NA,NA,NA,$17095.35,NA,NA,NA,$17995.10,NA,NA,$17995.10,NA,$20694.37,$17995.10,$17995.10,$17995.10,NA,$17095.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-B,NA,NA,$25817.88,$31253.22,NA,NA,NA,NA,NA,$25817.88,NA,NA,NA,$27176.71,NA,NA,$27176.71,NA,$31253.22,$27176.71,$27176.71,$27176.71,NA,$25817.88,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-C,NA,NA,$21167.29,$25623.56,NA,NA,NA,NA,NA,$21167.29,NA,NA,NA,$22281.35,NA,NA,$22281.35,NA,$25623.56,$22281.35,$22281.35,$22281.35,NA,$21167.29,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-D,NA,NA,$19105.53,$23127.75,NA,NA,NA,NA,NA,$19105.53,NA,NA,NA,$20111.08,NA,NA,$20111.08,NA,$23127.75,$20111.08,$20111.08,$20111.08,NA,$19105.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-A,NA,NA,$11651.00,$14103.84,NA,NA,NA,NA,NA,$11651.00,NA,NA,NA,$12264.21,NA,NA,$12264.21,NA,$14103.84,$12264.21,$12264.21,$12264.21,NA,$11651.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-B,NA,NA,$16233.66,$19651.28,NA,NA,NA,NA,NA,$16233.66,NA,NA,NA,$17088.07,NA,NA,$17088.07,NA,$19651.28,$17088.07,$17088.07,$17088.07,NA,$16233.66,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-C,NA,NA,$13000.77,$15737.77,NA,NA,NA,NA,NA,$13000.77,NA,NA,NA,$13685.02,NA,NA,$13685.02,NA,$15737.77,$13685.02,$13685.02,$13685.02,NA,$13000.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-D,NA,NA,$12145.37,$14702.29,NA,NA,NA,NA,NA,$12145.37,NA,NA,NA,$12784.60,NA,NA,$12784.60,NA,$14702.29,$12784.60,$12784.60,$12784.60,NA,$12145.37,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-A,NA,NA,$14366.89,$17391.49,NA,NA,NA,NA,NA,$14366.89,NA,NA,NA,$15123.04,NA,NA,$15123.04,NA,$17391.49,$15123.04,$15123.04,$15123.04,NA,$14366.89,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-B,NA,NA,$20017.53,$24231.75,NA,NA,NA,NA,NA,$20017.53,NA,NA,NA,$21071.09,NA,NA,$21071.09,NA,$24231.75,$21071.09,$21071.09,$21071.09,NA,$20017.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-C,NA,NA,$16031.13,$19406.11,NA,NA,NA,NA,NA,$16031.13,NA,NA,NA,$16874.88,NA,NA,$16874.88,NA,$19406.11,$16874.88,$16874.88,$16874.88,NA,$16031.13,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-D,NA,NA,$14976.98,$18130.03,NA,NA,NA,NA,NA,$14976.98,NA,NA,NA,$15765.25,NA,NA,$15765.25,NA,$18130.03,$15765.25,$15765.25,$15765.25,NA,$14976.98,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-A,NA,NA,$16681.49,$20193.38,NA,NA,NA,NA,NA,$16681.49,NA,NA,NA,$17559.46,NA,NA,$17559.46,NA,$20193.38,$17559.46,$17559.46,$17559.46,NA,$16681.49,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-B,NA,NA,$23241.62,$28134.60,NA,NA,NA,NA,NA,$23241.62,NA,NA,NA,$24464.87,NA,NA,$24464.87,NA,$28134.60,$24464.87,$24464.87,$24464.87,NA,$23241.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-C,NA,NA,$18612.42,$22530.82,NA,NA,NA,NA,NA,$18612.42,NA,NA,NA,$19592.02,NA,NA,$19592.02,NA,$22530.82,$19592.02,$19592.02,$19592.02,NA,$18612.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-D,NA,NA,$17388.45,$21049.17,NA,NA,NA,NA,NA,$17388.45,NA,NA,NA,$18303.63,NA,NA,$18303.63,NA,$21049.17,$18303.63,$18303.63,$18303.63,NA,$17388.45,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-A,NA,NA,$19340.76,$23412.50,NA,NA,NA,NA,NA,$19340.76,NA,NA,NA,$20358.70,NA,NA,$20358.70,NA,$23412.50,$20358.70,$20358.70,$20358.70,NA,$19340.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-B,NA,NA,$26946.24,$32619.14,NA,NA,NA,NA,NA,$26946.24,NA,NA,NA,$28364.47,NA,NA,$28364.47,NA,$32619.14,$28364.47,$28364.47,$28364.47,NA,$26946.24,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-C,NA,NA,$21578.63,$26121.50,NA,NA,NA,NA,NA,$21578.63,NA,NA,NA,$22714.35,NA,NA,$22714.35,NA,$26121.50,$22714.35,$22714.35,$22714.35,NA,$21578.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-D,NA,NA,$20160.94,$24405.35,NA,NA,NA,NA,NA,$20160.94,NA,NA,NA,$21222.04,NA,NA,$21222.04,NA,$24405.35,$21222.04,$21222.04,$21222.04,NA,$20160.94,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-A,NA,NA,$10098.71,$12224.75,NA,NA,NA,NA,NA,$10098.71,NA,NA,NA,$10630.22,NA,NA,$10630.22,NA,$12224.75,$10630.22,$10630.22,$10630.22,NA,$10098.71,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-B,NA,NA,$12439.73,$15058.62,NA,NA,NA,NA,NA,$12439.73,NA,NA,NA,$13094.45,NA,NA,$13094.45,NA,$15058.62,$13094.45,$13094.45,$13094.45,NA,$12439.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-C,NA,NA,$12439.73,$15058.62,NA,NA,NA,NA,NA,$12439.73,NA,NA,NA,$13094.45,NA,NA,$13094.45,NA,$15058.62,$13094.45,$13094.45,$13094.45,NA,$12439.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-D,NA,NA,$11219.53,$13581.54,NA,NA,NA,NA,NA,$11219.53,NA,NA,NA,$11810.03,NA,NA,$11810.03,NA,$13581.54,$11810.03,$11810.03,$11810.03,NA,$11219.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-A,NA,NA,$11311.36,$13692.70,NA,NA,NA,NA,NA,$11311.36,NA,NA,NA,$11906.69,NA,NA,$11906.69,NA,$13692.70,$11906.69,$11906.69,$11906.69,NA,$11311.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-B,NA,NA,$13935.41,$16869.18,NA,NA,NA,NA,NA,$13935.41,NA,NA,NA,$14668.86,NA,NA,$14668.86,NA,$16869.18,$14668.86,$14668.86,$14668.86,NA,$13935.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-C,NA,NA,$13935.41,$16869.18,NA,NA,NA,NA,NA,$13935.41,NA,NA,NA,$14668.86,NA,NA,$14668.86,NA,$16869.18,$14668.86,$14668.86,$14668.86,NA,$13935.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-D,NA,NA,$12568.04,$15213.94,NA,NA,NA,NA,NA,$12568.04,NA,NA,NA,$13229.51,NA,NA,$13229.51,NA,$15213.94,$13229.51,$13229.51,$13229.51,NA,$12568.04,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-A,NA,NA,$13823.46,$16733.66,NA,NA,NA,NA,NA,$13823.46,NA,NA,NA,$14551.01,NA,NA,$14551.01,NA,$16733.66,$14551.01,$14551.01,$14551.01,NA,$13823.46,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-B,NA,NA,$17029.94,$20615.19,NA,NA,NA,NA,NA,$17029.94,NA,NA,NA,$17926.25,NA,NA,$17926.25,NA,$20615.19,$17926.25,$17926.25,$17926.25,NA,$17029.94,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-C,NA,NA,$17029.94,$20615.19,NA,NA,NA,NA,NA,$17029.94,NA,NA,NA,$17926.25,NA,NA,$17926.25,NA,$20615.19,$17926.25,$17926.25,$17926.25,NA,$17029.94,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-D,NA,NA,$15358.14,$18591.43,NA,NA,NA,NA,NA,$15358.14,NA,NA,NA,$16166.46,NA,NA,$16166.46,NA,$18591.43,$16166.46,$16166.46,$16166.46,NA,$15358.14,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-A,NA,NA,$17564.56,$21262.36,NA,NA,NA,NA,NA,$17564.56,NA,NA,NA,$18489.01,NA,NA,$18489.01,NA,$21262.36,$18489.01,$18489.01,$18489.01,NA,$17564.56,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-B,NA,NA,$21637.75,$26193.07,NA,NA,NA,NA,NA,$21637.75,NA,NA,NA,$22776.58,NA,NA,$22776.58,NA,$26193.07,$22776.58,$22776.58,$22776.58,NA,$21637.75,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-C,NA,NA,$21637.75,$26193.07,NA,NA,NA,NA,NA,$21637.75,NA,NA,NA,$22776.58,NA,NA,$22776.58,NA,$26193.07,$22776.58,$22776.58,$22776.58,NA,$21637.75,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-D,NA,NA,$19514.36,$23622.64,NA,NA,NA,NA,NA,$19514.36,NA,NA,NA,$20541.43,NA,NA,$20541.43,NA,$23622.64,$20541.43,$20541.43,$20541.43,NA,$19514.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-A,NA,NA,$11361.68,$13753.61,NA,NA,NA,NA,NA,$11361.68,NA,NA,NA,$11959.66,NA,NA,$11959.66,NA,$13753.61,$11959.66,$11959.66,$11959.66,NA,$11361.68,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-B,NA,NA,$17497.89,$21181.65,NA,NA,NA,NA,NA,$17497.89,NA,NA,NA,$18418.83,NA,NA,$18418.83,NA,$21181.65,$18418.83,$18418.83,$18418.83,NA,$17497.89,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-C,NA,NA,$13726.60,$16616.41,NA,NA,NA,NA,NA,$13726.60,NA,NA,NA,$14449.05,NA,NA,$14449.05,NA,$16616.41,$14449.05,$14449.05,$14449.05,NA,$13726.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-D,NA,NA,$12477.47,$15104.30,NA,NA,NA,NA,NA,$12477.47,NA,NA,NA,$13134.17,NA,NA,$13134.17,NA,$15104.30,$13134.17,$13134.17,$13134.17,NA,$12477.47,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-A,NA,NA,$13876.29,$16797.61,NA,NA,NA,NA,NA,$13876.29,NA,NA,NA,$14606.62,NA,NA,$14606.62,NA,$16797.61,$14606.62,$14606.62,$14606.62,NA,$13876.29,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-B,NA,NA,$21369.81,$25868.72,NA,NA,NA,NA,NA,$21369.81,NA,NA,NA,$22494.54,NA,NA,$22494.54,NA,$25868.72,$22494.54,$22494.54,$22494.54,NA,$21369.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-C,NA,NA,$16765.77,$20295.40,NA,NA,NA,NA,NA,$16765.77,NA,NA,NA,$17648.18,NA,NA,$17648.18,NA,$20295.40,$17648.18,$17648.18,$17648.18,NA,$16765.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-D,NA,NA,$15239.89,$18448.29,NA,NA,NA,NA,NA,$15239.89,NA,NA,NA,$16041.99,NA,NA,$16041.99,NA,$18448.29,$16041.99,$16041.99,$16041.99,NA,$15239.89,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-A,NA,NA,$16450.03,$19913.19,NA,NA,NA,NA,NA,$16450.03,NA,NA,NA,$17315.82,NA,NA,$17315.82,NA,$19913.19,$17315.82,$17315.82,$17315.82,NA,$16450.03,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-B,NA,NA,$25334.83,$30668.48,NA,NA,NA,NA,NA,$25334.83,NA,NA,NA,$26668.24,NA,NA,$26668.24,NA,$30668.48,$26668.24,$26668.24,$26668.24,NA,$25334.83,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-C,NA,NA,$19874.13,$24058.16,NA,NA,NA,NA,NA,$19874.13,NA,NA,NA,$20920.14,NA,NA,$20920.14,NA,$24058.16,$20920.14,$20920.14,$20920.14,NA,$19874.13,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-D,NA,NA,$18066.47,$21869.94,NA,NA,NA,NA,NA,$18066.47,NA,NA,NA,$19017.34,NA,NA,$19017.34,NA,$21869.94,$19017.34,$19017.34,$19017.34,NA,$18066.47,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-A,NA,NA,$18197.30,$22028.31,NA,NA,NA,NA,NA,$18197.30,NA,NA,NA,$19155.05,NA,NA,$19155.05,NA,$22028.31,$19155.05,$19155.05,$19155.05,NA,$18197.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-B,NA,NA,$28025.55,$33925.67,NA,NA,NA,NA,NA,$28025.55,NA,NA,NA,$29500.58,NA,NA,$29500.58,NA,$33925.67,$29500.58,$29500.58,$29500.58,NA,$28025.55,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-C,NA,NA,$21986.20,$26614.88,NA,NA,NA,NA,NA,$21986.20,NA,NA,NA,$23143.37,NA,NA,$23143.37,NA,$26614.88,$23143.37,$23143.37,$23143.37,NA,$21986.20,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-D,NA,NA,$19986.08,$24193.68,NA,NA,NA,NA,NA,$19986.08,NA,NA,NA,$21037.98,NA,NA,$21037.98,NA,$24193.68,$21037.98,$21037.98,$21037.98,NA,$19986.08,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-A,NA,NA,$19967.22,$24170.84,NA,NA,NA,NA,NA,$19967.22,NA,NA,NA,$21018.12,NA,NA,$21018.12,NA,$24170.84,$21018.12,$21018.12,$21018.12,NA,$19967.22,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-B,NA,NA,$30752.76,$37227.02,NA,NA,NA,NA,NA,$30752.76,NA,NA,NA,$32371.32,NA,NA,$32371.32,NA,$37227.02,$32371.32,$32371.32,$32371.32,NA,$30752.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-C,NA,NA,$24125.95,$29205.10,NA,NA,NA,NA,NA,$24125.95,NA,NA,NA,$25395.74,NA,NA,$25395.74,NA,$29205.10,$25395.74,$25395.74,$25395.74,NA,$24125.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-D,NA,NA,$21930.85,$26547.88,NA,NA,NA,NA,NA,$21930.85,NA,NA,NA,$23085.11,NA,NA,$23085.11,NA,$26547.88,$23085.11,$23085.11,$23085.11,NA,$21930.85,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-A,NA,NA,$10289.92,$12456.21,NA,NA,NA,NA,NA,$10289.92,NA,NA,NA,$10831.49,NA,NA,$10831.49,NA,$12456.21,$10831.49,$10831.49,$10831.49,NA,$10289.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-B,NA,NA,$15574.50,$18853.35,NA,NA,NA,NA,NA,$15574.50,NA,NA,NA,$16394.21,NA,NA,$16394.21,NA,$18853.35,$16394.21,$16394.21,$16394.21,NA,$15574.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-C,NA,NA,$12354.19,$14955.07,NA,NA,NA,NA,NA,$12354.19,NA,NA,NA,$13004.41,NA,NA,$13004.41,NA,$14955.07,$13004.41,$13004.41,$13004.41,NA,$12354.19,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-D,NA,NA,$11094.99,$13430.78,NA,NA,NA,NA,NA,$11094.99,NA,NA,NA,$11678.94,NA,NA,$11678.94,NA,$13430.78,$11678.94,$11678.94,$11678.94,NA,$11094.99,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-A,NA,NA,$13105.18,$15864.16,NA,NA,NA,NA,NA,$13105.18,NA,NA,NA,$13794.92,NA,NA,$13794.92,NA,$15864.16,$13794.92,$13794.92,$13794.92,NA,$13105.18,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-B,NA,NA,$19833.87,$24009.43,NA,NA,NA,NA,NA,$19833.87,NA,NA,NA,$20877.76,NA,NA,$20877.76,NA,$24009.43,$20877.76,$20877.76,$20877.76,NA,$19833.87,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-C,NA,NA,$15731.75,$19043.69,NA,NA,NA,NA,NA,$15731.75,NA,NA,NA,$16559.73,NA,NA,$16559.73,NA,$19043.69,$16559.73,$16559.73,$16559.73,NA,$15731.75,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-D,NA,NA,$14129.14,$17103.69,NA,NA,NA,NA,NA,$14129.14,NA,NA,NA,$14872.77,NA,NA,$14872.77,NA,$17103.69,$14872.77,$14872.77,$14872.77,NA,$14129.14,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-A,NA,NA,$16078.94,$19463.98,NA,NA,NA,NA,NA,$16078.94,NA,NA,NA,$16925.20,NA,NA,$16925.20,NA,$19463.98,$16925.20,$16925.20,$16925.20,NA,$16078.94,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-B,NA,NA,$24334.77,$29457.88,NA,NA,NA,NA,NA,$24334.77,NA,NA,NA,$25615.55,NA,NA,$25615.55,NA,$29457.88,$25615.55,$25615.55,$25615.55,NA,$24334.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-C,NA,NA,$19301.77,$23365.30,NA,NA,NA,NA,NA,$19301.77,NA,NA,NA,$20317.65,NA,NA,$20317.65,NA,$23365.30,$20317.65,$20317.65,$20317.65,NA,$19301.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-D,NA,NA,$17335.61,$20985.22,NA,NA,NA,NA,NA,$17335.61,NA,NA,NA,$18248.01,NA,NA,$18248.01,NA,$20985.22,$18248.01,$18248.01,$18248.01,NA,$17335.61,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-A,NA,NA,$18437.57,$22319.16,NA,NA,NA,NA,NA,$18437.57,NA,NA,NA,$19407.96,NA,NA,$19407.96,NA,$22319.16,$19407.96,$19407.96,$19407.96,NA,$18437.57,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-B,NA,NA,$27904.79,$33779.48,NA,NA,NA,NA,NA,$27904.79,NA,NA,NA,$29373.46,NA,NA,$29373.46,NA,$33779.48,$29373.46,$29373.46,$29373.46,NA,$27904.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-C,NA,NA,$22134.64,$26794.56,NA,NA,NA,NA,NA,$22134.64,NA,NA,NA,$23299.62,NA,NA,$23299.62,NA,$26794.56,$23299.62,$23299.62,$23299.62,NA,$22134.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-D,NA,NA,$19879.16,$24064.25,NA,NA,NA,NA,NA,$19879.16,NA,NA,NA,$20925.43,NA,NA,$20925.43,NA,$24064.25,$20925.43,$20925.43,$20925.43,NA,$19879.16,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-A,NA,NA,$22015.14,$26649.90,NA,NA,NA,NA,NA,$22015.14,NA,NA,NA,$23173.83,NA,NA,$23173.83,NA,$26649.90,$23173.83,$23173.83,$23173.83,NA,$22015.14,NA,NA,NA,NA
