Encompass Health Rehabilitation Hospital of Gadsden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,BC FEP (BCFD) negotiated charge,BC/BS ALABAMA (BCAL) negotiated charge,BCBS AL MEDICARE ADVANTAG (BCAD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,HEALTHSPRING MEDICARE (HLSM) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HLTHCARE MEDICARE (UHCM) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-A,NA,NA,$17963.24,$21744.98,NA,NA,NA,NA,NA,$18341.42,NA,NA,NA,$18908.68,NA,$18908.68,NA,$18908.68,NA,$21744.98,$18908.68,$18908.68,$18908.68,NA,$17963.24,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-B,NA,NA,$25814.05,$31248.58,NA,NA,NA,NA,NA,$26357.50,NA,NA,NA,$27172.68,NA,$27172.68,NA,$27172.68,NA,$31248.58,$27172.68,$27172.68,$27172.68,NA,$25814.05,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-C,NA,NA,$21314.27,$25801.49,NA,NA,NA,NA,NA,$21762.99,NA,NA,NA,$22436.08,NA,$22436.08,NA,$22436.08,NA,$25801.49,$22436.08,$22436.08,$22436.08,NA,$21314.27,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-D,NA,NA,$20233.53,$24493.23,NA,NA,NA,NA,NA,$20659.50,NA,NA,NA,$21298.46,NA,$21298.46,NA,$21298.46,NA,$24493.23,$21298.46,$21298.46,$21298.46,NA,$20233.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-A,NA,NA,$9379.17,$11353.73,NA,NA,NA,NA,NA,$9576.63,NA,NA,NA,$9872.81,NA,$9872.81,NA,$9872.81,NA,$11353.73,$9872.81,$9872.81,$9872.81,NA,$9379.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-B,NA,NA,$14165.82,$17148.10,NA,NA,NA,NA,NA,$14464.05,NA,NA,NA,$14911.39,NA,$14911.39,NA,$14911.39,NA,$17148.10,$14911.39,$14911.39,$14911.39,NA,$14165.82,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-C,NA,NA,$11613.60,$14058.57,NA,NA,NA,NA,NA,$11858.10,NA,NA,NA,$12224.84,NA,$12224.84,NA,$12224.84,NA,$14058.57,$12224.84,$12224.84,$12224.84,NA,$11613.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-D,NA,NA,$10482.17,$12688.94,NA,NA,NA,NA,NA,$10702.84,NA,NA,NA,$11033.86,NA,$11033.86,NA,$11033.86,NA,$12688.94,$11033.86,$11033.86,$11033.86,NA,$10482.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-A,NA,NA,$11783.01,$14263.64,NA,NA,NA,NA,NA,$12031.07,NA,NA,NA,$12403.17,NA,$12403.17,NA,$12403.17,NA,$14263.64,$12403.17,$12403.17,$12403.17,NA,$11783.01,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-B,NA,NA,$17795.07,$21541.41,NA,NA,NA,NA,NA,$18169.71,NA,NA,NA,$18731.66,NA,$18731.66,NA,$18731.66,NA,$21541.41,$18731.66,$18731.66,$18731.66,NA,$17795.07,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-C,NA,NA,$14589.96,$17661.53,NA,NA,NA,NA,NA,$14897.11,NA,NA,NA,$15357.85,NA,$15357.85,NA,$15357.85,NA,$17661.53,$15357.85,$15357.85,$15357.85,NA,$14589.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-D,NA,NA,$13169.17,$15941.63,NA,NA,NA,NA,NA,$13446.42,NA,NA,NA,$13862.28,NA,$13862.28,NA,$13862.28,NA,$15941.63,$13862.28,$13862.28,$13862.28,NA,$13169.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-A,NA,NA,$14306.79,$17318.74,NA,NA,NA,NA,NA,$14607.98,NA,NA,NA,$15059.78,NA,$15059.78,NA,$15059.78,NA,$17318.74,$15059.78,$15059.78,$15059.78,NA,$14306.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-B,NA,NA,$21607.33,$26156.24,NA,NA,NA,NA,NA,$22062.22,NA,NA,NA,$22744.56,NA,$22744.56,NA,$22744.56,NA,$26156.24,$22744.56,$22744.56,$22744.56,NA,$21607.33,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-C,NA,NA,$17714.70,$21444.11,NA,NA,NA,NA,NA,$18087.64,NA,NA,NA,$18647.05,NA,$18647.05,NA,$18647.05,NA,$21444.11,$18647.05,$18647.05,$18647.05,NA,$17714.70,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-D,NA,NA,$15989.72,$19355.98,NA,NA,NA,NA,NA,$16326.35,NA,NA,NA,$16831.29,NA,$16831.29,NA,$16831.29,NA,$19355.98,$16831.29,$16831.29,$16831.29,NA,$15989.72,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-A,NA,NA,$16804.60,$20342.42,NA,NA,NA,NA,NA,$17158.38,NA,NA,NA,$17689.06,NA,$17689.06,NA,$17689.06,NA,$20342.42,$17689.06,$17689.06,$17689.06,NA,$16804.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-B,NA,NA,$25378.78,$30721.69,NA,NA,NA,NA,NA,$25913.08,NA,NA,NA,$26714.51,NA,$26714.51,NA,$26714.51,NA,$30721.69,$26714.51,$26714.51,$26714.51,NA,$25378.78,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-C,NA,NA,$20807.29,$25187.77,NA,NA,NA,NA,NA,$21245.34,NA,NA,NA,$21902.41,NA,$21902.41,NA,$21902.41,NA,$25187.77,$21902.41,$21902.41,$21902.41,NA,$20807.29,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-D,NA,NA,$18780.60,$22734.41,NA,NA,NA,NA,NA,$19175.98,NA,NA,NA,$19769.05,NA,$19769.05,NA,$19769.05,NA,$22734.41,$19769.05,$19769.05,$19769.05,NA,$18780.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-A,NA,NA,$11452.85,$13863.98,NA,NA,NA,NA,NA,$11693.96,NA,NA,NA,$12055.63,NA,$12055.63,NA,$12055.63,NA,$13863.98,$12055.63,$12055.63,$12055.63,NA,$11452.85,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-B,NA,NA,$15957.57,$19317.06,NA,NA,NA,NA,NA,$16293.52,NA,NA,NA,$16797.44,NA,$16797.44,NA,$16797.44,NA,$19317.06,$16797.44,$16797.44,$16797.44,NA,$15957.57,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-C,NA,NA,$12779.66,$15470.11,NA,NA,NA,NA,NA,$13048.71,NA,NA,NA,$13452.27,NA,$13452.27,NA,$13452.27,NA,$15470.11,$13452.27,$13452.27,$13452.27,NA,$12779.66,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-D,NA,NA,$11938.81,$14452.25,NA,NA,NA,NA,NA,$12190.15,NA,NA,NA,$12567.17,NA,$12567.17,NA,$12567.17,NA,$14452.25,$12567.17,$12567.17,$12567.17,NA,$11938.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-A,NA,NA,$14122.54,$17095.71,NA,NA,NA,NA,NA,$14419.86,NA,NA,NA,$14865.84,NA,$14865.84,NA,$14865.84,NA,$17095.71,$14865.84,$14865.84,$14865.84,NA,$14122.54,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-B,NA,NA,$19677.09,$23819.64,NA,NA,NA,NA,NA,$20091.34,NA,NA,NA,$20712.73,NA,$20712.73,NA,$20712.73,NA,$23819.64,$20712.73,$20712.73,$20712.73,NA,$19677.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-C,NA,NA,$15758.49,$19076.07,NA,NA,NA,NA,NA,$16090.25,NA,NA,NA,$16587.88,NA,$16587.88,NA,$16587.88,NA,$19076.07,$16587.88,$16587.88,$16587.88,NA,$15758.49,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-D,NA,NA,$14722.27,$17821.69,NA,NA,NA,NA,NA,$15032.21,NA,NA,NA,$15497.12,NA,$15497.12,NA,$15497.12,NA,$17821.69,$15497.12,$15497.12,$15497.12,NA,$14722.27,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-A,NA,NA,$16397.78,$19849.95,NA,NA,NA,NA,NA,$16743.00,NA,NA,NA,$17260.82,NA,$17260.82,NA,$17260.82,NA,$19849.95,$17260.82,$17260.82,$17260.82,NA,$16397.78,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-B,NA,NA,$22846.35,$27656.10,NA,NA,NA,NA,NA,$23327.32,NA,NA,NA,$24048.79,NA,$24048.79,NA,$24048.79,NA,$27656.10,$24048.79,$24048.79,$24048.79,NA,$22846.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-C,NA,NA,$18295.87,$22147.64,NA,NA,NA,NA,NA,$18681.05,NA,NA,NA,$19258.81,NA,$19258.81,NA,$19258.81,NA,$22147.64,$19258.81,$19258.81,$19258.81,NA,$18295.87,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-D,NA,NA,$17092.72,$20691.18,NA,NA,NA,NA,NA,$17452.56,NA,NA,NA,$17992.33,NA,$17992.33,NA,$17992.33,NA,$20691.18,$17992.33,$17992.33,$17992.33,NA,$17092.72,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-A,NA,NA,$19011.83,$23014.32,NA,NA,NA,NA,NA,$19412.08,NA,NA,NA,$20012.45,NA,$20012.45,NA,$20012.45,NA,$23014.32,$20012.45,$20012.45,$20012.45,NA,$19011.83,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-B,NA,NA,$26487.96,$32064.38,NA,NA,NA,NA,NA,$27045.60,NA,NA,NA,$27882.07,NA,$27882.07,NA,$27882.07,NA,$32064.38,$27882.07,$27882.07,$27882.07,NA,$26487.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-C,NA,NA,$21211.64,$25677.25,NA,NA,NA,NA,NA,$21658.20,NA,NA,NA,$22328.04,NA,$22328.04,NA,$22328.04,NA,$25677.25,$22328.04,$22328.04,$22328.04,NA,$21211.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-D,NA,NA,$19818.06,$23990.28,NA,NA,NA,NA,NA,$20235.28,NA,NA,NA,$20861.11,NA,$20861.11,NA,$20861.11,NA,$23990.28,$20861.11,$20861.11,$20861.11,NA,$19818.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-A,NA,NA,$9926.96,$12016.84,NA,NA,NA,NA,NA,$10135.95,NA,NA,NA,$10449.43,NA,$10449.43,NA,$10449.43,NA,$12016.84,$10449.43,$10449.43,$10449.43,NA,$9926.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-B,NA,NA,$12228.16,$14802.51,NA,NA,NA,NA,NA,$12485.60,NA,NA,NA,$12871.75,NA,$12871.75,NA,$12871.75,NA,$14802.51,$12871.75,$12871.75,$12871.75,NA,$12228.16,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-C,NA,NA,$12228.16,$14802.51,NA,NA,NA,NA,NA,$12485.60,NA,NA,NA,$12871.75,NA,$12871.75,NA,$12871.75,NA,$14802.51,$12871.75,$12871.75,$12871.75,NA,$12228.16,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-D,NA,NA,$11028.72,$13350.55,NA,NA,NA,NA,NA,$11260.90,NA,NA,NA,$11609.18,NA,$11609.18,NA,$11609.18,NA,$13350.55,$11609.18,$11609.18,$11609.18,NA,$11028.72,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-A,NA,NA,$11118.98,$13459.82,NA,NA,NA,NA,NA,$11353.07,NA,NA,NA,$11704.19,NA,$11704.19,NA,$11704.19,NA,$13459.82,$11704.19,$11704.19,$11704.19,NA,$11118.98,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-B,NA,NA,$13698.41,$16582.29,NA,NA,NA,NA,NA,$13986.80,NA,NA,NA,$14419.38,NA,$14419.38,NA,$14419.38,NA,$16582.29,$14419.38,$14419.38,$14419.38,NA,$13698.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-C,NA,NA,$13698.41,$16582.29,NA,NA,NA,NA,NA,$13986.80,NA,NA,NA,$14419.38,NA,$14419.38,NA,$14419.38,NA,$16582.29,$14419.38,$14419.38,$14419.38,NA,$13698.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-D,NA,NA,$12354.29,$14955.19,NA,NA,NA,NA,NA,$12614.38,NA,NA,NA,$13004.52,NA,$13004.52,NA,$13004.52,NA,$14955.19,$13004.52,$13004.52,$13004.52,NA,$12354.29,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-A,NA,NA,$13588.36,$16449.07,NA,NA,NA,NA,NA,$13874.43,NA,NA,NA,$14303.54,NA,$14303.54,NA,$14303.54,NA,$16449.07,$14303.54,$14303.54,$14303.54,NA,$13588.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-B,NA,NA,$16740.30,$20264.58,NA,NA,NA,NA,NA,$17092.73,NA,NA,NA,$17621.37,NA,$17621.37,NA,$17621.37,NA,$20264.58,$17621.37,$17621.37,$17621.37,NA,$16740.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-C,NA,NA,$16740.30,$20264.58,NA,NA,NA,NA,NA,$17092.73,NA,NA,NA,$17621.37,NA,$17621.37,NA,$17621.37,NA,$20264.58,$17621.37,$17621.37,$17621.37,NA,$16740.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-D,NA,NA,$15096.94,$18275.24,NA,NA,NA,NA,NA,$15414.77,NA,NA,NA,$15891.52,NA,$15891.52,NA,$15891.52,NA,$18275.24,$15891.52,$15891.52,$15891.52,NA,$15096.94,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-A,NA,NA,$17265.83,$20900.75,NA,NA,NA,NA,NA,$17629.33,NA,NA,NA,$18174.56,NA,$18174.56,NA,$18174.56,NA,$20900.75,$18174.56,$18174.56,$18174.56,NA,$17265.83,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-B,NA,NA,$21269.76,$25747.60,NA,NA,NA,NA,NA,$21717.54,NA,NA,NA,$22389.22,NA,$22389.22,NA,$22389.22,NA,$25747.60,$22389.22,$22389.22,$22389.22,NA,$21269.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-C,NA,NA,$21269.76,$25747.60,NA,NA,NA,NA,NA,$21717.54,NA,NA,NA,$22389.22,NA,$22389.22,NA,$22389.22,NA,$25747.60,$22389.22,$22389.22,$22389.22,NA,$21269.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-D,NA,NA,$19182.47,$23220.89,NA,NA,NA,NA,NA,$19586.32,NA,NA,NA,$20192.08,NA,$20192.08,NA,$20192.08,NA,$23220.89,$20192.08,$20192.08,$20192.08,NA,$19182.47,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-A,NA,NA,$11168.45,$13519.70,NA,NA,NA,NA,NA,$11403.57,NA,NA,NA,$11756.26,NA,$11756.26,NA,$11756.26,NA,$13519.70,$11756.26,$11756.26,$11756.26,NA,$11168.45,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-B,NA,NA,$17200.30,$20821.41,NA,NA,NA,NA,NA,$17562.41,NA,NA,NA,$18105.58,NA,$18105.58,NA,$18105.58,NA,$20821.41,$18105.58,$18105.58,$18105.58,NA,$17200.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-C,NA,NA,$13493.14,$16333.81,NA,NA,NA,NA,NA,$13777.21,NA,NA,NA,$14203.31,NA,$14203.31,NA,$14203.31,NA,$16333.81,$14203.31,$14203.31,$14203.31,NA,$13493.14,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-D,NA,NA,$12265.26,$14847.42,NA,NA,NA,NA,NA,$12523.47,NA,NA,NA,$12910.80,NA,$12910.80,NA,$12910.80,NA,$14847.42,$12910.80,$12910.80,$12910.80,NA,$12265.26,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-A,NA,NA,$13640.29,$16511.93,NA,NA,NA,NA,NA,$13927.46,NA,NA,NA,$14358.20,NA,$14358.20,NA,$14358.20,NA,$16511.93,$14358.20,$14358.20,$14358.20,NA,$13640.29,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-B,NA,NA,$21006.37,$25428.77,NA,NA,NA,NA,NA,$21448.61,NA,NA,NA,$22111.97,NA,$22111.97,NA,$22111.97,NA,$25428.77,$22111.97,$22111.97,$22111.97,NA,$21006.37,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-C,NA,NA,$16480.63,$19950.24,NA,NA,NA,NA,NA,$16827.59,NA,NA,NA,$17348.03,NA,$17348.03,NA,$17348.03,NA,$19950.24,$17348.03,$17348.03,$17348.03,NA,$16480.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-D,NA,NA,$14980.70,$18134.54,NA,NA,NA,NA,NA,$15296.09,NA,NA,NA,$15769.16,NA,$15769.16,NA,$15769.16,NA,$18134.54,$15769.16,$15769.16,$15769.16,NA,$14980.70,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-A,NA,NA,$16170.26,$19574.52,NA,NA,NA,NA,NA,$16510.68,NA,NA,NA,$17021.32,NA,$17021.32,NA,$17021.32,NA,$19574.52,$17021.32,$17021.32,$17021.32,NA,$16170.26,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-B,NA,NA,$24903.95,$30146.89,NA,NA,NA,NA,NA,$25428.25,NA,NA,NA,$26214.69,NA,$26214.69,NA,$26214.69,NA,$30146.89,$26214.69,$26214.69,$26214.69,NA,$24903.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-C,NA,NA,$19536.12,$23648.99,NA,NA,NA,NA,NA,$19947.41,NA,NA,NA,$20564.34,NA,$20564.34,NA,$20564.34,NA,$23648.99,$20564.34,$20564.34,$20564.34,NA,$19536.12,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-D,NA,NA,$17759.21,$21498.00,NA,NA,NA,NA,NA,$18133.09,NA,NA,NA,$18693.91,NA,$18693.91,NA,$18693.91,NA,$21498.00,$18693.91,$18693.91,$18693.91,NA,$17759.21,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-A,NA,NA,$17887.81,$21653.67,NA,NA,NA,NA,NA,$18264.40,NA,NA,NA,$18829.28,NA,$18829.28,NA,$18829.28,NA,$21653.67,$18829.28,$18829.28,$18829.28,NA,$17887.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-B,NA,NA,$27548.92,$33348.69,NA,NA,NA,NA,NA,$28128.89,NA,NA,NA,$28998.86,NA,$28998.86,NA,$28998.86,NA,$33348.69,$28998.86,$28998.86,$28998.86,NA,$27548.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-C,NA,NA,$21612.28,$26162.23,NA,NA,NA,NA,NA,$22067.27,NA,NA,NA,$22749.77,NA,$22749.77,NA,$22749.77,NA,$26162.23,$22749.77,$22749.77,$22749.77,NA,$21612.28,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-D,NA,NA,$19646.18,$23782.21,NA,NA,NA,NA,NA,$20059.78,NA,NA,NA,$20680.19,NA,$20680.19,NA,$20680.19,NA,$23782.21,$20680.19,$20680.19,$20680.19,NA,$19646.18,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-A,NA,NA,$19627.63,$23759.76,NA,NA,NA,NA,NA,$20040.84,NA,NA,NA,$20660.66,NA,$20660.66,NA,$20660.66,NA,$23759.76,$20660.66,$20660.66,$20660.66,NA,$19627.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-B,NA,NA,$30229.74,$36593.89,NA,NA,NA,NA,NA,$30866.15,NA,NA,NA,$31820.78,NA,$31820.78,NA,$31820.78,NA,$36593.89,$31820.78,$31820.78,$31820.78,NA,$30229.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-C,NA,NA,$23715.64,$28708.40,NA,NA,NA,NA,NA,$24214.91,NA,NA,NA,$24963.83,NA,$24963.83,NA,$24963.83,NA,$28708.40,$24963.83,$24963.83,$24963.83,NA,$23715.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-D,NA,NA,$21557.87,$26096.37,NA,NA,NA,NA,NA,$22011.72,NA,NA,NA,$22692.50,NA,$22692.50,NA,$22692.50,NA,$26096.37,$22692.50,$22692.50,$22692.50,NA,$21557.87,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-A,NA,NA,$10114.91,$12244.37,NA,NA,NA,NA,NA,$10327.86,NA,NA,NA,$10647.28,NA,$10647.28,NA,$10647.28,NA,$12244.37,$10647.28,$10647.28,$10647.28,NA,$10114.91,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-B,NA,NA,$15309.62,$18532.70,NA,NA,NA,NA,NA,$15631.93,NA,NA,NA,$16115.39,NA,$16115.39,NA,$16115.39,NA,$18532.70,$16115.39,$16115.39,$16115.39,NA,$15309.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-C,NA,NA,$12144.08,$14700.73,NA,NA,NA,NA,NA,$12399.74,NA,NA,NA,$12783.24,NA,$12783.24,NA,$12783.24,NA,$14700.73,$12783.24,$12783.24,$12783.24,NA,$12144.08,NA,NA,NA,NA
