Encompass Health Rehabilitation Hospital of Altamonte Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL NETWORK BLUE (BCNB) negotiated charge,BCFL PREFERRED PAT CARE (BCFP) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HUMANA MILITARY HEALTH (TRI) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,ONECALL MEDICAL (OCL) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYRAMID/AMERICAN PROGRESS (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-A,NA,NA,$18083.70,$20798.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36169.17,NA,NA,NA,NA,$36169.17,$36169.17,$36169.17,NA,NA,$41594.55,$36169.17,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-B,NA,NA,$27311.55,$31411.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54625.77,NA,NA,NA,NA,$54625.77,$54625.77,$54625.77,NA,NA,$62819.63,$54625.77,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-C,NA,NA,$22391.28,$25752.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44784.75,NA,NA,NA,NA,$44784.75,$44784.75,$44784.75,NA,NA,$51502.46,$44784.75,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-D,NA,NA,$20210.92,$23244.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40423.82,NA,NA,NA,NA,$40423.82,$40423.82,$40423.82,NA,NA,$46487.39,$40423.82,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-A,NA,NA,$21240.93,$24429.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42483.93,NA,NA,NA,NA,$42483.93,$42483.93,$42483.93,NA,NA,$48856.52,$42483.93,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-B,NA,NA,$32078.64,$36894.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$64160.42,NA,NA,NA,NA,$64160.42,$64160.42,$64160.42,NA,NA,$73784.49,$64160.42,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-C,NA,NA,$26300.30,$30248.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$52603.17,NA,NA,NA,NA,$52603.17,$52603.17,$52603.17,NA,NA,$60493.64,$52603.17,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-D,NA,NA,$23738.57,$27302.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47479.46,NA,NA,NA,NA,$47479.46,$47479.46,$47479.46,NA,NA,$54601.39,$47479.46,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-A,NA,NA,$14476.34,$16649.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28954.10,NA,NA,NA,NA,$28954.10,$28954.10,$28954.10,NA,NA,$33297.21,$28954.10,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-B,NA,NA,$20170.28,$23198.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40342.54,NA,NA,NA,NA,$40342.54,$40342.54,$40342.54,NA,NA,$46393.93,$40342.54,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-C,NA,NA,$16153.42,$18578.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32308.42,NA,NA,NA,NA,$32308.42,$32308.42,$32308.42,NA,NA,$37154.68,$32308.42,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-D,NA,NA,$15090.59,$17355.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30182.66,NA,NA,NA,NA,$30182.66,$30182.66,$30182.66,NA,NA,$34710.06,$30182.66,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-A,NA,NA,$17850.82,$20530.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35703.38,NA,NA,NA,NA,$35703.38,$35703.38,$35703.38,NA,NA,$41058.89,$35703.38,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-B,NA,NA,$24871.73,$28605.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49745.90,NA,NA,NA,NA,$49745.90,$49745.90,$49745.90,NA,NA,$57207.78,$49745.90,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-C,NA,NA,$19918.64,$22908.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39839.23,NA,NA,NA,NA,$39839.23,$39839.23,$39839.23,NA,NA,$45815.12,$39839.23,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-D,NA,NA,$18608.86,$21402.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37219.55,NA,NA,NA,NA,$37219.55,$37219.55,$37219.55,NA,NA,$42802.48,$37219.55,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-A,NA,NA,$20726.70,$23838.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41455.43,NA,NA,NA,NA,$41455.43,$41455.43,$41455.43,NA,NA,$47673.75,$41455.43,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-B,NA,NA,$28877.66,$33212.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$57758.14,NA,NA,NA,NA,$57758.14,$57758.14,$57758.14,NA,NA,$66421.85,$57758.14,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-C,NA,NA,$23125.88,$26597.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46254.03,NA,NA,NA,NA,$46254.03,$46254.03,$46254.03,NA,NA,$53192.13,$46254.03,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-D,NA,NA,$21605.10,$24848.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43212.32,NA,NA,NA,NA,$43212.32,$43212.32,$43212.32,NA,NA,$49694.17,$43212.32,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-A,NA,NA,$24030.85,$27638.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48064.05,NA,NA,NA,NA,$48064.05,$48064.05,$48064.05,NA,NA,$55273.66,$48064.05,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-B,NA,NA,$33480.64,$38506.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$66964.55,NA,NA,NA,NA,$66964.55,$66964.55,$66964.55,NA,NA,$77009.23,$66964.55,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-C,NA,NA,$26811.39,$30836.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53625.41,NA,NA,NA,NA,$53625.41,$53625.41,$53625.41,NA,NA,$61669.22,$53625.41,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-D,NA,NA,$25049.91,$28810.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$50102.27,NA,NA,NA,NA,$50102.27,$50102.27,$50102.27,NA,NA,$57617.62,$50102.27,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-A,NA,NA,$12547.62,$14431.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25096.47,NA,NA,NA,NA,$25096.47,$25096.47,$25096.47,NA,NA,$28860.93,$25096.47,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-B,NA,NA,$15456.33,$17776.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30914.17,NA,NA,NA,NA,$30914.17,$30914.17,$30914.17,NA,NA,$35551.30,$30914.17,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-C,NA,NA,$15456.33,$17776.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30914.17,NA,NA,NA,NA,$30914.17,$30914.17,$30914.17,NA,NA,$35551.30,$30914.17,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-D,NA,NA,$13940.24,$16032.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27881.84,NA,NA,NA,NA,$27881.84,$27881.84,$27881.84,NA,NA,$32064.11,$27881.84,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-A,NA,NA,$14054.33,$16164.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28110.04,NA,NA,NA,NA,$28110.04,$28110.04,$28110.04,NA,NA,$32326.55,$28110.04,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-B,NA,NA,$17314.71,$19913.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34631.12,NA,NA,NA,NA,$34631.12,$34631.12,$34631.12,NA,NA,$39825.79,$34631.12,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-C,NA,NA,$17314.71,$19913.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34631.12,NA,NA,NA,NA,$34631.12,$34631.12,$34631.12,NA,NA,$39825.79,$34631.12,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-D,NA,NA,$15615.75,$17959.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31233.03,NA,NA,NA,NA,$31233.03,$31233.03,$31233.03,NA,NA,$35917.99,$31233.03,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-A,NA,NA,$17175.61,$19753.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34352.90,NA,NA,NA,NA,$34352.90,$34352.90,$34352.90,NA,NA,$39505.83,$34352.90,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-B,NA,NA,$21159.65,$24335.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42321.37,NA,NA,NA,NA,$42321.37,$42321.37,$42321.37,NA,NA,$48669.58,$42321.37,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-C,NA,NA,$21159.65,$24335.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42321.37,NA,NA,NA,NA,$42321.37,$42321.37,$42321.37,NA,NA,$48669.58,$42321.37,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-D,NA,NA,$19082.45,$21946.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38166.77,NA,NA,NA,NA,$38166.77,$38166.77,$38166.77,NA,NA,$43891.77,$38166.77,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-A,NA,NA,$21823.92,$25099.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43649.97,NA,NA,NA,NA,$43649.97,$43649.97,$43649.97,NA,NA,$50197.47,$43649.97,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-B,NA,NA,$26884.85,$30920.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53772.34,NA,NA,NA,NA,$53772.34,$53772.34,$53772.34,NA,NA,$61838.19,$53772.34,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-C,NA,NA,$26884.85,$30920.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53772.34,NA,NA,NA,NA,$53772.34,$53772.34,$53772.34,NA,NA,$61838.19,$53772.34,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-D,NA,NA,$24246.54,$27886.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48495.45,NA,NA,NA,NA,$48495.45,$48495.45,$48495.45,NA,NA,$55769.77,$48495.45,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-A,NA,NA,$14116.85,$16235.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28235.09,NA,NA,NA,NA,$28235.09,$28235.09,$28235.09,NA,NA,$32470.35,$28235.09,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-B,NA,NA,$21741.08,$25004.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43484.29,NA,NA,NA,NA,$43484.29,$43484.29,$43484.29,NA,NA,$50006.93,$43484.29,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-C,NA,NA,$17055.26,$19615.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34112.19,NA,NA,NA,NA,$34112.19,$34112.19,$34112.19,NA,NA,$39229.02,$34112.19,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-D,NA,NA,$15503.22,$17830.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31007.96,NA,NA,NA,NA,$31007.96,$31007.96,$31007.96,NA,NA,$35659.15,$31007.96,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-A,NA,NA,$17241.25,$19829.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34484.19,NA,NA,NA,NA,$34484.19,$34484.19,$34484.19,NA,NA,$39656.82,$34484.19,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-B,NA,NA,$26551.94,$30537.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53106.48,NA,NA,NA,NA,$53106.48,$53106.48,$53106.48,NA,NA,$61072.45,$53106.48,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-C,NA,NA,$20831.42,$23958.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41664.88,NA,NA,NA,NA,$41664.88,$41664.88,$41664.88,NA,NA,$47914.62,$41664.88,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-D,NA,NA,$18935.53,$21777.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37872.91,NA,NA,NA,NA,$37872.91,$37872.91,$37872.91,NA,NA,$43553.85,$37872.91,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-A,NA,NA,$20439.12,$23507.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40880.24,NA,NA,NA,NA,$40880.24,$40880.24,$40880.24,NA,NA,$47012.26,$40880.24,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-B,NA,NA,$31478.46,$36203.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$62960.00,NA,NA,NA,NA,$62960.00,$62960.00,$62960.00,NA,NA,$72404.00,$62960.00,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-C,NA,NA,$24693.55,$28400.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49389.52,NA,NA,NA,NA,$49389.52,$49389.52,$49389.52,NA,NA,$56797.96,$49389.52,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-D,NA,NA,$22447.55,$25817.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44897.29,NA,NA,NA,NA,$44897.29,$44897.29,$44897.29,NA,NA,$51631.89,$44897.29,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-A,NA,NA,$22610.10,$26004.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45222.41,NA,NA,NA,NA,$45222.41,$45222.41,$45222.41,NA,NA,$52005.77,$45222.41,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-B,NA,NA,$34821.68,$40048.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$69646.76,NA,NA,NA,NA,$69646.76,$69646.76,$69646.76,NA,NA,$80093.78,$69646.76,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-C,NA,NA,$27317.80,$31418.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54638.27,NA,NA,NA,NA,$54638.27,$54638.27,$54638.27,NA,NA,$62834.01,$54638.27,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-D,NA,NA,$24832.66,$28560.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49667.75,NA,NA,NA,NA,$49667.75,$49667.75,$49667.75,NA,NA,$57117.91,$49667.75,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-A,NA,NA,$24809.21,$28533.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49620.85,NA,NA,NA,NA,$49620.85,$49620.85,$49620.85,NA,NA,$57063.99,$49620.85,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-B,NA,NA,$38210.22,$43946.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$76424.18,NA,NA,NA,NA,$76424.18,$76424.18,$76424.18,NA,NA,$87887.81,$76424.18,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-C,NA,NA,$29976.43,$34476.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$59955.80,NA,NA,NA,NA,$59955.80,$59955.80,$59955.80,NA,NA,$68949.17,$59955.80,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-D,NA,NA,$27249.03,$31339.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54500.73,NA,NA,NA,NA,$54500.73,$54500.73,$54500.73,NA,NA,$62675.83,$54500.73,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-A,NA,NA,$12785.19,$14704.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25571.63,NA,NA,NA,NA,$25571.63,$25571.63,$25571.63,NA,NA,$29407.38,$25571.63,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-B,NA,NA,$19351.28,$22256.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38704.45,NA,NA,NA,NA,$38704.45,$38704.45,$38704.45,NA,NA,$44510.12,$38704.45,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-C,NA,NA,$15350.05,$17654.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30701.60,NA,NA,NA,NA,$30701.60,$30701.60,$30701.60,NA,NA,$35306.83,$30701.60,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-D,NA,NA,$13785.50,$15854.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27572.35,NA,NA,NA,NA,$27572.35,$27572.35,$27572.35,NA,NA,$31708.21,$27572.35,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-A,NA,NA,$16283.15,$18727.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32567.89,NA,NA,NA,NA,$32567.89,$32567.89,$32567.89,NA,NA,$37453.07,$32567.89,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-B,NA,NA,$24643.54,$28342.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49289.49,NA,NA,NA,NA,$49289.49,$49289.49,$49289.49,NA,NA,$56682.91,$49289.49,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-C,NA,NA,$19546.65,$22480.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39095.22,NA,NA,NA,NA,$39095.22,$39095.22,$39095.22,NA,NA,$44959.50,$39095.22,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-D,NA,NA,$17555.41,$20190.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35112.54,NA,NA,NA,NA,$35112.54,$35112.54,$35112.54,NA,NA,$40379.43,$35112.54,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-A,NA,NA,$19978.04,$22976.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39958.03,NA,NA,NA,NA,$39958.03,$39958.03,$39958.03,NA,NA,$45951.73,$39958.03,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-B,NA,NA,$30235.89,$34774.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$60474.74,NA,NA,NA,NA,$60474.74,$60474.74,$60474.74,NA,NA,$69545.94,$60474.74,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-C,NA,NA,$23982.40,$27582.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47967.14,NA,NA,NA,NA,$47967.14,$47967.14,$47967.14,NA,NA,$55162.21,$47967.14,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-D,NA,NA,$21539.45,$24772.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43081.01,NA,NA,NA,NA,$43081.01,$43081.01,$43081.01,NA,NA,$49543.17,$43081.01,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-A,NA,NA,$22908.63,$26347.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45819.50,NA,NA,NA,NA,$45819.50,$45819.50,$45819.50,NA,NA,$52692.42,$45819.50,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-B,NA,NA,$34671.63,$39876.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$69346.65,NA,NA,NA,NA,$69346.65,$69346.65,$69346.65,NA,NA,$79748.65,$69346.65,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-C,NA,NA,$27502.23,$31630.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$55007.15,NA,NA,NA,NA,$55007.15,$55007.15,$55007.15,NA,NA,$63258.23,$55007.15,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-D,NA,NA,$24699.80,$28407.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49402.02,NA,NA,NA,NA,$49402.02,$49402.02,$49402.02,NA,NA,$56812.34,$49402.02,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-A,NA,NA,$27353.75,$31459.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54710.18,NA,NA,NA,NA,$54710.18,$54710.18,$54710.18,NA,NA,$62916.70,$54710.18,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-B,NA,NA,$41398.70,$47613.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$82801.46,NA,NA,NA,NA,$82801.46,$82801.46,$82801.46,NA,NA,$95221.68,$82801.46,NA,NA,NA
