Encompass Health Rehabilitation Hospital of Littleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WC ACCESS (AETW) negotiated charge,ANTHEM BC OF CO MEDICARE (BCAM) negotiated charge,ANTHEM BC OF COLORADO (BCAC) negotiated charge,BRIGHT HEALTH EXCHANGE (BRHZ) negotiated charge,BRIGHT HEALTH PLAN (BRH) negotiated charge,BRIGHT HEALTH PLAN MCR (BRHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CHOICE CARE NETWORK (CHO) negotiated charge,CHOICE CARE NETWORK MCR (CHOM) negotiated charge,CIGNA (CIG) negotiated charge,CIGNA EXCHANGE (CIGZ) negotiated charge,CIGNA MEDICARE (CIGM) negotiated charge,CO ACCESS CHP HMO MCD (CAHD) negotiated charge,COLORADO ACCESS MEDICAID (CAAD) negotiated charge,COVENTRY (CHC) negotiated charge,COVENTRY WORK COMP (CHCW) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WC (FTHW) negotiated charge,HEALTHNET FEDERAL SVCS (HFS) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,LONGEVITY HEALTH PLAN MCR (LHPM) negotiated charge,MY INNOVAGE PACE DUAL (MIPB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PINNACOL ASSURANCE (PIN) negotiated charge,PINNACOL ASSURANCE WC (PINW) negotiated charge,PRIME HEALTH SERVICES (PRH) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYRAMID/AMERICAN PROGRESS (AMPM) negotiated charge,ROCKY MOUNTAIN HMO (RMH) negotiated charge,ROCKY MOUNTAIN MEDICARE (RMHM) negotiated charge,TRIWEST VETERANS (TWV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-D,NA,NA,$27037.02,$34547.31,NA,$30041.14,NA,$30041.14,NA,$28539.08,$28539.08,$28839.49,NA,NA,$30041.14,NA,$27037.02,NA,NA,$30041.14,NA,NA,NA,NA,NA,NA,$30041.14,NA,$27037.02,$30041.14,$30041.14,NA,NA,NA,NA,NA,$34547.31,$30041.14,NA,NA,$30041.14,NA,$30041.14,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-A,NA,NA,$12285.72,$15698.42,NA,$13650.80,NA,$13650.80,NA,$12968.26,$12968.26,$13104.76,NA,NA,$13650.80,NA,$12285.72,NA,NA,$13650.80,NA,NA,NA,NA,NA,NA,$13650.80,NA,$12285.72,$13650.80,$13650.80,NA,NA,NA,NA,NA,$15698.42,$13650.80,NA,NA,$13650.80,NA,$13650.80,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-B,NA,NA,$18301.88,$23385.74,NA,$20335.43,NA,$20335.43,NA,$19318.66,$19318.66,$19522.01,NA,NA,$20335.43,NA,$18301.88,NA,NA,$20335.43,NA,NA,NA,NA,NA,NA,$20335.43,NA,$18301.88,$20335.43,$20335.43,NA,NA,NA,NA,NA,$23385.74,$20335.43,NA,NA,$20335.43,NA,$20335.43,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-C,NA,NA,$14728.57,$18819.84,NA,$16365.07,NA,$16365.07,NA,$15546.82,$15546.82,$15710.47,NA,NA,$16365.07,NA,$14728.57,NA,NA,$16365.07,NA,NA,NA,NA,NA,NA,$16365.07,NA,$14728.57,$16365.07,$16365.07,NA,NA,NA,NA,NA,$18819.84,$16365.07,NA,NA,$16365.07,NA,$16365.07,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-D,NA,NA,$13190.42,$16854.42,NA,$14656.02,NA,$14656.02,NA,$13923.22,$13923.22,$14069.78,NA,NA,$14656.02,NA,$13190.42,NA,NA,$14656.02,NA,NA,NA,NA,NA,NA,$14656.02,NA,$13190.42,$14656.02,$14656.02,NA,NA,NA,NA,NA,$16854.42,$14656.02,NA,NA,$14656.02,NA,$14656.02,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-A,NA,NA,$14444.33,$18456.64,NA,$16049.25,NA,$16049.25,NA,$15246.79,$15246.79,$15407.28,NA,NA,$16049.25,NA,$14444.33,NA,NA,$16049.25,NA,NA,NA,NA,NA,NA,$16049.25,NA,$14444.33,$16049.25,$16049.25,NA,NA,NA,NA,NA,$18456.64,$16049.25,NA,NA,$16049.25,NA,$16049.25,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-B,NA,NA,$21517.87,$27495.06,NA,$23908.75,NA,$23908.75,NA,$22713.31,$22713.31,$22952.40,NA,NA,$23908.75,NA,$21517.87,NA,NA,$23908.75,NA,NA,NA,NA,NA,NA,$23908.75,NA,$21517.87,$23908.75,$23908.75,NA,NA,NA,NA,NA,$27495.06,$23908.75,NA,NA,$23908.75,NA,$23908.75,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-C,NA,NA,$17315.97,$22125.97,NA,$19239.97,NA,$19239.97,NA,$18277.97,$18277.97,$18470.37,NA,NA,$19239.97,NA,$17315.97,NA,NA,$19239.97,NA,NA,NA,NA,NA,NA,$19239.97,NA,$17315.97,$19239.97,$19239.97,NA,NA,NA,NA,NA,$22125.97,$19239.97,NA,NA,$19239.97,NA,$19239.97,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-D,NA,NA,$15508.20,$19816.03,NA,$17231.33,NA,$17231.33,NA,$16369.77,$16369.77,$16542.08,NA,NA,$17231.33,NA,$15508.20,NA,NA,$17231.33,NA,NA,NA,NA,NA,NA,$17231.33,NA,$15508.20,$17231.33,$17231.33,NA,NA,NA,NA,NA,$19816.03,$17231.33,NA,NA,$17231.33,NA,$17231.33,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-A,NA,NA,$16135.15,$20617.14,NA,$17927.95,NA,$17927.95,NA,$17031.55,$17031.55,$17210.83,NA,NA,$17927.95,NA,$16135.15,NA,NA,$17927.95,NA,NA,NA,NA,NA,NA,$17927.95,NA,$16135.15,$17927.95,$17927.95,NA,NA,NA,NA,NA,$20617.14,$17927.95,NA,NA,$17927.95,NA,$17927.95,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-B,NA,NA,$24037.06,$30714.02,NA,$26707.84,NA,$26707.84,NA,$25372.45,$25372.45,$25639.53,NA,NA,$26707.84,NA,$24037.06,NA,NA,$26707.84,NA,NA,NA,NA,NA,NA,$26707.84,NA,$24037.06,$26707.84,$26707.84,NA,NA,NA,NA,NA,$30714.02,$26707.84,NA,NA,$26707.84,NA,$26707.84,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-C,NA,NA,$19343.02,$24716.08,NA,$21492.24,NA,$21492.24,NA,$20417.63,$20417.63,$20632.55,NA,NA,$21492.24,NA,$19343.02,NA,NA,$21492.24,NA,NA,NA,NA,NA,NA,$21492.24,NA,$19343.02,$21492.24,$21492.24,NA,NA,NA,NA,NA,$24716.08,$21492.24,NA,NA,$21492.24,NA,$21492.24,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-D,NA,NA,$17324.09,$22136.34,NA,$19248.99,NA,$19248.99,NA,$18286.54,$18286.54,$18479.03,NA,NA,$19248.99,NA,$17324.09,NA,NA,$19248.99,NA,NA,NA,NA,NA,NA,$19248.99,NA,$17324.09,$19248.99,$19248.99,NA,NA,NA,NA,NA,$22136.34,$19248.99,NA,NA,$19248.99,NA,$19248.99,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-A,NA,NA,$18595.87,$23761.39,NA,$20662.08,NA,$20662.08,NA,$19628.98,$19628.98,$19835.60,NA,NA,$20662.08,NA,$18595.87,NA,NA,$20662.08,NA,NA,NA,NA,NA,NA,$20662.08,NA,$18595.87,$20662.08,$20662.08,NA,NA,NA,NA,NA,$23761.39,$20662.08,NA,NA,$20662.08,NA,$20662.08,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-B,NA,NA,$27702.96,$35398.23,NA,$30781.07,NA,$30781.07,NA,$29242.01,$29242.01,$29549.82,NA,NA,$30781.07,NA,$27702.96,NA,NA,$30781.07,NA,NA,NA,NA,NA,NA,$30781.07,NA,$27702.96,$30781.07,$30781.07,NA,NA,NA,NA,NA,$35398.23,$30781.07,NA,NA,$30781.07,NA,$30781.07,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-C,NA,NA,$22294.26,$28487.10,NA,$24771.39,NA,$24771.39,NA,$23532.82,$23532.82,$23780.54,NA,NA,$24771.39,NA,$22294.26,NA,NA,$24771.39,NA,NA,NA,NA,NA,NA,$24771.39,NA,$22294.26,$24771.39,$24771.39,NA,NA,NA,NA,NA,$28487.10,$24771.39,NA,NA,$24771.39,NA,$24771.39,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-D,NA,NA,$19966.73,$25513.04,NA,$22185.25,NA,$22185.25,NA,$21075.99,$21075.99,$21297.84,NA,NA,$22185.25,NA,$19966.73,NA,NA,$22185.25,NA,NA,NA,NA,NA,NA,$22185.25,NA,$19966.73,$22185.25,$22185.25,NA,NA,NA,NA,NA,$25513.04,$22185.25,NA,NA,$22185.25,NA,$22185.25,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-A,NA,NA,$21668.92,$27688.07,NA,$24076.58,NA,$24076.58,NA,$22872.75,$22872.75,$23113.52,NA,NA,$24076.58,NA,$21668.92,NA,NA,$24076.58,NA,NA,NA,NA,NA,NA,$24076.58,NA,$21668.92,$24076.58,$24076.58,NA,NA,NA,NA,NA,$27688.07,$24076.58,NA,NA,$24076.58,NA,$24076.58,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-B,NA,NA,$32280.05,$41246.74,NA,$35866.73,NA,$35866.73,NA,$34073.39,$34073.39,$34432.06,NA,NA,$35866.73,NA,$32280.05,NA,NA,$35866.73,NA,NA,NA,NA,NA,NA,$35866.73,NA,$32280.05,$35866.73,$35866.73,NA,NA,NA,NA,NA,$41246.74,$35866.73,NA,NA,$35866.73,NA,$35866.73,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-C,NA,NA,$25978.02,$33194.14,NA,$28864.47,NA,$28864.47,NA,$27421.24,$27421.24,$27709.89,NA,NA,$28864.47,NA,$25978.02,NA,NA,$28864.47,NA,NA,NA,NA,NA,NA,$28864.47,NA,$25978.02,$28864.47,$28864.47,NA,NA,NA,NA,NA,$33194.14,$28864.47,NA,NA,$28864.47,NA,$28864.47,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-D,NA,NA,$23265.55,$29728.20,NA,$25850.61,NA,$25850.61,NA,$24558.08,$24558.08,$24816.58,NA,NA,$25850.61,NA,$23265.55,NA,NA,$25850.61,NA,NA,NA,NA,NA,NA,$25850.61,NA,$23265.55,$25850.61,$25850.61,NA,NA,NA,NA,NA,$29728.20,$25850.61,NA,NA,$25850.61,NA,$25850.61,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-A,NA,NA,$13437.30,$17169.88,NA,$14930.33,NA,$14930.33,NA,$14183.82,$14183.82,$14333.12,NA,NA,$14930.33,NA,$13437.30,NA,NA,$14930.33,NA,NA,NA,NA,NA,NA,$14930.33,NA,$13437.30,$14930.33,$14930.33,NA,NA,NA,NA,NA,$17169.88,$14930.33,NA,NA,$14930.33,NA,$14930.33,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-B,NA,NA,$19671.11,$25135.31,NA,$21856.79,NA,$21856.79,NA,$20763.95,$20763.95,$20982.52,NA,NA,$21856.79,NA,$19671.11,NA,NA,$21856.79,NA,NA,NA,NA,NA,NA,$21856.79,NA,$19671.11,$21856.79,$21856.79,NA,NA,NA,NA,NA,$25135.31,$21856.79,NA,NA,$21856.79,NA,$21856.79,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-C,NA,NA,$15675.50,$20029.80,NA,$17417.22,NA,$17417.22,NA,$16546.36,$16546.36,$16720.53,NA,NA,$17417.22,NA,$15675.50,NA,NA,$17417.22,NA,NA,NA,NA,NA,NA,$17417.22,NA,$15675.50,$17417.22,$17417.22,NA,NA,NA,NA,NA,$20029.80,$17417.22,NA,NA,$17417.22,NA,$17417.22,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-D,NA,NA,$14834.14,$18954.74,NA,$16482.38,NA,$16482.38,NA,$15658.26,$15658.26,$15823.08,NA,NA,$16482.38,NA,$14834.14,NA,NA,$16482.38,NA,NA,NA,NA,NA,NA,$16482.38,NA,$14834.14,$16482.38,$16482.38,NA,NA,NA,NA,NA,$18954.74,$16482.38,NA,NA,$16482.38,NA,$16482.38,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-A,NA,NA,$16731.25,$21378.82,NA,$18590.28,NA,$18590.28,NA,$17660.76,$17660.76,$17846.67,NA,NA,$18590.28,NA,$16731.25,NA,NA,$18590.28,NA,NA,NA,NA,NA,NA,$18590.28,NA,$16731.25,$18590.28,$18590.28,NA,NA,NA,NA,NA,$21378.82,$18590.28,NA,NA,$18590.28,NA,$18590.28,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-B,NA,NA,$24490.22,$31293.06,NA,$27211.36,NA,$27211.36,NA,$25850.79,$25850.79,$26122.90,NA,NA,$27211.36,NA,$24490.22,NA,NA,$27211.36,NA,NA,NA,NA,NA,NA,$27211.36,NA,$24490.22,$27211.36,$27211.36,NA,NA,NA,NA,NA,$31293.06,$27211.36,NA,NA,$27211.36,NA,$27211.36,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-C,NA,NA,$19515.19,$24936.07,NA,$21683.54,NA,$21683.54,NA,$20599.37,$20599.37,$20816.20,NA,NA,$21683.54,NA,$19515.19,NA,NA,$21683.54,NA,NA,NA,NA,NA,NA,$21683.54,NA,$19515.19,$21683.54,$21683.54,NA,NA,NA,NA,NA,$24936.07,$21683.54,NA,NA,$21683.54,NA,$21683.54,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-D,NA,NA,$18469.18,$23599.51,NA,$20521.31,NA,$20521.31,NA,$19495.25,$19495.25,$19700.46,NA,NA,$20521.31,NA,$18469.18,NA,NA,$20521.31,NA,NA,NA,NA,NA,NA,$20521.31,NA,$18469.18,$20521.31,$20521.31,NA,NA,NA,NA,NA,$23599.51,$20521.31,NA,NA,$20521.31,NA,$20521.31,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-A,NA,NA,$19688.98,$25158.14,NA,$21876.65,NA,$21876.65,NA,$20782.81,$20782.81,$21001.58,NA,NA,$21876.65,NA,$19688.98,NA,NA,$21876.65,NA,NA,NA,NA,NA,NA,$21876.65,NA,$19688.98,$21876.65,$21876.65,NA,NA,NA,NA,NA,$25158.14,$21876.65,NA,NA,$21876.65,NA,$21876.65,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-B,NA,NA,$28820.43,$36826.11,NA,$32022.70,NA,$32022.70,NA,$30421.57,$30421.57,$30741.80,NA,NA,$32022.70,NA,$28820.43,NA,NA,$32022.70,NA,NA,NA,NA,NA,NA,$32022.70,NA,$28820.43,$32022.70,$32022.70,NA,NA,NA,NA,NA,$36826.11,$32022.70,NA,NA,$32022.70,NA,$32022.70,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-C,NA,NA,$22965.06,$29344.25,NA,$25516.74,NA,$25516.74,NA,$24240.90,$24240.90,$24496.07,NA,NA,$25516.74,NA,$22965.06,NA,NA,$25516.74,NA,NA,NA,NA,NA,NA,$25516.74,NA,$22965.06,$25516.74,$25516.74,NA,NA,NA,NA,NA,$29344.25,$25516.74,NA,NA,$25516.74,NA,$25516.74,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-D,NA,NA,$21735.52,$27773.16,NA,$24150.58,NA,$24150.58,NA,$22943.05,$22943.05,$23184.55,NA,NA,$24150.58,NA,$21735.52,NA,NA,$24150.58,NA,NA,NA,NA,NA,NA,$24150.58,NA,$21735.52,$24150.58,$24150.58,NA,NA,NA,NA,NA,$27773.16,$24150.58,NA,NA,$24150.58,NA,$24150.58,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-A,NA,NA,$22606.11,$28885.58,NA,$25117.90,NA,$25117.90,NA,$23862.00,$23862.00,$24113.18,NA,NA,$25117.90,NA,$22606.11,NA,NA,$25117.90,NA,NA,NA,NA,NA,NA,$25117.90,NA,$22606.11,$25117.90,$25117.90,NA,NA,NA,NA,NA,$28885.58,$25117.90,NA,NA,$25117.90,NA,$25117.90,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-B,NA,NA,$33090.55,$42282.37,NA,$36767.28,NA,$36767.28,NA,$34928.91,$34928.91,$35296.58,NA,NA,$36767.28,NA,$33090.55,NA,NA,$36767.28,NA,NA,NA,NA,NA,NA,$36767.28,NA,$33090.55,$36767.28,$36767.28,NA,NA,NA,NA,NA,$42282.37,$36767.28,NA,NA,$36767.28,NA,$36767.28,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-C,NA,NA,$26369.46,$33694.31,NA,$29299.40,NA,$29299.40,NA,$27834.43,$27834.43,$28127.43,NA,NA,$29299.40,NA,$26369.46,NA,NA,$29299.40,NA,NA,NA,NA,NA,NA,$29299.40,NA,$26369.46,$29299.40,$29299.40,NA,NA,NA,NA,NA,$33694.31,$29299.40,NA,NA,$29299.40,NA,$29299.40,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-D,NA,NA,$24956.38,$31888.70,NA,$27729.31,NA,$27729.31,NA,$26342.84,$26342.84,$26620.14,NA,NA,$27729.31,NA,$24956.38,NA,NA,$27729.31,NA,NA,NA,NA,NA,NA,$27729.31,NA,$24956.38,$27729.31,$27729.31,NA,NA,NA,NA,NA,$31888.70,$27729.31,NA,NA,$27729.31,NA,$27729.31,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-A,NA,NA,$14624.62,$18687.01,NA,$16249.57,NA,$16249.57,NA,$15437.09,$15437.09,$15599.59,NA,NA,$16249.57,NA,$14624.62,NA,NA,$16249.57,NA,NA,NA,NA,NA,NA,$16249.57,NA,$14624.62,$16249.57,$16249.57,NA,NA,NA,NA,NA,$18687.01,$16249.57,NA,NA,$16249.57,NA,$16249.57,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-B,NA,NA,$21050.09,$26897.34,NA,$23388.99,NA,$23388.99,NA,$22219.54,$22219.54,$22453.43,NA,NA,$23388.99,NA,$21050.09,NA,NA,$23388.99,NA,NA,NA,NA,NA,NA,$23388.99,NA,$21050.09,$23388.99,$23388.99,NA,NA,NA,NA,NA,$26897.34,$23388.99,NA,NA,$23388.99,NA,$23388.99,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-C,NA,NA,$17644.07,$22545.20,NA,$19604.52,NA,$19604.52,NA,$18624.30,$18624.30,$18820.34,NA,NA,$19604.52,NA,$17644.07,NA,NA,$19604.52,NA,NA,NA,NA,NA,NA,$19604.52,NA,$17644.07,$19604.52,$19604.52,NA,NA,NA,NA,NA,$22545.20,$19604.52,NA,NA,$19604.52,NA,$19604.52,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-D,NA,NA,$15833.05,$20231.12,NA,$17592.27,NA,$17592.27,NA,$16712.66,$16712.66,$16888.58,NA,NA,$17592.27,NA,$15833.05,NA,NA,$17592.27,NA,NA,NA,NA,NA,NA,$17592.27,NA,$15833.05,$17592.27,$17592.27,NA,NA,NA,NA,NA,$20231.12,$17592.27,NA,NA,$17592.27,NA,$17592.27,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-A,NA,NA,$18066.37,$23084.81,NA,$20073.74,NA,$20073.74,NA,$19070.06,$19070.06,$19270.80,NA,NA,$20073.74,NA,$18066.37,NA,NA,$20073.74,NA,NA,NA,NA,NA,NA,$20073.74,NA,$18066.37,$20073.74,$20073.74,NA,NA,NA,NA,NA,$23084.81,$20073.74,NA,NA,$20073.74,NA,$20073.74,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-B,NA,NA,$26004.01,$33227.34,NA,$28893.34,NA,$28893.34,NA,$27448.68,$27448.68,$27737.61,NA,NA,$28893.34,NA,$26004.01,NA,NA,$28893.34,NA,NA,NA,NA,NA,NA,$28893.34,NA,$26004.01,$28893.34,$28893.34,NA,NA,NA,NA,NA,$33227.34,$28893.34,NA,NA,$28893.34,NA,$28893.34,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-C,NA,NA,$21795.61,$27849.95,NA,$24217.35,NA,$24217.35,NA,$23006.48,$23006.48,$23248.66,NA,NA,$24217.35,NA,$21795.61,NA,NA,$24217.35,NA,NA,NA,NA,NA,NA,$24217.35,NA,$21795.61,$24217.35,$24217.35,NA,NA,NA,NA,NA,$27849.95,$24217.35,NA,NA,$24217.35,NA,$24217.35,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-D,NA,NA,$19559.04,$24992.11,NA,$21732.27,NA,$21732.27,NA,$20645.66,$20645.66,$20862.98,NA,NA,$21732.27,NA,$19559.04,NA,NA,$21732.27,NA,NA,NA,NA,NA,NA,$21732.27,NA,$19559.04,$21732.27,$21732.27,NA,NA,NA,NA,NA,$24992.11,$21732.27,NA,NA,$21732.27,NA,$21732.27,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-A,NA,NA,$21110.19,$26974.13,NA,$23455.76,NA,$23455.76,NA,$22282.98,$22282.98,$22517.53,NA,NA,$23455.76,NA,$21110.19,NA,NA,$23455.76,NA,NA,NA,NA,NA,NA,$23455.76,NA,$21110.19,$23455.76,$23455.76,NA,NA,NA,NA,NA,$26974.13,$23455.76,NA,NA,$23455.76,NA,$23455.76,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-B,NA,NA,$30386.20,$38826.81,NA,$33762.44,NA,$33762.44,NA,$32074.32,$32074.32,$32411.94,NA,NA,$33762.44,NA,$30386.20,NA,NA,$33762.44,NA,NA,NA,NA,NA,NA,$33762.44,NA,$30386.20,$33762.44,$33762.44,NA,NA,NA,NA,NA,$38826.81,$33762.44,NA,NA,$33762.44,NA,$33762.44,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-C,NA,NA,$25469.64,$32544.53,NA,$28299.59,NA,$28299.59,NA,$26884.62,$26884.62,$27167.61,NA,NA,$28299.59,NA,$25469.64,NA,NA,$28299.59,NA,NA,NA,NA,NA,NA,$28299.59,NA,$25469.64,$28299.59,$28299.59,NA,NA,NA,NA,NA,$32544.53,$28299.59,NA,NA,$28299.59,NA,$28299.59,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-D,NA,NA,$22856.24,$29205.20,NA,$25395.82,NA,$25395.82,NA,$24126.03,$24126.03,$24379.99,NA,NA,$25395.82,NA,$22856.24,NA,NA,$25395.82,NA,NA,NA,NA,NA,NA,$25395.82,NA,$22856.24,$25395.82,$25395.82,NA,NA,NA,NA,NA,$29205.20,$25395.82,NA,NA,$25395.82,NA,$25395.82,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-A,NA,NA,$24880.04,$31791.16,NA,$27644.49,NA,$27644.49,NA,$26262.26,$26262.26,$26538.71,NA,NA,$27644.49,NA,$24880.04,NA,NA,$27644.49,NA,NA,NA,NA,NA,NA,$27644.49,NA,$24880.04,$27644.49,$27644.49,NA,NA,NA,NA,NA,$31791.16,$27644.49,NA,NA,$27644.49,NA,$27644.49,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-B,NA,NA,$35812.77,$45760.76,NA,$39791.96,NA,$39791.96,NA,$37802.36,$37802.36,$38200.28,NA,NA,$39791.96,NA,$35812.77,NA,NA,$39791.96,NA,NA,NA,NA,NA,NA,$39791.96,NA,$35812.77,$39791.96,$39791.96,NA,NA,NA,NA,NA,$45760.76,$39791.96,NA,NA,$39791.96,NA,$39791.96,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-C,NA,NA,$30017.49,$38355.69,NA,$33352.77,NA,$33352.77,NA,$31685.13,$31685.13,$32018.66,NA,NA,$33352.77,NA,$30017.49,NA,NA,$33352.77,NA,NA,NA,NA,NA,NA,$33352.77,NA,$30017.49,$33352.77,$33352.77,NA,NA,NA,NA,NA,$38355.69,$33352.77,NA,NA,$33352.77,NA,$33352.77,NA,NA
