Encompass Health Rehabilitation Hospital of Largo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,ADVANET WORK COMP (ADVW) negotiated charge,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,AVMED HEALTH PLAN (AVMD) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,CARE PLUS HEALTH PLAN (CPH) negotiated charge,CAREPLUS HEALTH MEDICARE (CPHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WC (CVLW) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA EXCHANGE (HUMZ) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,HUMANA MILITARY (TRICARE) (TRI) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIME HEALTH SERVICES WC (PRMW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-C,NA,NA,$24429.95,$29573.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25715.74,NA,NA,NA,$25715.74,NA,NA,NA,NA,$25715.74,NA,$25715.74,NA,NA,NA,$29573.10,$25715.74,NA,$25715.74,NA,$24429.95,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-D,NA,NA,$23120.80,$27988.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24337.68,NA,NA,NA,$24337.68,NA,NA,NA,NA,$24337.68,NA,$24337.68,NA,NA,NA,$27988.34,$24337.68,NA,$24337.68,NA,$23120.80,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-A,NA,NA,$13548.95,$16401.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14262.06,NA,NA,NA,$14262.06,NA,NA,NA,NA,$14262.06,NA,$14262.06,NA,NA,NA,$16401.37,$14262.06,NA,$14262.06,NA,$13548.95,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-B,NA,NA,$19501.83,$23607.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20528.24,NA,NA,NA,$20528.24,NA,NA,NA,NA,$20528.24,NA,$20528.24,NA,NA,NA,$23607.47,$20528.24,NA,$20528.24,NA,$19501.83,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-C,NA,NA,$16346.32,$19787.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17206.66,NA,NA,NA,$17206.66,NA,NA,NA,NA,$17206.66,NA,$17206.66,NA,NA,NA,$19787.65,$17206.66,NA,$17206.66,NA,$16346.32,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-D,NA,NA,$14668.50,$17756.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15440.53,NA,NA,NA,$15440.53,NA,NA,NA,NA,$15440.53,NA,$15440.53,NA,NA,NA,$17756.61,$15440.53,NA,$15440.53,NA,$14668.50,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-A,NA,NA,$16737.56,$20261.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17618.49,NA,NA,NA,$17618.49,NA,NA,NA,NA,$17618.49,NA,$17618.49,NA,NA,NA,$20261.26,$17618.49,NA,$17618.49,NA,$16737.56,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-B,NA,NA,$24091.38,$29163.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25359.34,NA,NA,NA,$25359.34,NA,NA,NA,NA,$25359.34,NA,$25359.34,NA,NA,NA,$29163.25,$25359.34,NA,$25359.34,NA,$24091.38,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-C,NA,NA,$20192.52,$24443.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21255.28,NA,NA,NA,$21255.28,NA,NA,NA,NA,$21255.28,NA,$21255.28,NA,NA,NA,$24443.57,$21255.28,NA,$21255.28,NA,$20192.52,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-D,NA,NA,$18120.45,$21935.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19074.15,NA,NA,NA,$19074.15,NA,NA,NA,NA,$19074.15,NA,$19074.15,NA,NA,NA,$21935.28,$19074.15,NA,$19074.15,NA,$18120.45,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-A,NA,NA,$19557.50,$23674.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20586.85,NA,NA,NA,$20586.85,NA,NA,NA,NA,$20586.85,NA,$20586.85,NA,NA,NA,$23674.87,$20586.85,NA,$20586.85,NA,$19557.50,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-B,NA,NA,$28151.25,$34077.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29632.89,NA,NA,NA,$29632.89,NA,NA,NA,NA,$29632.89,NA,$29632.89,NA,NA,NA,$34077.83,$29632.89,NA,$29632.89,NA,$28151.25,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-C,NA,NA,$23596.31,$28563.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24838.22,NA,NA,NA,$24838.22,NA,NA,NA,NA,$24838.22,NA,$24838.22,NA,NA,NA,$28563.95,$24838.22,NA,$24838.22,NA,$23596.31,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-D,NA,NA,$21175.13,$25633.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22289.61,NA,NA,NA,$22289.61,NA,NA,NA,NA,$22289.61,NA,$22289.61,NA,NA,NA,$25633.05,$22289.61,NA,$22289.61,NA,$21175.13,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-A,NA,NA,$23050.08,$27902.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24263.24,NA,NA,NA,$24263.24,NA,NA,NA,NA,$24263.24,NA,$24263.24,NA,NA,NA,$27902.72,$24263.24,NA,$24263.24,NA,$23050.08,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-B,NA,NA,$33178.69,$40163.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34924.93,NA,NA,NA,$34924.93,NA,NA,NA,NA,$34924.93,NA,$34924.93,NA,NA,NA,$40163.67,$34924.93,NA,$34924.93,NA,$33178.69,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-C,NA,NA,$27809.66,$33664.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29273.33,NA,NA,NA,$29273.33,NA,NA,NA,NA,$29273.33,NA,$29273.33,NA,NA,NA,$33664.33,$29273.33,NA,$29273.33,NA,$27809.66,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-D,NA,NA,$24956.62,$30210.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26270.13,NA,NA,NA,$26270.13,NA,NA,NA,NA,$26270.13,NA,$26270.13,NA,NA,NA,$30210.64,$26270.13,NA,$26270.13,NA,$24956.62,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-A,NA,NA,$14761.80,$17869.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15538.74,NA,NA,NA,$15538.74,NA,NA,NA,NA,$15538.74,NA,$15538.74,NA,NA,NA,$17869.55,$15538.74,NA,$15538.74,NA,$14761.80,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-B,NA,NA,$19560.51,$23678.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20590.01,NA,NA,NA,$20590.01,NA,NA,NA,NA,$20590.01,NA,$20590.01,NA,NA,NA,$23678.51,$20590.01,NA,$20590.01,NA,$19560.51,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-C,NA,NA,$17429.76,$21099.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18347.11,NA,NA,NA,$18347.11,NA,NA,NA,NA,$18347.11,NA,$18347.11,NA,NA,NA,$21099.18,$18347.11,NA,$18347.11,NA,$17429.76,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-D,NA,NA,$15223.76,$18428.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16025.01,NA,NA,NA,$16025.01,NA,NA,NA,NA,$16025.01,NA,$16025.01,NA,NA,NA,$18428.77,$16025.01,NA,$16025.01,NA,$15223.76,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-A,NA,NA,$19723.03,$23875.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20761.08,NA,NA,NA,$20761.08,NA,NA,NA,NA,$20761.08,NA,$20761.08,NA,NA,NA,$23875.24,$20761.08,NA,$20761.08,NA,$19723.03,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-B,NA,NA,$26133.35,$31635.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27508.79,NA,NA,NA,$27508.79,NA,NA,NA,NA,$27508.79,NA,$27508.79,NA,NA,NA,$31635.11,$27508.79,NA,$27508.79,NA,$26133.35,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-C,NA,NA,$23287.83,$28190.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24513.50,NA,NA,NA,$24513.50,NA,NA,NA,NA,$24513.50,NA,$24513.50,NA,NA,NA,$28190.53,$24513.50,NA,$24513.50,NA,$23287.83,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-D,NA,NA,$20339.98,$24622.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21410.51,NA,NA,NA,$21410.51,NA,NA,NA,NA,$21410.51,NA,$21410.51,NA,NA,NA,$24622.09,$21410.51,NA,$21410.51,NA,$20339.98,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-A,NA,NA,$22162.26,$26828.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23328.70,NA,NA,NA,$23328.70,NA,NA,NA,NA,$23328.70,NA,$23328.70,NA,NA,NA,$26828.00,$23328.70,NA,$23328.70,NA,$22162.26,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-B,NA,NA,$29365.60,$35547.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30911.16,NA,NA,NA,$30911.16,NA,NA,NA,NA,$30911.16,NA,$30911.16,NA,NA,NA,$35547.83,$30911.16,NA,$30911.16,NA,$29365.60,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-C,NA,NA,$26167.96,$31677.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27545.22,NA,NA,NA,$27545.22,NA,NA,NA,NA,$27545.22,NA,$27545.22,NA,NA,NA,$31677.00,$27545.22,NA,$27545.22,NA,$26167.96,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-D,NA,NA,$22854.46,$27665.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24057.32,NA,NA,NA,$24057.32,NA,NA,NA,NA,$24057.32,NA,$24057.32,NA,NA,NA,$27665.92,$24057.32,NA,$24057.32,NA,$22854.46,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-A,NA,NA,$13118.59,$15880.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13809.04,NA,NA,NA,$13809.04,NA,NA,NA,NA,$13809.04,NA,$13809.04,NA,NA,NA,$15880.40,$13809.04,NA,$13809.04,NA,$13118.59,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-B,NA,NA,$21444.49,$25959.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22573.14,NA,NA,NA,$22573.14,NA,NA,NA,NA,$22573.14,NA,$22573.14,NA,NA,NA,$25959.11,$22573.14,NA,$22573.14,NA,$21444.49,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-C,NA,NA,$14287.80,$17295.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15039.79,NA,NA,NA,$15039.79,NA,NA,NA,NA,$15039.79,NA,$15039.79,NA,NA,NA,$17295.75,$15039.79,NA,$15039.79,NA,$14287.80,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-D,NA,NA,$14287.80,$17295.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15039.79,NA,NA,NA,$15039.79,NA,NA,NA,NA,$15039.79,NA,$15039.79,NA,NA,NA,$17295.75,$15039.79,NA,$15039.79,NA,$14287.80,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-A,NA,NA,$16483.26,$19953.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17350.80,NA,NA,NA,$17350.80,NA,NA,NA,NA,$17350.80,NA,$17350.80,NA,NA,NA,$19953.42,$17350.80,NA,$17350.80,NA,$16483.26,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-B,NA,NA,$26945.93,$32618.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28364.13,NA,NA,NA,$28364.13,NA,NA,NA,NA,$28364.13,NA,$28364.13,NA,NA,NA,$32618.75,$28364.13,NA,$28364.13,NA,$26945.93,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-C,NA,NA,$17951.91,$21731.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18896.75,NA,NA,NA,$18896.75,NA,NA,NA,NA,$18896.75,NA,$18896.75,NA,NA,NA,$21731.26,$18896.75,NA,$18896.75,NA,$17951.91,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-D,NA,NA,$17951.91,$21731.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18896.75,NA,NA,NA,$18896.75,NA,NA,NA,NA,$18896.75,NA,$18896.75,NA,NA,NA,$21731.26,$18896.75,NA,$18896.75,NA,$17951.91,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-A,NA,NA,$19161.75,$23195.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20170.26,NA,NA,NA,$20170.26,NA,NA,NA,NA,$20170.26,NA,$20170.26,NA,NA,NA,$23195.80,$20170.26,NA,$20170.26,NA,$19161.75,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-B,NA,NA,$31321.80,$37915.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32970.31,NA,NA,NA,$32970.31,NA,NA,NA,NA,$32970.31,NA,$32970.31,NA,NA,NA,$37915.86,$32970.31,NA,$32970.31,NA,$31321.80,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-C,NA,NA,$20866.65,$25259.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21964.90,NA,NA,NA,$21964.90,NA,NA,NA,NA,$21964.90,NA,$21964.90,NA,NA,NA,$25259.63,$21964.90,NA,$21964.90,NA,$20866.65,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-D,NA,NA,$20866.65,$25259.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21964.90,NA,NA,NA,$21964.90,NA,NA,NA,NA,$21964.90,NA,$21964.90,NA,NA,NA,$25259.63,$21964.90,NA,$21964.90,NA,$20866.65,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-A,NA,NA,$20138.34,$24378.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21198.26,NA,NA,NA,$21198.26,NA,NA,NA,NA,$21198.26,NA,$21198.26,NA,NA,NA,$24378.00,$21198.26,NA,$21198.26,NA,$20138.34,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-B,NA,NA,$32919.87,$39850.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34652.49,NA,NA,NA,$34652.49,NA,NA,NA,NA,$34652.49,NA,$34652.49,NA,NA,NA,$39850.36,$34652.49,NA,$34652.49,NA,$32919.87,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-C,NA,NA,$21932.03,$26549.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23086.35,NA,NA,NA,$23086.35,NA,NA,NA,NA,$23086.35,NA,$23086.35,NA,NA,NA,$26549.30,$23086.35,NA,$23086.35,NA,$21932.03,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-D,NA,NA,$21932.03,$26549.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23086.35,NA,NA,NA,$23086.35,NA,NA,NA,NA,$23086.35,NA,$23086.35,NA,NA,NA,$26549.30,$23086.35,NA,$23086.35,NA,$21932.03,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-A,NA,NA,$11807.93,$14293.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12429.40,NA,NA,NA,$12429.40,NA,NA,NA,NA,$12429.40,NA,$12429.40,NA,NA,NA,$14293.82,$12429.40,NA,$12429.40,NA,$11807.93,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-B,NA,NA,$16969.30,$20541.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17862.42,NA,NA,NA,$17862.42,NA,NA,NA,NA,$17862.42,NA,$17862.42,NA,NA,NA,$20541.78,$17862.42,NA,$17862.42,NA,$16969.30,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-C,NA,NA,$14010.92,$16960.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14748.34,NA,NA,NA,$14748.34,NA,NA,NA,NA,$14748.34,NA,$14748.34,NA,NA,NA,$16960.59,$14748.34,NA,$14748.34,NA,$14010.92,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-D,NA,NA,$13300.67,$16100.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14000.70,NA,NA,NA,$14000.70,NA,NA,NA,NA,$14000.70,NA,$14000.70,NA,NA,NA,$16100.81,$14000.70,NA,$14000.70,NA,$13300.67,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-A,NA,NA,$16156.72,$19558.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17007.08,NA,NA,NA,$17007.08,NA,NA,NA,NA,$17007.08,NA,$17007.08,NA,NA,NA,$19558.14,$17007.08,NA,$17007.08,NA,$16156.72,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-B,NA,NA,$23217.10,$28104.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24439.06,NA,NA,NA,$24439.06,NA,NA,NA,NA,$24439.06,NA,$24439.06,NA,NA,NA,$28104.92,$24439.06,NA,$24439.06,NA,$23217.10,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-C,NA,NA,$19170.78,$23206.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20179.77,NA,NA,NA,$20179.77,NA,NA,NA,NA,$20179.77,NA,$20179.77,NA,NA,NA,$23206.73,$20179.77,NA,$20179.77,NA,$19170.78,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-D,NA,NA,$18198.70,$22030.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19156.52,NA,NA,NA,$19156.52,NA,NA,NA,NA,$19156.52,NA,$19156.52,NA,NA,NA,$22030.00,$19156.52,NA,$19156.52,NA,$18198.70,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-A,NA,NA,$18624.55,$22545.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19604.78,NA,NA,NA,$19604.78,NA,NA,NA,NA,$19604.78,NA,$19604.78,NA,NA,NA,$22545.50,$19604.78,NA,$19604.78,NA,$18624.55,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-B,NA,NA,$26763.85,$32398.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28172.47,NA,NA,NA,$28172.47,NA,NA,NA,NA,$28172.47,NA,$28172.47,NA,NA,NA,$32398.34,$28172.47,NA,$28172.47,NA,$26763.85,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-C,NA,NA,$22099.06,$26751.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23262.17,NA,NA,NA,$23262.17,NA,NA,NA,NA,$23262.17,NA,$23262.17,NA,NA,NA,$26751.49,$23262.17,NA,$23262.17,NA,$22099.06,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-D,NA,NA,$20978.01,$25394.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22082.11,NA,NA,NA,$22082.11,NA,NA,NA,NA,$22082.11,NA,$22082.11,NA,NA,NA,$25394.43,$22082.11,NA,$22082.11,NA,$20978.01,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-A,NA,NA,$21588.94,$26133.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22725.20,NA,NA,NA,$22725.20,NA,NA,NA,NA,$22725.20,NA,$22725.20,NA,NA,NA,$26133.98,$22725.20,NA,$22725.20,NA,$21588.94,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-B,NA,NA,$31023.85,$37555.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32656.69,NA,NA,NA,$32656.69,NA,NA,NA,NA,$32656.69,NA,$32656.69,NA,NA,NA,$37555.19,$32656.69,NA,$32656.69,NA,$31023.85,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-C,NA,NA,$25617.21,$31010.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26965.49,NA,NA,NA,$26965.49,NA,NA,NA,NA,$26965.49,NA,$26965.49,NA,NA,NA,$31010.31,$26965.49,NA,$26965.49,NA,$25617.21,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-D,NA,NA,$24318.60,$29438.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25598.52,NA,NA,NA,$25598.52,NA,NA,NA,NA,$25598.52,NA,$25598.52,NA,NA,NA,$29438.30,$25598.52,NA,$25598.52,NA,$24318.60,NA,NA,NA
