Encompass Health Rehabilitation Hospital of New England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALLWAYS HEALTH PART EXCH (ALLZ) negotiated charge,ALLWAYS HEALTH PART MCD (ALLD) negotiated charge,ALLWAYS HEALTH PARTNERS (ALL) negotiated charge,AMERICAS CHOICE PROV NET (ACPN) negotiated charge,BCBS OF MA (BCMA) negotiated charge,BCBS OF MA EXCHANGE (BMAZ) negotiated charge,BCBS OF MA MEDICARE (BMAM) negotiated charge,BCMA BLUE BENEFIT ADMIN (BCMB) negotiated charge,BMC HEALTH PLAN DUAL (BMCB) negotiated charge,BMC HEALTH PLAN MEDICAID (BMCD) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,COMMONWEALTH ALLIANCE DUA (COM) negotiated charge,COMMONWEALTH CARE MEDICAR (COCM) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,FALLON (FAL) negotiated charge,FALLON EXCHANGE (FALZ) negotiated charge,FALLON MEDICAID (FALD) negotiated charge,FALLON MEDICARE (FALM) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,GMMI INC (GMI) negotiated charge,HARVARD PILGRIM (HPH) negotiated charge,HARVARD PILGRIM EXCHANGE (HPHZ) negotiated charge,HARVARD PILGRIM MEDICARE (HPIM) negotiated charge,HUMANA MILITARY TRICARE (TRI) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK HEALTH COM CARES (NTHD) negotiated charge,NETWORK HEALTH EXCHANGE (NTHZ) negotiated charge,NETWORK HEALTH MEDICAID (NTH) negotiated charge,NETWORK HEATLH DUAL ELIG (NTHB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYRAMID/AMERICAN PROGRESS (AMPM) negotiated charge,SENIOR WHOLE HEALTH MCR (WHSM) negotiated charge,TUFTS (TFT) negotiated charge,TUFTS MEDICARE (TFTS) negotiated charge,UNICARE (UNC) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,UNITED HEALTHCARE VA CCN (UHV) negotiated charge,WELLSENSE MEDICARE (WLSM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-A,NA,NA,$15238.48,$19471.40,NA,$16931.65,NA,NA,NA,NA,NA,NA,NA,NA,$16931.65,NA,NA,NA,$16931.65,NA,$15238.48,$15238.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16931.65,$16931.65,NA,NA,NA,NA,$16931.65,NA,$19471.40,$16931.65,$16931.65,NA,NA,NA,NA,$15238.48,$16931.65,$16931.65,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-B,NA,NA,$21571.86,$27564.04,NA,$23968.73,NA,NA,NA,NA,NA,NA,NA,NA,$23968.73,NA,NA,NA,$23968.73,NA,$21571.86,$21571.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23968.73,$23968.73,NA,NA,NA,NA,$23968.73,NA,$27564.04,$23968.73,$23968.73,NA,NA,NA,NA,$21571.86,$23968.73,$23968.73,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-C,NA,NA,$17493.73,$22353.10,NA,$19437.48,NA,NA,NA,NA,NA,NA,NA,NA,$19437.48,NA,NA,NA,$19437.48,NA,$17493.73,$17493.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19437.48,$19437.48,NA,NA,NA,NA,$19437.48,NA,$22353.10,$19437.48,$19437.48,NA,NA,NA,NA,$17493.73,$19437.48,$19437.48,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-D,NA,NA,$16577.11,$21181.86,NA,$18419.01,NA,NA,NA,NA,NA,NA,NA,NA,$18419.01,NA,NA,NA,$18419.01,NA,$16577.11,$16577.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18419.01,$18419.01,NA,NA,NA,NA,$18419.01,NA,$21181.86,$18419.01,$18419.01,NA,NA,NA,NA,$16577.11,$18419.01,$18419.01,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-A,NA,NA,$19052.00,$24344.22,NA,$21168.89,NA,NA,NA,NA,NA,NA,NA,NA,$21168.89,NA,NA,NA,$21168.89,NA,$19052.00,$19052.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21168.89,$21168.89,NA,NA,NA,NA,$21168.89,NA,$24344.22,$21168.89,$21168.89,NA,NA,NA,NA,$19052.00,$21168.89,$21168.89,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-B,NA,NA,$26971.30,$34463.33,NA,$29968.12,NA,NA,NA,NA,NA,NA,NA,NA,$29968.12,NA,NA,NA,$29968.12,NA,$26971.30,$26971.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29968.12,$29968.12,NA,NA,NA,NA,$29968.12,NA,$34463.33,$29968.12,$29968.12,NA,NA,NA,NA,$26971.30,$29968.12,$29968.12,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-C,NA,NA,$21872.79,$27948.56,NA,$24303.09,NA,NA,NA,NA,NA,NA,NA,NA,$24303.09,NA,NA,NA,$24303.09,NA,$21872.79,$21872.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24303.09,$24303.09,NA,NA,NA,NA,$24303.09,NA,$27948.56,$24303.09,$24303.09,NA,NA,NA,NA,$21872.79,$24303.09,$24303.09,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-D,NA,NA,$20727.87,$26485.61,NA,$23030.96,NA,NA,NA,NA,NA,NA,NA,NA,$23030.96,NA,NA,NA,$23030.96,NA,$20727.87,$20727.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23030.96,$23030.96,NA,NA,NA,NA,$23030.96,NA,$26485.61,$23030.96,$23030.96,NA,NA,NA,NA,$20727.87,$23030.96,$23030.96,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-A,NA,NA,$23157.79,$29590.51,NA,$25730.88,NA,NA,NA,NA,NA,NA,NA,NA,$25730.88,NA,NA,NA,$25730.88,NA,$23157.79,$23157.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25730.88,$25730.88,NA,NA,NA,NA,$25730.88,NA,$29590.51,$25730.88,$25730.88,NA,NA,NA,NA,$23157.79,$25730.88,$25730.88,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-B,NA,NA,$32784.10,$41890.80,NA,$36426.78,NA,NA,NA,NA,NA,NA,NA,NA,$36426.78,NA,NA,NA,$36426.78,NA,$32784.10,$32784.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36426.78,$36426.78,NA,NA,NA,NA,$36426.78,NA,$41890.80,$36426.78,$36426.78,NA,NA,NA,NA,$32784.10,$36426.78,$36426.78,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-C,NA,NA,$26587.36,$33972.74,NA,$29541.51,NA,NA,NA,NA,NA,NA,NA,NA,$29541.51,NA,NA,NA,$29541.51,NA,$26587.36,$26587.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29541.51,$29541.51,NA,NA,NA,NA,$29541.51,NA,$33972.74,$29541.51,$29541.51,NA,NA,NA,NA,$26587.36,$29541.51,$29541.51,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-D,NA,NA,$25195.12,$32193.77,NA,$27994.58,NA,NA,NA,NA,NA,NA,NA,NA,$27994.58,NA,NA,NA,$27994.58,NA,$25195.12,$25195.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27994.58,$27994.58,NA,NA,NA,NA,$27994.58,NA,$32193.77,$27994.58,$27994.58,NA,NA,NA,NA,$25195.12,$27994.58,$27994.58,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-A,NA,NA,$26461.11,$33811.41,NA,$29401.23,NA,NA,NA,NA,NA,NA,NA,NA,$29401.23,NA,NA,NA,$29401.23,NA,$26461.11,$26461.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29401.23,$29401.23,NA,NA,NA,NA,$29401.23,NA,$33811.41,$29401.23,$29401.23,NA,NA,NA,NA,$26461.11,$29401.23,$29401.23,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-B,NA,NA,$37460.63,$47866.35,NA,$41622.92,NA,NA,NA,NA,NA,NA,NA,NA,$41622.92,NA,NA,NA,$41622.92,NA,$37460.63,$37460.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41622.92,$41622.92,NA,NA,NA,NA,$41622.92,NA,$47866.35,$41622.92,$41622.92,NA,NA,NA,NA,$37460.63,$41622.92,$41622.92,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-C,NA,NA,$30380.12,$38819.04,NA,$33755.69,NA,NA,NA,NA,NA,NA,NA,NA,$33755.69,NA,NA,NA,$33755.69,NA,$30380.12,$30380.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33755.69,$33755.69,NA,NA,NA,NA,$33755.69,NA,$38819.04,$33755.69,$33755.69,NA,NA,NA,NA,$30380.12,$33755.69,$33755.69,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-D,NA,NA,$28788.99,$36785.93,NA,$31987.77,NA,NA,NA,NA,NA,NA,NA,NA,$31987.77,NA,NA,NA,$31987.77,NA,$28788.99,$28788.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31987.77,$31987.77,NA,NA,NA,NA,$31987.77,NA,$36785.93,$31987.77,$31987.77,NA,NA,NA,NA,$28788.99,$31987.77,$31987.77,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-A,NA,NA,$13081.82,$16715.66,NA,$14535.35,NA,NA,NA,NA,NA,NA,NA,NA,$14535.35,NA,NA,NA,$14535.35,NA,$13081.82,$13081.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14535.35,$14535.35,NA,NA,NA,NA,$14535.35,NA,$16715.66,$14535.35,$14535.35,NA,NA,NA,NA,$13081.82,$14535.35,$14535.35,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-B,NA,NA,$19487.83,$24901.11,NA,$21653.14,NA,NA,NA,NA,NA,NA,NA,NA,$21653.14,NA,NA,NA,$21653.14,NA,$19487.83,$19487.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21653.14,$21653.14,NA,NA,NA,NA,$21653.14,NA,$24901.11,$21653.14,$21653.14,NA,NA,NA,NA,$19487.83,$21653.14,$21653.14,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-C,NA,NA,$15682.96,$20039.34,NA,$17425.51,NA,NA,NA,NA,NA,NA,NA,NA,$17425.51,NA,NA,NA,$17425.51,NA,$15682.96,$15682.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17425.51,$17425.51,NA,NA,NA,NA,$17425.51,NA,$20039.34,$17425.51,$17425.51,NA,NA,NA,NA,$15682.96,$17425.51,$17425.51,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-D,NA,NA,$14045.14,$17946.57,NA,$15605.71,NA,NA,NA,NA,NA,NA,NA,NA,$15605.71,NA,NA,NA,$15605.71,NA,$14045.14,$14045.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15605.71,$15605.71,NA,NA,NA,NA,$15605.71,NA,$17946.57,$15605.71,$15605.71,NA,NA,NA,NA,$14045.14,$15605.71,$15605.71,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-A,NA,NA,$15380.30,$19652.61,NA,$17089.22,NA,NA,NA,NA,NA,NA,NA,NA,$17089.22,NA,NA,NA,$17089.22,NA,$15380.30,$15380.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17089.22,$17089.22,NA,NA,NA,NA,$17089.22,NA,$19652.61,$17089.22,$17089.22,NA,NA,NA,NA,$15380.30,$17089.22,$17089.22,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-B,NA,NA,$22912.21,$29276.71,NA,$25458.01,NA,NA,NA,NA,NA,NA,NA,NA,$25458.01,NA,NA,NA,$25458.01,NA,$22912.21,$22912.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25458.01,$25458.01,NA,NA,NA,NA,$25458.01,NA,$29276.71,$25458.01,$25458.01,NA,NA,NA,NA,$22912.21,$25458.01,$25458.01,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-C,NA,NA,$18438.03,$23559.70,NA,$20486.70,NA,NA,NA,NA,NA,NA,NA,NA,$20486.70,NA,NA,NA,$20486.70,NA,$18438.03,$18438.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20486.70,$20486.70,NA,NA,NA,NA,$20486.70,NA,$23559.70,$20486.70,$20486.70,NA,NA,NA,NA,$18438.03,$20486.70,$20486.70,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-D,NA,NA,$16513.11,$21100.09,NA,$18347.90,NA,NA,NA,NA,NA,NA,NA,NA,$18347.90,NA,NA,NA,$18347.90,NA,$16513.11,$16513.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18347.90,$18347.90,NA,NA,NA,NA,$18347.90,NA,$21100.09,$18347.90,$18347.90,NA,NA,NA,NA,$16513.11,$18347.90,$18347.90,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-A,NA,NA,$17180.70,$21953.11,NA,$19089.66,NA,NA,NA,NA,NA,NA,NA,NA,$19089.66,NA,NA,NA,$19089.66,NA,$17180.70,$17180.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19089.66,$19089.66,NA,NA,NA,NA,$19089.66,NA,$21953.11,$19089.66,$19089.66,NA,NA,NA,NA,$17180.70,$19089.66,$19089.66,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-B,NA,NA,$25594.64,$32704.26,NA,$28438.48,NA,NA,NA,NA,NA,NA,NA,NA,$28438.48,NA,NA,NA,$28438.48,NA,$25594.64,$25594.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28438.48,$28438.48,NA,NA,NA,NA,$28438.48,NA,$32704.26,$28438.48,$28438.48,NA,NA,NA,NA,$25594.64,$28438.48,$28438.48,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-C,NA,NA,$20596.43,$26317.66,NA,$22884.92,NA,NA,NA,NA,NA,NA,NA,NA,$22884.92,NA,NA,NA,$22884.92,NA,$20596.43,$20596.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22884.92,$22884.92,NA,NA,NA,NA,$22884.92,NA,$26317.66,$22884.92,$22884.92,NA,NA,NA,NA,$20596.43,$22884.92,$22884.92,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-D,NA,NA,$18446.68,$23570.75,NA,$20496.31,NA,NA,NA,NA,NA,NA,NA,NA,$20496.31,NA,NA,NA,$20496.31,NA,$18446.68,$18446.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20496.31,$20496.31,NA,NA,NA,NA,$20496.31,NA,$23570.75,$20496.31,$20496.31,NA,NA,NA,NA,$18446.68,$20496.31,$20496.31,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-A,NA,NA,$19800.86,$25301.10,NA,$22000.96,NA,NA,NA,NA,NA,NA,NA,NA,$22000.96,NA,NA,NA,$22000.96,NA,$19800.86,$19800.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22000.96,$22000.96,NA,NA,NA,NA,$22000.96,NA,$25301.10,$22000.96,$22000.96,NA,NA,NA,NA,$19800.86,$22000.96,$22000.96,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-B,NA,NA,$29498.08,$37691.99,NA,$32775.65,NA,NA,NA,NA,NA,NA,NA,NA,$32775.65,NA,NA,NA,$32775.65,NA,$29498.08,$29498.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32775.65,$32775.65,NA,NA,NA,NA,$32775.65,NA,$37691.99,$32775.65,$32775.65,NA,NA,NA,NA,$29498.08,$32775.65,$32775.65,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-C,NA,NA,$23738.90,$30333.04,NA,$26376.55,NA,NA,NA,NA,NA,NA,NA,NA,$26376.55,NA,NA,NA,$26376.55,NA,$23738.90,$23738.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26376.55,$26376.55,NA,NA,NA,NA,$26376.55,NA,$30333.04,$26376.55,$26376.55,NA,NA,NA,NA,$23738.90,$26376.55,$26376.55,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-D,NA,NA,$21260.55,$27166.26,NA,$23622.83,NA,NA,NA,NA,NA,NA,NA,NA,$23622.83,NA,NA,NA,$23622.83,NA,$21260.55,$21260.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23622.83,$23622.83,NA,NA,NA,NA,$23622.83,NA,$27166.26,$23622.83,$23622.83,NA,NA,NA,NA,$21260.55,$23622.83,$23622.83,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-A,NA,NA,$23073.05,$29482.23,NA,$25636.72,NA,NA,NA,NA,NA,NA,NA,NA,$25636.72,NA,NA,NA,$25636.72,NA,$23073.05,$23073.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25636.72,$25636.72,NA,NA,NA,NA,$25636.72,NA,$29482.23,$25636.72,$25636.72,NA,NA,NA,NA,$23073.05,$25636.72,$25636.72,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-B,NA,NA,$34371.77,$43919.48,NA,$38190.85,NA,NA,NA,NA,NA,NA,NA,NA,$38190.85,NA,NA,NA,$38190.85,NA,$34371.77,$34371.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38190.85,$38190.85,NA,NA,NA,NA,$38190.85,NA,$43919.48,$38190.85,$38190.85,NA,NA,NA,NA,$34371.77,$38190.85,$38190.85,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-C,NA,NA,$27661.37,$35345.08,NA,$30734.85,NA,NA,NA,NA,NA,NA,NA,NA,$30734.85,NA,NA,NA,$30734.85,NA,$27661.37,$27661.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30734.85,$30734.85,NA,NA,NA,NA,$30734.85,NA,$35345.08,$30734.85,$30734.85,NA,NA,NA,NA,$27661.37,$30734.85,$30734.85,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-D,NA,NA,$24773.13,$31654.56,NA,$27525.70,NA,NA,NA,NA,NA,NA,NA,NA,$27525.70,NA,NA,NA,$27525.70,NA,$24773.13,$24773.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27525.70,$27525.70,NA,NA,NA,NA,$27525.70,NA,$31654.56,$27525.70,$27525.70,NA,NA,NA,NA,$24773.13,$27525.70,$27525.70,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-A,NA,NA,$14308.02,$18282.47,NA,$15897.80,NA,NA,NA,NA,NA,NA,NA,NA,$15897.80,NA,NA,NA,$15897.80,NA,$14308.02,$14308.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15897.80,$15897.80,NA,NA,NA,NA,$15897.80,NA,$18282.47,$15897.80,$15897.80,NA,NA,NA,NA,$14308.02,$15897.80,$15897.80,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-B,NA,NA,$20945.78,$26764.05,NA,$23273.09,NA,NA,NA,NA,NA,NA,NA,NA,$23273.09,NA,NA,NA,$23273.09,NA,$20945.78,$20945.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23273.09,$23273.09,NA,NA,NA,NA,$23273.09,NA,$26764.05,$23273.09,$23273.09,NA,NA,NA,NA,$20945.78,$23273.09,$23273.09,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-C,NA,NA,$16691.25,$21327.71,NA,$18545.83,NA,NA,NA,NA,NA,NA,NA,NA,$18545.83,NA,NA,NA,$18545.83,NA,$16691.25,$16691.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18545.83,$18545.83,NA,NA,NA,NA,$18545.83,NA,$21327.71,$18545.83,$18545.83,NA,NA,NA,NA,$16691.25,$18545.83,$18545.83,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-D,NA,NA,$15795.38,$20182.98,NA,$17550.42,NA,NA,NA,NA,NA,NA,NA,NA,$17550.42,NA,NA,NA,$17550.42,NA,$15795.38,$15795.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17550.42,$17550.42,NA,NA,NA,NA,$17550.42,NA,$20182.98,$17550.42,$17550.42,NA,NA,NA,NA,$15795.38,$17550.42,$17550.42,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-A,NA,NA,$17815.42,$22764.14,NA,$19794.91,NA,NA,NA,NA,NA,NA,NA,NA,$19794.91,NA,NA,NA,$19794.91,NA,$17815.42,$17815.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19794.91,$19794.91,NA,NA,NA,NA,$19794.91,NA,$22764.14,$19794.91,$19794.91,NA,NA,NA,NA,$17815.42,$19794.91,$19794.91,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-B,NA,NA,$26077.16,$33320.82,NA,$28974.62,NA,NA,NA,NA,NA,NA,NA,NA,$28974.62,NA,NA,NA,$28974.62,NA,$26077.16,$26077.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28974.62,$28974.62,NA,NA,NA,NA,$28974.62,NA,$33320.82,$28974.62,$28974.62,NA,NA,NA,NA,$26077.16,$28974.62,$28974.62,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-C,NA,NA,$20779.75,$26551.90,NA,$23088.61,NA,NA,NA,NA,NA,NA,NA,NA,$23088.61,NA,NA,NA,$23088.61,NA,$20779.75,$20779.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23088.61,$23088.61,NA,NA,NA,NA,$23088.61,NA,$26551.90,$23088.61,$23088.61,NA,NA,NA,NA,$20779.75,$23088.61,$23088.61,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-D,NA,NA,$19665.96,$25128.73,NA,$21851.07,NA,NA,NA,NA,NA,NA,NA,NA,$21851.07,NA,NA,NA,$21851.07,NA,$19665.96,$19665.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21851.07,$21851.07,NA,NA,NA,NA,$21851.07,NA,$25128.73,$21851.07,$21851.07,NA,NA,NA,NA,$19665.96,$21851.07,$21851.07,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-A,NA,NA,$20964.81,$26788.36,NA,$23294.23,NA,NA,NA,NA,NA,NA,NA,NA,$23294.23,NA,NA,NA,$23294.23,NA,$20964.81,$20964.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23294.23,$23294.23,NA,NA,NA,NA,$23294.23,NA,$26788.36,$23294.23,$23294.23,NA,NA,NA,NA,$20964.81,$23294.23,$23294.23,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-B,NA,NA,$30687.97,$39212.40,NA,$34097.74,NA,NA,NA,NA,NA,NA,NA,NA,$34097.74,NA,NA,NA,$34097.74,NA,$30687.97,$30687.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34097.74,$34097.74,NA,NA,NA,NA,$34097.74,NA,$39212.40,$34097.74,$34097.74,NA,NA,NA,NA,$30687.97,$34097.74,$34097.74,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-C,NA,NA,$24453.18,$31245.72,NA,$27170.20,NA,NA,NA,NA,NA,NA,NA,NA,$27170.20,NA,NA,NA,$27170.20,NA,$24453.18,$24453.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27170.20,$27170.20,NA,NA,NA,NA,$27170.20,NA,$31245.72,$27170.20,$27170.20,NA,NA,NA,NA,$24453.18,$27170.20,$27170.20,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-D,NA,NA,$23143.96,$29572.83,NA,$25715.51,NA,NA,NA,NA,NA,NA,NA,NA,$25715.51,NA,NA,NA,$25715.51,NA,$23143.96,$23143.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25715.51,$25715.51,NA,NA,NA,NA,$25715.51,NA,$29572.83,$25715.51,$25715.51,NA,NA,NA,NA,$23143.96,$25715.51,$25715.51,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-A,NA,NA,$24070.96,$30757.34,NA,$26745.51,NA,NA,NA,NA,NA,NA,NA,NA,$26745.51,NA,NA,NA,$26745.51,NA,$24070.96,$24070.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26745.51,$26745.51,NA,NA,NA,NA,$26745.51,NA,$30757.34,$26745.51,$26745.51,NA,NA,NA,NA,$24070.96,$26745.51,$26745.51,NA,NA
