Encompass Health Rehabilitation Hospital of Miami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,ADVANET WORK COMP (ADVW) negotiated charge,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,AVMED HEALTH MEDICARE (AVMM) negotiated charge,AVMED HEALTH PLAN (AVMD) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREPLUS HEALTH MEDICARE (CPHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,COVENTRY HEALTHCARE (CHC) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HEALTHEASE STAYWELL (WLCS) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA EXCHANGE (HUMZ) negotiated charge,HUMANA MEDICAID (HUMD) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,MEDICAL PARTNERS OF AM (MPAM) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,VISTA HEALTHCARE MEDICARE (VISM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-A,NA,NA,$14497.63,$17549.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15260.66,NA,NA,NA,NA,NA,NA,$15260.66,NA,NA,NA,NA,NA,NA,$15260.66,NA,$15260.66,NA,NA,$17549.76,$15260.66,NA,$15260.66,$15260.66,NA,$14497.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-B,NA,NA,$21597.28,$26144.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22733.98,NA,NA,NA,NA,NA,NA,$22733.98,NA,NA,NA,NA,NA,NA,$22733.98,NA,$22733.98,NA,NA,$26144.08,$22733.98,NA,$22733.98,$22733.98,NA,$21597.28,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-C,NA,NA,$17379.88,$21038.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18294.61,NA,NA,NA,NA,NA,NA,$18294.61,NA,NA,NA,NA,NA,NA,$18294.61,NA,$18294.61,NA,NA,$21038.80,$18294.61,NA,$18294.61,$18294.61,NA,$17379.88,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-D,NA,NA,$15565.43,$18842.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16384.66,NA,NA,NA,NA,NA,NA,$16384.66,NA,NA,NA,NA,NA,NA,$16384.66,NA,$16384.66,NA,NA,$18842.36,$16384.66,NA,$16384.66,$16384.66,NA,$15565.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-A,NA,NA,$16194.70,$19604.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17047.05,NA,NA,NA,NA,NA,NA,$17047.05,NA,NA,NA,NA,NA,NA,$17047.05,NA,$17047.05,NA,NA,$19604.11,$17047.05,NA,$17047.05,$17047.05,NA,$16194.70,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-B,NA,NA,$24125.77,$29204.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25395.54,NA,NA,NA,NA,NA,NA,$25395.54,NA,NA,NA,NA,NA,NA,$25395.54,NA,$25395.54,NA,NA,$29204.87,$25395.54,NA,$25395.54,$25395.54,NA,$24125.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-C,NA,NA,$19414.40,$23501.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20436.21,NA,NA,NA,NA,NA,NA,$20436.21,NA,NA,NA,NA,NA,NA,$20436.21,NA,$20436.21,NA,NA,$23501.65,$20436.21,NA,$20436.21,$20436.21,NA,$19414.40,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-D,NA,NA,$17388.03,$21048.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18303.19,NA,NA,NA,NA,NA,NA,$18303.19,NA,NA,NA,NA,NA,NA,$18303.19,NA,$18303.19,NA,NA,$21048.66,$18303.19,NA,$18303.19,$18303.19,NA,$17388.03,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-A,NA,NA,$18664.50,$22593.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19646.84,NA,NA,NA,NA,NA,NA,$19646.84,NA,NA,NA,NA,NA,NA,$19646.84,NA,$19646.84,NA,NA,$22593.86,$19646.84,NA,$19646.84,$19646.84,NA,$18664.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-B,NA,NA,$27805.19,$33658.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29268.62,NA,NA,NA,NA,NA,NA,$29268.62,NA,NA,NA,NA,NA,NA,$29268.62,NA,$29268.62,NA,NA,$33658.92,$29268.62,NA,$29268.62,$29268.62,NA,$27805.19,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-C,NA,NA,$22376.53,$27087.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23554.24,NA,NA,NA,NA,NA,NA,$23554.24,NA,NA,NA,NA,NA,NA,$23554.24,NA,$23554.24,NA,NA,$27087.38,$23554.24,NA,$23554.24,$23554.24,NA,$22376.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-D,NA,NA,$20040.41,$24259.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21095.17,NA,NA,NA,NA,NA,NA,$21095.17,NA,NA,NA,NA,NA,NA,$21095.17,NA,$21095.17,NA,NA,$24259.44,$21095.17,NA,$21095.17,$21095.17,NA,$20040.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-A,NA,NA,$21748.89,$26327.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22893.57,NA,NA,NA,NA,NA,NA,$22893.57,NA,NA,NA,NA,NA,NA,$22893.57,NA,$22893.57,NA,NA,$26327.61,$22893.57,NA,$22893.57,$22893.57,NA,$21748.89,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-B,NA,NA,$32399.18,$39220.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34104.40,NA,NA,NA,NA,NA,NA,$34104.40,NA,NA,NA,NA,NA,NA,$34104.40,NA,$34104.40,NA,NA,$39220.06,$34104.40,NA,$34104.40,$34104.40,NA,$32399.18,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-C,NA,NA,$26073.89,$31563.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27446.20,NA,NA,NA,NA,NA,NA,$27446.20,NA,NA,NA,NA,NA,NA,$27446.20,NA,$27446.20,NA,NA,$31563.13,$27446.20,NA,$27446.20,$27446.20,NA,$26073.89,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-D,NA,NA,$23351.41,$28267.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24580.43,NA,NA,NA,NA,NA,NA,$24580.43,NA,NA,NA,NA,NA,NA,$24580.43,NA,$24580.43,NA,NA,$28267.49,$24580.43,NA,$24580.43,$24580.43,NA,$23351.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-A,NA,NA,$13486.89,$16326.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14196.72,NA,NA,NA,NA,NA,NA,$14196.72,NA,NA,NA,NA,NA,NA,$14196.72,NA,$14196.72,NA,NA,$16326.23,$14196.72,NA,$14196.72,$14196.72,NA,$13486.89,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-B,NA,NA,$19743.71,$23900.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20782.85,NA,NA,NA,NA,NA,NA,$20782.85,NA,NA,NA,NA,NA,NA,$20782.85,NA,$20782.85,NA,NA,$23900.28,$20782.85,NA,$20782.85,$20782.85,NA,$19743.71,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-C,NA,NA,$15733.34,$19045.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16561.42,NA,NA,NA,NA,NA,NA,$16561.42,NA,NA,NA,NA,NA,NA,$16561.42,NA,$16561.42,NA,NA,$19045.63,$16561.42,NA,$16561.42,$16561.42,NA,$15733.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-D,NA,NA,$14888.89,$18023.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15672.51,NA,NA,NA,NA,NA,NA,$15672.51,NA,NA,NA,NA,NA,NA,$15672.51,NA,$15672.51,NA,NA,$18023.39,$15672.51,NA,$15672.51,$15672.51,NA,$14888.89,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-A,NA,NA,$16792.99,$20328.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17676.84,NA,NA,NA,NA,NA,NA,$17676.84,NA,NA,NA,NA,NA,NA,$17676.84,NA,$17676.84,NA,NA,$20328.36,$17676.84,NA,$17676.84,$17676.84,NA,$16792.99,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-B,NA,NA,$24580.60,$29755.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25874.32,NA,NA,NA,NA,NA,NA,$25874.32,NA,NA,NA,NA,NA,NA,$25874.32,NA,$25874.32,NA,NA,$29755.46,$25874.32,NA,$25874.32,$25874.32,NA,$24580.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-C,NA,NA,$19587.21,$23710.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20618.11,NA,NA,NA,NA,NA,NA,$20618.11,NA,NA,NA,NA,NA,NA,$20618.11,NA,$20618.11,NA,NA,$23710.83,$20618.11,NA,$20618.11,$20618.11,NA,$19587.21,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-D,NA,NA,$18537.34,$22439.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19512.99,NA,NA,NA,NA,NA,NA,$19512.99,NA,NA,NA,NA,NA,NA,$19512.99,NA,$19512.99,NA,NA,$22439.94,$19512.99,NA,$19512.99,$19512.99,NA,$18537.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-A,NA,NA,$19761.64,$23921.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20801.73,NA,NA,NA,NA,NA,NA,$20801.73,NA,NA,NA,NA,NA,NA,$20801.73,NA,$20801.73,NA,NA,$23921.99,$20801.73,NA,$20801.73,$20801.73,NA,$19761.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-B,NA,NA,$28926.79,$35016.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30449.25,NA,NA,NA,NA,NA,NA,$30449.25,NA,NA,NA,NA,NA,NA,$30449.25,NA,$30449.25,NA,NA,$35016.64,$30449.25,NA,$30449.25,$30449.25,NA,$28926.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-C,NA,NA,$23049.81,$27902.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24262.96,NA,NA,NA,NA,NA,NA,$24262.96,NA,NA,NA,NA,NA,NA,$24262.96,NA,$24262.96,NA,NA,$27902.41,$24262.96,NA,$24262.96,$24262.96,NA,$23049.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-D,NA,NA,$21815.73,$26408.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22963.93,NA,NA,NA,NA,NA,NA,$22963.93,NA,NA,NA,NA,NA,NA,$22963.93,NA,$22963.93,NA,NA,$26408.52,$22963.93,NA,$22963.93,$22963.93,NA,$21815.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-A,NA,NA,$22689.53,$27466.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23883.72,NA,NA,NA,NA,NA,NA,$23883.72,NA,NA,NA,NA,NA,NA,$23883.72,NA,$23883.72,NA,NA,$27466.28,$23883.72,NA,$23883.72,$23883.72,NA,$22689.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-B,NA,NA,$33212.66,$40204.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34960.70,NA,NA,NA,NA,NA,NA,$34960.70,NA,NA,NA,NA,NA,NA,$34960.70,NA,$34960.70,NA,NA,$40204.80,$34960.70,NA,$34960.70,$34960.70,NA,$33212.66,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-C,NA,NA,$26466.78,$32038.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27859.76,NA,NA,NA,NA,NA,NA,$27859.76,NA,NA,NA,NA,NA,NA,$27859.76,NA,$27859.76,NA,NA,$32038.73,$27859.76,NA,$27859.76,$27859.76,NA,$26466.78,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-D,NA,NA,$25048.48,$30321.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26366.82,NA,NA,NA,NA,NA,NA,$26366.82,NA,NA,NA,NA,NA,NA,$26366.82,NA,$26366.82,NA,NA,$30321.84,$26366.82,NA,$26366.82,$26366.82,NA,$25048.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-A,NA,NA,$14678.59,$17768.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15451.14,NA,NA,NA,NA,NA,NA,$15451.14,NA,NA,NA,NA,NA,NA,$15451.14,NA,$15451.14,NA,NA,$17768.81,$15451.14,NA,$15451.14,$15451.14,NA,$14678.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-B,NA,NA,$21127.77,$25575.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22239.76,NA,NA,NA,NA,NA,NA,$22239.76,NA,NA,NA,NA,NA,NA,$22239.76,NA,$22239.76,NA,NA,$25575.73,$22239.76,NA,$22239.76,$22239.76,NA,$21127.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-C,NA,NA,$17709.18,$21437.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18641.24,NA,NA,NA,NA,NA,NA,$18641.24,NA,NA,NA,NA,NA,NA,$18641.24,NA,$18641.24,NA,NA,$21437.43,$18641.24,NA,$18641.24,$18641.24,NA,$17709.18,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-D,NA,NA,$15891.48,$19237.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16727.87,NA,NA,NA,NA,NA,NA,$16727.87,NA,NA,NA,NA,NA,NA,$16727.87,NA,$16727.87,NA,NA,$19237.05,$16727.87,NA,$16727.87,$16727.87,NA,$15891.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-A,NA,NA,$18133.04,$21950.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19087.41,NA,NA,NA,NA,NA,NA,$19087.41,NA,NA,NA,NA,NA,NA,$19087.41,NA,$19087.41,NA,NA,$21950.52,$19087.41,NA,$19087.41,$19087.41,NA,$18133.04,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-B,NA,NA,$26099.97,$31594.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27473.66,NA,NA,NA,NA,NA,NA,$27473.66,NA,NA,NA,NA,NA,NA,$27473.66,NA,$27473.66,NA,NA,$31594.70,$27473.66,NA,$27473.66,$27473.66,NA,$26099.97,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-C,NA,NA,$21876.05,$26481.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23027.42,NA,NA,NA,NA,NA,NA,$23027.42,NA,NA,NA,NA,NA,NA,$23027.42,NA,$23027.42,NA,NA,$26481.53,$23027.42,NA,$23027.42,$23027.42,NA,$21876.05,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-D,NA,NA,$19631.22,$23764.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20664.45,NA,NA,NA,NA,NA,NA,$20664.45,NA,NA,NA,NA,NA,NA,$20664.45,NA,$20664.45,NA,NA,$23764.11,$20664.45,NA,$20664.45,$20664.45,NA,$19631.22,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-A,NA,NA,$21188.09,$25648.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22303.25,NA,NA,NA,NA,NA,NA,$22303.25,NA,NA,NA,NA,NA,NA,$22303.25,NA,$22303.25,NA,NA,$25648.74,$22303.25,NA,$22303.25,$22303.25,NA,$21188.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-B,NA,NA,$30498.33,$36919.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32103.51,NA,NA,NA,NA,NA,NA,$32103.51,NA,NA,NA,NA,NA,NA,$32103.51,NA,$32103.51,NA,NA,$36919.03,$32103.51,NA,$32103.51,$32103.51,NA,$30498.33,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-C,NA,NA,$25563.63,$30945.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26909.08,NA,NA,NA,NA,NA,NA,$26909.08,NA,NA,NA,NA,NA,NA,$26909.08,NA,$26909.08,NA,NA,$30945.44,$26909.08,NA,$26909.08,$26909.08,NA,$25563.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-D,NA,NA,$22940.59,$27770.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24147.99,NA,NA,NA,NA,NA,NA,$24147.99,NA,NA,NA,NA,NA,NA,$24147.99,NA,$24147.99,NA,NA,$27770.19,$24147.99,NA,$24147.99,$24147.99,NA,$22940.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-A,NA,NA,$24971.85,$30229.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26286.16,NA,NA,NA,NA,NA,NA,$26286.16,NA,NA,NA,NA,NA,NA,$26286.16,NA,$26286.16,NA,NA,$30229.09,$26286.16,NA,$26286.16,$26286.16,NA,$24971.85,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-B,NA,NA,$35944.93,$43512.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37836.77,NA,NA,NA,NA,NA,NA,$37836.77,NA,NA,NA,NA,NA,NA,$37836.77,NA,$37836.77,NA,NA,$43512.28,$37836.77,NA,$37836.77,$37836.77,NA,$35944.93,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-C,NA,NA,$30128.27,$36471.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31713.97,NA,NA,NA,NA,NA,NA,$31713.97,NA,NA,NA,NA,NA,NA,$31713.97,NA,$31713.97,NA,NA,$36471.06,$31713.97,NA,$31713.97,$31713.97,NA,$30128.27,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-D,NA,NA,$27037.36,$32729.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28460.37,NA,NA,NA,NA,NA,NA,$28460.37,NA,NA,NA,NA,NA,NA,$28460.37,NA,$28460.37,NA,NA,$32729.43,$28460.37,NA,$28460.37,$28460.37,NA,$27037.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-A,NA,NA,$15992.55,$19359.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16834.26,NA,NA,NA,NA,NA,NA,$16834.26,NA,NA,NA,NA,NA,NA,$16834.26,NA,$16834.26,NA,NA,$19359.40,$16834.26,NA,$16834.26,$16834.26,NA,$15992.55,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-B,NA,NA,$21191.35,$25652.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22306.69,NA,NA,NA,NA,NA,NA,$22306.69,NA,NA,NA,NA,NA,NA,$22306.69,NA,$22306.69,NA,NA,$25652.69,$22306.69,NA,$22306.69,$22306.69,NA,$21191.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-C,NA,NA,$18882.95,$22858.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19876.79,NA,NA,NA,NA,NA,NA,$19876.79,NA,NA,NA,NA,NA,NA,$19876.79,NA,$19876.79,NA,NA,$22858.31,$19876.79,NA,$19876.79,$19876.79,NA,$18882.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-D,NA,NA,$16493.03,$19965.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17361.09,NA,NA,NA,NA,NA,NA,$17361.09,NA,NA,NA,NA,NA,NA,$17361.09,NA,$17361.09,NA,NA,$19965.25,$17361.09,NA,$17361.09,$17361.09,NA,$16493.03,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-A,NA,NA,$21367.42,$25865.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22492.02,NA,NA,NA,NA,NA,NA,$22492.02,NA,NA,NA,NA,NA,NA,$22492.02,NA,$22492.02,NA,NA,$25865.82,$22492.02,NA,$22492.02,$22492.02,NA,$21367.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-B,NA,NA,$28312.19,$34272.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29802.31,NA,NA,NA,NA,NA,NA,$29802.31,NA,NA,NA,NA,NA,NA,$29802.31,NA,$29802.31,NA,NA,$34272.66,$29802.31,NA,$29802.31,$29802.31,NA,$28312.19,NA,NA,NA,NA
