Encompass Health Rehabilitation Hospital of Montgomery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,AMERICAN PROG TODAYS OPT (AMPM) negotiated charge,BC FEP (BCFD) negotiated charge,BCBS AL (BCAL) negotiated charge,BCBS AL MEDICARE ADVANTAG (BCAD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,COVENTRY-NATIONAL (CHCN) negotiated charge,HEALTHSPRING MEDICARE (HLSM) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-D,NA,NA,$18909.99,$22891.04,NA,NA,NA,$19905.25,NA,NA,$19308.09,NA,NA,NA,$19905.25,NA,NA,$19905.25,NA,$19905.25,NA,$22891.04,$19905.25,$19905.25,NA,$18909.99,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-A,NA,NA,$19460.70,$23557.69,NA,NA,NA,$20484.95,NA,NA,$19870.40,NA,NA,NA,$20484.95,NA,NA,$20484.95,NA,$20484.95,NA,$23557.69,$20484.95,$20484.95,NA,$19460.70,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-B,NA,NA,$27965.52,$33852.99,NA,NA,NA,$29437.39,NA,NA,$28554.26,NA,NA,NA,$29437.39,NA,NA,$29437.39,NA,$29437.39,NA,$33852.99,$29437.39,$29437.39,NA,$27965.52,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-C,NA,NA,$23091.86,$27953.31,NA,NA,NA,$24307.22,NA,NA,$23578.01,NA,NA,NA,$24307.22,NA,NA,$24307.22,NA,$24307.22,NA,$27953.31,$24307.22,$24307.22,NA,$23091.86,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-D,NA,NA,$21921.26,$26536.27,NA,NA,NA,$23075.02,NA,NA,$22382.76,NA,NA,NA,$23075.02,NA,NA,$23075.02,NA,$23075.02,NA,$26536.27,$23075.02,$23075.02,NA,$21921.26,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-A,NA,NA,$19704.86,$23853.25,NA,NA,NA,$20741.96,NA,NA,$20119.70,NA,NA,NA,$20741.96,NA,NA,$20741.96,NA,$20741.96,NA,$23853.25,$20741.96,$20741.96,NA,$19704.86,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-B,NA,NA,$28316.83,$34278.27,NA,NA,NA,$29807.19,NA,NA,$28912.98,NA,NA,NA,$29807.19,NA,NA,$29807.19,NA,$29807.19,NA,$34278.27,$29807.19,$29807.19,NA,$28316.83,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-C,NA,NA,$23380.78,$28303.05,NA,NA,NA,$24611.35,NA,NA,$23873.01,NA,NA,NA,$24611.35,NA,NA,$24611.35,NA,$24611.35,NA,$28303.05,$24611.35,$24611.35,NA,$23380.78,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-D,NA,NA,$22195.26,$26867.95,NA,NA,NA,$23363.44,NA,NA,$22662.53,NA,NA,NA,$23363.44,NA,NA,$23363.44,NA,$23363.44,NA,$26867.95,$23363.44,$23363.44,NA,$22195.26,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-A,NA,NA,$10288.52,$12454.53,NA,NA,NA,$10830.02,NA,NA,$10505.12,NA,NA,NA,$10830.02,NA,NA,$10830.02,NA,$10830.02,NA,$12454.53,$10830.02,$10830.02,NA,$10288.52,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-B,NA,NA,$15539.26,$18810.68,NA,NA,NA,$16357.12,NA,NA,$15866.40,NA,NA,NA,$16357.12,NA,NA,$16357.12,NA,$16357.12,NA,$18810.68,$16357.12,$16357.12,NA,$15539.26,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-C,NA,NA,$12739.59,$15421.61,NA,NA,NA,$13410.09,NA,NA,$13007.79,NA,NA,NA,$13410.09,NA,NA,$13410.09,NA,$13410.09,NA,$15421.61,$13410.09,$13410.09,NA,$12739.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-D,NA,NA,$11498.46,$13919.18,NA,NA,NA,$12103.64,NA,NA,$11740.53,NA,NA,NA,$12103.64,NA,NA,$12103.64,NA,$12103.64,NA,$13919.18,$12103.64,$12103.64,NA,$11498.46,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-A,NA,NA,$12925.42,$15646.56,NA,NA,NA,$13605.71,NA,NA,$13197.54,NA,NA,NA,$13605.71,NA,NA,$13605.71,NA,$13605.71,NA,$15646.56,$13605.71,$13605.71,NA,$12925.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-B,NA,NA,$19520.38,$23629.94,NA,NA,NA,$20547.77,NA,NA,$19931.34,NA,NA,NA,$20547.77,NA,NA,$20547.77,NA,$20547.77,NA,$23629.94,$20547.77,$20547.77,NA,$19520.38,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-C,NA,NA,$16004.52,$19373.89,NA,NA,NA,$16846.86,NA,NA,$16341.45,NA,NA,NA,$16846.86,NA,NA,$16846.86,NA,$16846.86,NA,$19373.89,$16846.86,$16846.86,NA,$16004.52,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-D,NA,NA,$14445.98,$17487.24,NA,NA,NA,$15206.29,NA,NA,$14750.10,NA,NA,NA,$15206.29,NA,NA,$15206.29,NA,$15206.29,NA,$17487.24,$15206.29,$15206.29,NA,$14445.98,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-A,NA,NA,$15693.89,$18997.87,NA,NA,NA,$16519.89,NA,NA,$16024.29,NA,NA,NA,$16519.89,NA,NA,$16519.89,NA,$16519.89,NA,$18997.87,$16519.89,$16519.89,NA,$15693.89,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-B,NA,NA,$23702.26,$28692.21,NA,NA,NA,$24949.74,NA,NA,$24201.25,NA,NA,NA,$24949.74,NA,NA,$24949.74,NA,$24949.74,NA,$28692.21,$24949.74,$24949.74,NA,$23702.26,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-C,NA,NA,$19432.22,$23523.21,NA,NA,NA,$20454.96,NA,NA,$19841.31,NA,NA,NA,$20454.96,NA,NA,$20454.96,NA,$20454.96,NA,$23523.21,$20454.96,$20454.96,NA,$19432.22,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-D,NA,NA,$17540.00,$21232.63,NA,NA,NA,$18463.15,NA,NA,$17909.26,NA,NA,NA,$18463.15,NA,NA,$18463.15,NA,$18463.15,NA,$21232.63,$18463.15,$18463.15,NA,$17540.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-A,NA,NA,$18433.88,$22314.70,NA,NA,NA,$19404.09,NA,NA,$18821.96,NA,NA,NA,$19404.09,NA,NA,$19404.09,NA,$19404.09,NA,$22314.70,$19404.09,$19404.09,NA,$18433.88,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-B,NA,NA,$27839.37,$33700.29,NA,NA,NA,$29304.60,NA,NA,$28425.46,NA,NA,NA,$29304.60,NA,NA,$29304.60,NA,$29304.60,NA,$33700.29,$29304.60,$29304.60,NA,$27839.37,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-C,NA,NA,$22824.65,$27629.84,NA,NA,NA,$24025.94,NA,NA,$23305.17,NA,NA,NA,$24025.94,NA,NA,$24025.94,NA,$24025.94,NA,$27629.84,$24025.94,$24025.94,NA,$22824.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-D,NA,NA,$20601.46,$24938.61,NA,NA,NA,$21685.75,NA,NA,$21035.17,NA,NA,NA,$21685.75,NA,NA,$21685.75,NA,$21685.75,NA,$24938.61,$21685.75,$21685.75,NA,$20601.46,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-A,NA,NA,$12563.25,$15208.15,NA,NA,NA,$13224.48,NA,NA,$12827.74,NA,NA,NA,$13224.48,NA,NA,$13224.48,NA,$13224.48,NA,$15208.15,$13224.48,$13224.48,NA,$12563.25,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-B,NA,NA,$17504.73,$21189.93,NA,NA,NA,$18426.03,NA,NA,$17873.25,NA,NA,NA,$18426.03,NA,NA,$18426.03,NA,$18426.03,NA,$21189.93,$18426.03,$18426.03,NA,$17504.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-C,NA,NA,$14018.70,$16970.01,NA,NA,NA,$14756.53,NA,NA,$14313.83,NA,NA,NA,$14756.53,NA,NA,$14756.53,NA,$14756.53,NA,$16970.01,$14756.53,$14756.53,NA,$14018.70,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-D,NA,NA,$13096.33,$15853.45,NA,NA,NA,$13785.61,NA,NA,$13372.04,NA,NA,NA,$13785.61,NA,NA,$13785.61,NA,$13785.61,NA,$15853.45,$13785.61,$13785.61,NA,$13096.33,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-A,NA,NA,$15491.79,$18753.22,NA,NA,NA,$16307.14,NA,NA,$15817.93,NA,NA,NA,$16307.14,NA,NA,$16307.14,NA,$16307.14,NA,$18753.22,$16307.14,$16307.14,NA,$15491.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-B,NA,NA,$21584.87,$26129.05,NA,NA,NA,$22720.92,NA,NA,$22039.29,NA,NA,NA,$22720.92,NA,NA,$22720.92,NA,$22720.92,NA,$26129.05,$22720.92,$22720.92,NA,$21584.87,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-C,NA,NA,$17286.34,$20925.57,NA,NA,NA,$18196.15,NA,NA,$17650.27,NA,NA,NA,$18196.15,NA,NA,$18196.15,NA,$18196.15,NA,$20925.57,$18196.15,$18196.15,NA,$17286.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-D,NA,NA,$16149.65,$19549.58,NA,NA,NA,$16999.64,NA,NA,$16489.65,NA,NA,NA,$16999.64,NA,NA,$16999.64,NA,$16999.64,NA,$19549.58,$16999.64,$16999.64,NA,$16149.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-A,NA,NA,$17987.62,$21774.48,NA,NA,NA,$18934.33,NA,NA,$18366.30,NA,NA,NA,$18934.33,NA,NA,$18934.33,NA,$18934.33,NA,$21774.48,$18934.33,$18934.33,NA,$17987.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-B,NA,NA,$25061.40,$30337.48,NA,NA,NA,$26380.42,NA,NA,$25589.01,NA,NA,NA,$26380.42,NA,NA,$26380.42,NA,$26380.42,NA,$30337.48,$26380.42,$26380.42,NA,$25061.40,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-C,NA,NA,$20069.74,$24294.95,NA,NA,NA,$21126.04,NA,NA,$20492.26,NA,NA,NA,$21126.04,NA,NA,$21126.04,NA,$21126.04,NA,$24294.95,$21126.04,$21126.04,NA,$20069.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-D,NA,NA,$18749.93,$22697.29,NA,NA,NA,$19736.77,NA,NA,$19144.67,NA,NA,NA,$19736.77,NA,NA,$19736.77,NA,$19736.77,NA,$22697.29,$19736.77,$19736.77,NA,$18749.93,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-A,NA,NA,$20855.11,$25245.66,NA,NA,NA,$21952.75,NA,NA,$21294.17,NA,NA,NA,$21952.75,NA,NA,$21952.75,NA,$21952.75,NA,$25245.66,$21952.75,$21952.75,NA,$20855.11,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-B,NA,NA,$29056.09,$35173.16,NA,NA,NA,$30585.35,NA,NA,$29667.79,NA,NA,NA,$30585.35,NA,NA,$30585.35,NA,$30585.35,NA,$35173.16,$30585.35,$30585.35,NA,$29056.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-C,NA,NA,$23268.20,$28166.77,NA,NA,NA,$24492.84,NA,NA,$23758.06,NA,NA,NA,$24492.84,NA,NA,$24492.84,NA,$24492.84,NA,$28166.77,$24492.84,$24492.84,NA,$23268.20,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-D,NA,NA,$21739.50,$26316.24,NA,NA,NA,$22883.69,NA,NA,$22197.18,NA,NA,NA,$22883.69,NA,NA,$22883.69,NA,$22883.69,NA,$26316.24,$22883.69,$22883.69,NA,$21739.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-A,NA,NA,$10889.42,$13181.93,NA,NA,NA,$11462.55,NA,NA,$11118.67,NA,NA,NA,$11462.55,NA,NA,$11462.55,NA,$11462.55,NA,$13181.93,$11462.55,$11462.55,NA,$10889.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-B,NA,NA,$13413.74,$16237.68,NA,NA,NA,$14119.72,NA,NA,$13696.13,NA,NA,NA,$14119.72,NA,NA,$14119.72,NA,$14119.72,NA,$16237.68,$14119.72,$14119.72,NA,$13413.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-C,NA,NA,$13413.74,$16237.68,NA,NA,NA,$14119.72,NA,NA,$13696.13,NA,NA,NA,$14119.72,NA,NA,$14119.72,NA,$14119.72,NA,$16237.68,$14119.72,$14119.72,NA,$13413.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-D,NA,NA,$12098.00,$14644.95,NA,NA,NA,$12734.74,NA,NA,$12352.69,NA,NA,NA,$12734.74,NA,NA,$12734.74,NA,$12734.74,NA,$14644.95,$12734.74,$12734.74,NA,$12098.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-A,NA,NA,$12197.02,$14764.81,NA,NA,NA,$12838.97,NA,NA,$12453.80,NA,NA,NA,$12838.97,NA,NA,$12838.97,NA,$12838.97,NA,$14764.81,$12838.97,$12838.97,NA,$12197.02,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-B,NA,NA,$15026.53,$18190.01,NA,NA,NA,$15817.40,NA,NA,$15342.88,NA,NA,NA,$15817.40,NA,NA,$15817.40,NA,$15817.40,NA,$18190.01,$15817.40,$15817.40,NA,$15026.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-C,NA,NA,$15026.53,$18190.01,NA,NA,NA,$15817.40,NA,NA,$15342.88,NA,NA,NA,$15817.40,NA,NA,$15817.40,NA,$15817.40,NA,$18190.01,$15817.40,$15817.40,NA,$15026.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-D,NA,NA,$13552.09,$16405.16,NA,NA,NA,$14265.36,NA,NA,$13837.40,NA,NA,NA,$14265.36,NA,NA,$14265.36,NA,$14265.36,NA,$16405.16,$14265.36,$14265.36,NA,$13552.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-A,NA,NA,$14905.81,$18043.87,NA,NA,NA,$15690.32,NA,NA,$15219.62,NA,NA,NA,$15690.32,NA,NA,$15690.32,NA,$15690.32,NA,$18043.87,$15690.32,$15690.32,NA,$14905.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-B,NA,NA,$18363.35,$22229.32,NA,NA,NA,$19329.84,NA,NA,$18749.95,NA,NA,NA,$19329.84,NA,NA,$19329.84,NA,$19329.84,NA,$22229.32,$19329.84,$19329.84,NA,$18363.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-C,NA,NA,$18363.35,$22229.32,NA,NA,NA,$19329.84,NA,NA,$18749.95,NA,NA,NA,$19329.84,NA,NA,$19329.84,NA,$19329.84,NA,$22229.32,$19329.84,$19329.84,NA,$18363.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-D,NA,NA,$16560.65,$20047.11,NA,NA,NA,$17432.27,NA,NA,$16909.30,NA,NA,NA,$17432.27,NA,NA,$17432.27,NA,$17432.27,NA,$20047.11,$17432.27,$17432.27,NA,$16560.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-A,NA,NA,$18939.83,$22927.16,NA,NA,NA,$19936.66,NA,NA,$19338.56,NA,NA,NA,$19936.66,NA,NA,$19936.66,NA,$19936.66,NA,$22927.16,$19936.66,$19936.66,NA,$18939.83,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-B,NA,NA,$23331.95,$28243.94,NA,NA,NA,$24559.95,NA,NA,$23823.15,NA,NA,NA,$24559.95,NA,NA,$24559.95,NA,$24559.95,NA,$28243.94,$24559.95,$24559.95,NA,$23331.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-C,NA,NA,$23331.95,$28243.94,NA,NA,NA,$24559.95,NA,NA,$23823.15,NA,NA,NA,$24559.95,NA,NA,$24559.95,NA,$24559.95,NA,$28243.94,$24559.95,$24559.95,NA,$23331.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-D,NA,NA,$21042.30,$25472.26,NA,NA,NA,$22149.79,NA,NA,$21485.29,NA,NA,NA,$22149.79,NA,NA,$22149.79,NA,$22149.79,NA,$25472.26,$22149.79,$22149.79,NA,$21042.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-A,NA,NA,$12251.28,$14830.49,NA,NA,NA,$12896.08,NA,NA,$12509.20,NA,NA,NA,$12896.08,NA,NA,$12896.08,NA,$12896.08,NA,$14830.49,$12896.08,$12896.08,NA,$12251.28,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-B,NA,NA,$18867.94,$22840.14,NA,NA,NA,$19860.99,NA,NA,$19265.16,NA,NA,NA,$19860.99,NA,NA,$19860.99,NA,$19860.99,NA,$22840.14,$19860.99,$19860.99,NA,$18867.94,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-C,NA,NA,$14801.36,$17917.44,NA,NA,NA,$15580.38,NA,NA,$15112.97,NA,NA,NA,$15580.38,NA,NA,$15580.38,NA,$15580.38,NA,$17917.44,$15580.38,$15580.38,NA,$14801.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-D,NA,NA,$13454.43,$16286.94,NA,NA,NA,$14162.56,NA,NA,$13737.68,NA,NA,NA,$14162.56,NA,NA,$14162.56,NA,$14162.56,NA,$16286.94,$14162.56,$14162.56,NA,$13454.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-A,NA,NA,$14962.78,$18112.84,NA,NA,NA,$15750.29,NA,NA,$15277.78,NA,NA,NA,$15750.29,NA,NA,$15750.29,NA,$15750.29,NA,$18112.84,$15750.29,$15750.29,NA,$14962.78,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-B,NA,NA,$23043.03,$27894.20,NA,NA,NA,$24255.82,NA,NA,$23528.15,NA,NA,NA,$24255.82,NA,NA,$24255.82,NA,$24255.82,NA,$27894.20,$24255.82,$24255.82,NA,$23043.03,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-C,NA,NA,$18078.50,$21884.50,NA,NA,NA,$19030.00,NA,NA,$18459.10,NA,NA,NA,$19030.00,NA,NA,$19030.00,NA,$19030.00,NA,$21884.50,$19030.00,$19030.00,NA,$18078.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-D,NA,NA,$16433.15,$19892.76,NA,NA,NA,$17298.05,NA,NA,$16779.11,NA,NA,NA,$17298.05,NA,NA,$17298.05,NA,$17298.05,NA,$19892.76,$17298.05,$17298.05,NA,$16433.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-A,NA,NA,$17738.03,$21472.36,NA,NA,NA,$18671.62,NA,NA,$18111.47,NA,NA,NA,$18671.62,NA,NA,$18671.62,NA,$18671.62,NA,$21472.36,$18671.62,$18671.62,NA,$17738.03,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-B,NA,NA,$27318.50,$33069.76,NA,NA,NA,$28756.31,NA,NA,$27893.63,NA,NA,NA,$28756.31,NA,NA,$28756.31,NA,$28756.31,NA,$33069.76,$28756.31,$28756.31,NA,$27318.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-C,NA,NA,$21430.24,$25941.87,NA,NA,NA,$22558.14,NA,NA,$21881.40,NA,NA,NA,$22558.14,NA,NA,$22558.14,NA,$22558.14,NA,$25941.87,$22558.14,$22558.14,NA,$21430.24,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-D,NA,NA,$19481.05,$23582.32,NA,NA,NA,$20506.37,NA,NA,$19891.17,NA,NA,NA,$20506.37,NA,NA,$20506.37,NA,$20506.37,NA,$23582.32,$20506.37,$20506.37,NA,$19481.05,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-A,NA,NA,$19622.12,$23753.09,NA,NA,NA,$20654.86,NA,NA,$20035.21,NA,NA,NA,$20654.86,NA,NA,$20654.86,NA,$20654.86,NA,$23753.09,$20654.86,$20654.86,NA,$19622.12,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-B,NA,NA,$30219.90,$36581.99,NA,NA,NA,$31810.42,NA,NA,$30856.11,NA,NA,NA,$31810.42,NA,NA,$31810.42,NA,$31810.42,NA,$36581.99,$31810.42,$31810.42,NA,$30219.90,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-C,NA,NA,$23707.68,$28698.77,NA,NA,NA,$24955.46,NA,NA,$24206.79,NA,NA,NA,$24955.46,NA,NA,$24955.46,NA,$24955.46,NA,$28698.77,$24955.46,$24955.46,NA,$23707.68,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-D,NA,NA,$21550.96,$26088.00,NA,NA,NA,$22685.22,NA,NA,$22004.66,NA,NA,NA,$22685.22,NA,NA,$22685.22,NA,$22685.22,NA,$26088.00,$22685.22,$22685.22,NA,$21550.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-A,NA,NA,$21530.61,$26063.37,NA,NA,NA,$22663.80,NA,NA,$21983.89,NA,NA,NA,$22663.80,NA,NA,$22663.80,NA,$22663.80,NA,$26063.37,$22663.80,$22663.80,NA,$21530.61,NA,NA,NA,NA
