Encompass Health Rehabilitation Hospital of Ocala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL NETWORK BLUE (BCNB) negotiated charge,BCFL PREFERRED PAT CARE (BCFP) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WC (CVLW) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,HUMANA MILITARY TRICARE (TRI) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-D,NA,NA,$22056.21,$26770.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46495.80,NA,NA,NA,$46495.80,NA,NA,$46495.80,NA,$46495.80,NA,NA,$53470.17,$46495.80,NA,$46495.80,NA,$44171.01,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-A,NA,NA,$12660.39,$15366.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26688.86,NA,NA,NA,$26688.86,NA,NA,$26688.86,NA,$26688.86,NA,NA,$30692.19,$26688.86,NA,$26688.86,NA,$25354.41,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-B,NA,NA,$20695.48,$25118.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43627.31,NA,NA,NA,$43627.31,NA,NA,$43627.31,NA,$43627.31,NA,NA,$50171.41,$43627.31,NA,$43627.31,NA,$41445.94,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-C,NA,NA,$13788.76,$16736.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29067.52,NA,NA,NA,$29067.52,NA,NA,$29067.52,NA,$29067.52,NA,NA,$33427.66,$29067.52,NA,$29067.52,NA,$27614.15,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-D,NA,NA,$13788.76,$16736.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29067.52,NA,NA,NA,$29067.52,NA,NA,$29067.52,NA,$29067.52,NA,NA,$33427.66,$29067.52,NA,$29067.52,NA,$27614.15,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-A,NA,NA,$15907.54,$19307.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33534.04,NA,NA,NA,$33534.04,NA,NA,$33534.04,NA,$33534.04,NA,NA,$38564.14,$33534.04,NA,$33534.04,NA,$31857.34,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-B,NA,NA,$26004.77,$31563.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54819.62,NA,NA,NA,$54819.62,NA,NA,$54819.62,NA,$54819.62,NA,NA,$63042.55,$54819.62,NA,$54819.62,NA,$52078.63,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-C,NA,NA,$17324.90,$21027.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36521.91,NA,NA,NA,$36521.91,NA,NA,$36521.91,NA,$36521.91,NA,NA,$42000.21,$36521.91,NA,$36521.91,NA,$34695.82,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-D,NA,NA,$17324.90,$21027.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36521.91,NA,NA,NA,$36521.91,NA,NA,$36521.91,NA,$36521.91,NA,NA,$42000.21,$36521.91,NA,$36521.91,NA,$34695.82,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-A,NA,NA,$18492.48,$22445.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38983.25,NA,NA,NA,$38983.25,NA,NA,$38983.25,NA,$38983.25,NA,NA,$44830.73,$38983.25,NA,$38983.25,NA,$37034.08,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-B,NA,NA,$30227.81,$36688.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$63722.03,NA,NA,NA,$63722.03,NA,NA,$63722.03,NA,$63722.03,NA,NA,$73280.33,$63722.03,NA,$63722.03,NA,$60535.92,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-C,NA,NA,$20137.83,$24442.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42451.75,NA,NA,NA,$42451.75,NA,NA,$42451.75,NA,$42451.75,NA,NA,$48819.52,$42451.75,NA,$42451.75,NA,$40329.16,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-D,NA,NA,$20137.83,$24442.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42451.75,NA,NA,NA,$42451.75,NA,NA,$42451.75,NA,$42451.75,NA,NA,$48819.52,$42451.75,NA,$42451.75,NA,$40329.16,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-A,NA,NA,$19434.96,$23589.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40970.06,NA,NA,NA,$40970.06,NA,NA,$40970.06,NA,$40970.06,NA,NA,$47115.57,$40970.06,NA,$40970.06,NA,$38921.55,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-B,NA,NA,$31770.06,$38560.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$66973.18,NA,NA,NA,$66973.18,NA,NA,$66973.18,NA,$66973.18,NA,NA,$77019.15,$66973.18,NA,$66973.18,NA,$63624.52,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-C,NA,NA,$21166.00,$25690.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44619.19,NA,NA,NA,$44619.19,NA,NA,$44619.19,NA,$44619.19,NA,NA,$51312.07,$44619.19,NA,$44619.19,NA,$42388.23,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-D,NA,NA,$21166.00,$25690.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44619.19,NA,NA,NA,$44619.19,NA,NA,$44619.19,NA,$44619.19,NA,NA,$51312.07,$44619.19,NA,$44619.19,NA,$42388.23,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-A,NA,NA,$11395.51,$13831.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24022.42,NA,NA,NA,$24022.42,NA,NA,$24022.42,NA,$24022.42,NA,NA,$27625.79,$24022.42,NA,$24022.42,NA,$22821.30,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-B,NA,NA,$16376.60,$19876.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34522.86,NA,NA,NA,$34522.86,NA,NA,$34522.86,NA,$34522.86,NA,NA,$39701.28,$34522.86,NA,$34522.86,NA,$32796.71,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-C,NA,NA,$13521.55,$16411.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28504.24,NA,NA,NA,$28504.24,NA,NA,$28504.24,NA,$28504.24,NA,NA,$32779.88,$28504.24,NA,$28504.24,NA,$27079.02,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-D,NA,NA,$12836.11,$15579.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27059.28,NA,NA,NA,$27059.28,NA,NA,$27059.28,NA,$27059.28,NA,NA,$31118.18,$27059.28,NA,$27059.28,NA,$25706.32,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-A,NA,NA,$15592.41,$18925.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32869.72,NA,NA,NA,$32869.72,NA,NA,$32869.72,NA,$32869.72,NA,NA,$37800.18,$32869.72,NA,$32869.72,NA,$31226.24,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-B,NA,NA,$22406.19,$27195.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47233.58,NA,NA,NA,$47233.58,NA,NA,$47233.58,NA,$47233.58,NA,NA,$54318.62,$47233.58,NA,$47233.58,NA,$44871.90,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-C,NA,NA,$18501.19,$22455.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39001.61,NA,NA,NA,$39001.61,NA,NA,$39001.61,NA,$39001.61,NA,NA,$44851.86,$39001.61,NA,$39001.61,NA,$37051.53,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-D,NA,NA,$17563.06,$21317.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37023.98,NA,NA,NA,$37023.98,NA,NA,$37023.98,NA,$37023.98,NA,NA,$42577.58,$37023.98,NA,$37023.98,NA,$35172.78,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-A,NA,NA,$17974.04,$21815.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37890.34,NA,NA,NA,$37890.34,NA,NA,$37890.34,NA,$37890.34,NA,NA,$43573.90,$37890.34,NA,$37890.34,NA,$35995.83,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-B,NA,NA,$25829.06,$31349.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54449.19,NA,NA,NA,$54449.19,NA,NA,$54449.19,NA,$54449.19,NA,NA,$62616.57,$54449.19,NA,$54449.19,NA,$51726.73,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-C,NA,NA,$21327.20,$25885.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44959.00,NA,NA,NA,$44959.00,NA,NA,$44959.00,NA,$44959.00,NA,NA,$51702.85,$44959.00,NA,$44959.00,NA,$42711.05,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-D,NA,NA,$20245.30,$24572.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42678.29,NA,NA,NA,$42678.29,NA,NA,$42678.29,NA,$42678.29,NA,NA,$49080.04,$42678.29,NA,$42678.29,NA,$40544.38,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-A,NA,NA,$20834.90,$25288.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43921.20,NA,NA,NA,$43921.20,NA,NA,$43921.20,NA,$43921.20,NA,NA,$50509.38,$43921.20,NA,$43921.20,NA,$41725.15,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-B,NA,NA,$29940.27,$36339.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$63115.87,NA,NA,NA,$63115.87,NA,NA,$63115.87,NA,$63115.87,NA,NA,$72583.26,$63115.87,NA,$63115.87,NA,$59960.08,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-C,NA,NA,$24722.47,$30006.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$52116.44,NA,NA,NA,$52116.44,NA,NA,$52116.44,NA,$52116.44,NA,NA,$59933.90,$52116.44,NA,$52116.44,NA,$49510.62,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-D,NA,NA,$23469.21,$28485.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49474.49,NA,NA,NA,$49474.49,NA,NA,$49474.49,NA,$49474.49,NA,NA,$56895.67,$49474.49,NA,$49474.49,NA,$47000.77,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-A,NA,NA,$21096.29,$25605.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44472.25,NA,NA,NA,$44472.25,NA,NA,$44472.25,NA,$44472.25,NA,NA,$51143.08,$44472.25,NA,$44472.25,NA,$42248.63,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-B,NA,NA,$30316.39,$36796.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$63908.76,NA,NA,NA,$63908.76,NA,NA,$63908.76,NA,$63908.76,NA,NA,$73495.08,$63908.76,NA,$63908.76,NA,$60713.32,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-C,NA,NA,$25031.79,$30382.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$52768.50,NA,NA,NA,$52768.50,NA,NA,$52768.50,NA,$52768.50,NA,NA,$60683.78,$52768.50,NA,$52768.50,NA,$50130.08,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-D,NA,NA,$23762.56,$28841.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$50092.89,NA,NA,NA,$50092.89,NA,NA,$50092.89,NA,$50092.89,NA,NA,$57606.82,$50092.89,NA,$50092.89,NA,$47588.24,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-A,NA,NA,$11015.03,$13369.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23220.35,NA,NA,NA,$23220.35,NA,NA,$23220.35,NA,$23220.35,NA,NA,$26703.40,$23220.35,NA,$23220.35,NA,$22059.33,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-B,NA,NA,$16636.55,$20192.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35070.84,NA,NA,NA,$35070.84,NA,NA,$35070.84,NA,$35070.84,NA,NA,$40331.46,$35070.84,NA,$35070.84,NA,$33317.30,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-C,NA,NA,$13639.18,$16554.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28752.20,NA,NA,NA,$28752.20,NA,NA,$28752.20,NA,$28752.20,NA,NA,$33065.04,$28752.20,NA,$28752.20,NA,$27314.60,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-D,NA,NA,$12310.41,$14941.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25951.07,NA,NA,NA,$25951.07,NA,NA,$25951.07,NA,$25951.07,NA,NA,$29843.73,$25951.07,NA,$25951.07,NA,$24653.52,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-A,NA,NA,$13838.14,$16795.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29171.62,NA,NA,NA,$29171.62,NA,NA,$29171.62,NA,$29171.62,NA,NA,$33547.36,$29171.62,NA,$29171.62,NA,$27713.04,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-B,NA,NA,$20898.79,$25365.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44055.90,NA,NA,NA,$44055.90,NA,NA,$44055.90,NA,$44055.90,NA,NA,$50664.29,$44055.90,NA,$44055.90,NA,$41853.10,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-C,NA,NA,$17134.66,$20797.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36120.88,NA,NA,NA,$36120.88,NA,NA,$36120.88,NA,$36120.88,NA,NA,$41539.01,$36120.88,NA,$36120.88,NA,$34314.84,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-D,NA,NA,$15466.07,$18771.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32603.39,NA,NA,NA,$32603.39,NA,NA,$32603.39,NA,$32603.39,NA,NA,$37493.90,$32603.39,NA,$32603.39,NA,$30973.22,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-A,NA,NA,$16802.10,$20393.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35419.83,NA,NA,NA,$35419.83,NA,NA,$35419.83,NA,$35419.83,NA,NA,$40732.81,$35419.83,NA,$35419.83,NA,$33648.84,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-B,NA,NA,$25375.97,$30799.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53494.04,NA,NA,NA,$53494.04,NA,NA,$53494.04,NA,$53494.04,NA,NA,$61518.15,$53494.04,NA,$53494.04,NA,$50819.35,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-C,NA,NA,$20804.40,$25251.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43856.92,NA,NA,NA,$43856.92,NA,NA,$43856.92,NA,$43856.92,NA,NA,$50435.45,$43856.92,NA,$43856.92,NA,$41664.07,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-D,NA,NA,$18778.56,$22792.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39586.33,NA,NA,NA,$39586.33,NA,NA,$39586.33,NA,$39586.33,NA,NA,$45524.27,$39586.33,NA,$39586.33,NA,$37607.01,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-A,NA,NA,$19735.57,$23953.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41603.76,NA,NA,NA,$41603.76,NA,NA,$41603.76,NA,$41603.76,NA,NA,$47844.33,$41603.76,NA,$41603.76,NA,$39523.57,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-B,NA,NA,$29805.21,$36175.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$62831.17,NA,NA,NA,$62831.17,NA,NA,$62831.17,NA,$62831.17,NA,NA,$72255.85,$62831.17,NA,$62831.17,NA,$59689.61,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-C,NA,NA,$24436.38,$29659.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$51513.35,NA,NA,NA,$51513.35,NA,NA,$51513.35,NA,$51513.35,NA,NA,$59240.36,$51513.35,NA,$51513.35,NA,$48937.68,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-D,NA,NA,$22056.21,$26770.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46495.80,NA,NA,NA,$46495.80,NA,NA,$46495.80,NA,$46495.80,NA,NA,$53470.17,$46495.80,NA,$46495.80,NA,$44171.01,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-A,NA,NA,$13450.39,$16325.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28354.23,NA,NA,NA,$28354.23,NA,NA,$28354.23,NA,$28354.23,NA,NA,$32607.37,$28354.23,NA,$28354.23,NA,$26936.52,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-B,NA,NA,$18740.81,$22746.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39506.73,NA,NA,NA,$39506.73,NA,NA,$39506.73,NA,$39506.73,NA,NA,$45432.75,$39506.73,NA,$39506.73,NA,$37531.40,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-C,NA,NA,$15008.62,$18216.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31639.07,NA,NA,NA,$31639.07,NA,NA,$31639.07,NA,$31639.07,NA,NA,$36384.92,$31639.07,NA,$31639.07,NA,$30057.11,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-D,NA,NA,$14021.11,$17018.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29557.35,NA,NA,NA,$29557.35,NA,NA,$29557.35,NA,$29557.35,NA,NA,$33990.95,$29557.35,NA,$29557.35,NA,$28079.47,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-A,NA,NA,$16585.72,$20130.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34963.69,NA,NA,NA,$34963.69,NA,NA,$34963.69,NA,$34963.69,NA,NA,$40208.24,$34963.69,NA,$34963.69,NA,$33215.50,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-B,NA,NA,$23109.06,$28048.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48715.28,NA,NA,NA,$48715.28,NA,NA,$48715.28,NA,$48715.28,NA,NA,$56022.57,$48715.28,NA,$48715.28,NA,$46279.51,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-C,NA,NA,$18507.00,$22462.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39013.86,NA,NA,NA,$39013.86,NA,NA,$39013.86,NA,$39013.86,NA,NA,$44865.94,$39013.86,NA,$39013.86,NA,$37063.17,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-D,NA,NA,$17290.05,$20985.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36448.45,NA,NA,NA,$36448.45,NA,NA,$36448.45,NA,$36448.45,NA,NA,$41915.71,$36448.45,NA,$36448.45,NA,$34626.03,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-A,NA,NA,$19257.79,$23374.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40596.57,NA,NA,NA,$40596.57,NA,NA,$40596.57,NA,$40596.57,NA,NA,$46686.07,$40596.57,NA,$40596.57,NA,$38566.74,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-B,NA,NA,$26831.08,$32566.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$56561.53,NA,NA,NA,$56561.53,NA,NA,$56561.53,NA,$56561.53,NA,NA,$65045.75,$56561.53,NA,$56561.53,NA,$53733.44,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-C,NA,NA,$21486.94,$26079.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45295.75,NA,NA,NA,$45295.75,NA,NA,$45295.75,NA,$45295.75,NA,NA,$52090.12,$45295.75,NA,$45295.75,NA,$43030.96,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-D,NA,NA,$20073.94,$24364.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42317.06,NA,NA,NA,$42317.06,NA,NA,$42317.06,NA,$42317.06,NA,NA,$48664.61,$42317.06,NA,$42317.06,NA,$40201.21,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-A,NA,NA,$22327.77,$27100.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47068.27,NA,NA,NA,$47068.27,NA,NA,$47068.27,NA,$47068.27,NA,NA,$54128.51,$47068.27,NA,$47068.27,NA,$44714.86,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-B,NA,NA,$31107.85,$37756.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$65577.20,NA,NA,NA,$65577.20,NA,NA,$65577.20,NA,$65577.20,NA,NA,$75413.78,$65577.20,NA,$65577.20,NA,$62298.34,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-C,NA,NA,$24911.26,$30235.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$52514.42,NA,NA,NA,$52514.42,NA,NA,$52514.42,NA,$52514.42,NA,NA,$60391.57,$52514.42,NA,$52514.42,NA,$49888.70,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-D,NA,NA,$23274.61,$28249.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49064.27,NA,NA,NA,$49064.27,NA,NA,$49064.27,NA,$49064.27,NA,NA,$56423.91,$49064.27,NA,$49064.27,NA,$46611.06,NA,NA
