Encompass Health Rehabilitation Hospital of Western Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALLWAYS HEALTH PART EXCH (ALLZ) negotiated charge,ALLWAYS HEALTH PART MCD (ALLD) negotiated charge,ALLWAYS HEALTH PARTNERS (ALL) negotiated charge,BC BS OF MA (BCMA) negotiated charge,BCBS MA EXCHANGE (BMAZ) negotiated charge,BCBS OF MASS MEDICARE (BMAM) negotiated charge,BCMA BLUE BENEFIT ADMIN (BCMB) negotiated charge,BMC HEALTHNET (BMCD) negotiated charge,BOSTON MEDICAL CTR DUAL (BMCB) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,COMMONWEALTH CARE DUAL (COM) negotiated charge,CONNECTICARE (CTC) negotiated charge,CORVEL WC (CVLW) negotiated charge,COVENTRY HEALTHCARE WC (CHCW) negotiated charge,FALLON COMMUNITY HEALTH (FAL) negotiated charge,FALLON EXCHANGE (FALZ) negotiated charge,FALLON MEDICAID (FALD) negotiated charge,FALLON SENIOR (FALM) negotiated charge,HARVARD PILGRIM EXCHANGE (HPHZ) negotiated charge,HARVARD PILGRIM HEALTHCAR (HPH) negotiated charge,HEALTH NEW ENGLAND (HNE) negotiated charge,HEALTH NEW ENGLAND EXCHGE (HNEZ) negotiated charge,HEALTH NEW ENGLAND MEDICA (HNEM) negotiated charge,HEALTH NEWENGLAND MEDICAI (HNED) negotiated charge,NETWORK HEALTH (NTH) negotiated charge,NETWORK HEALTH BELOW 65 D (NTHB) negotiated charge,NETWORK HEALTH EXCHANGE (NTHZ) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,TRICARE (TRI) negotiated charge,TUFTS HMO/PPO (TFTH) negotiated charge,TUFTS POS (TFTP) negotiated charge,TUFTS SECURE HORIZONS (TFTS) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNICARE CIP (UNCI) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,WELLSENSE MEDICARE (WLSM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-B,NA,NA,$29381.78,$37543.38,NA,$32646.42,NA,NA,NA,NA,NA,NA,NA,NA,$32646.42,NA,NA,$32646.42,NA,$29381.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32646.42,NA,NA,$32646.42,NA,NA,NA,$37543.38,$32646.42,$32646.42,NA,NA,NA,$32646.42,NA,NA,$32646.42,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-C,NA,NA,$23828.13,$30447.06,NA,$26475.70,NA,NA,NA,NA,NA,NA,NA,NA,$26475.70,NA,NA,$26475.70,NA,$23828.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26475.70,NA,NA,$26475.70,NA,NA,NA,$30447.06,$26475.70,$26475.70,NA,NA,NA,$26475.70,NA,NA,$26475.70,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-D,NA,NA,$22580.38,$28852.71,NA,$25089.32,NA,NA,NA,NA,NA,NA,NA,NA,$25089.32,NA,NA,$25089.32,NA,$22580.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25089.32,NA,NA,$25089.32,NA,NA,NA,$28852.71,$25089.32,$25089.32,NA,NA,NA,$25089.32,NA,NA,$25089.32,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-A,NA,NA,$23714.98,$30302.48,NA,$26349.98,NA,NA,NA,NA,NA,NA,NA,NA,$26349.98,NA,NA,$26349.98,NA,$23714.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26349.98,NA,NA,$26349.98,NA,NA,NA,$30302.48,$26349.98,$26349.98,NA,NA,NA,$26349.98,NA,NA,$26349.98,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-B,NA,NA,$33572.98,$42898.80,NA,$37303.31,NA,NA,NA,NA,NA,NA,NA,NA,$37303.31,NA,NA,$37303.31,NA,$33572.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37303.31,NA,NA,$37303.31,NA,NA,NA,$42898.80,$37303.31,$37303.31,NA,NA,NA,$37303.31,NA,NA,$37303.31,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-C,NA,NA,$27227.28,$34790.41,NA,$30252.53,NA,NA,NA,NA,NA,NA,NA,NA,$30252.53,NA,NA,$30252.53,NA,$27227.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30252.53,NA,NA,$30252.53,NA,NA,NA,$34790.41,$30252.53,$30252.53,NA,NA,NA,$30252.53,NA,NA,$30252.53,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-D,NA,NA,$25801.28,$32968.30,NA,$28668.09,NA,NA,NA,NA,NA,NA,NA,NA,$28668.09,NA,NA,$28668.09,NA,$25801.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28668.09,NA,NA,$28668.09,NA,NA,NA,$32968.30,$28668.09,$28668.09,NA,NA,NA,$28668.09,NA,NA,$28668.09,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-A,NA,NA,$11724.19,$14980.91,NA,$13026.88,NA,NA,NA,NA,NA,NA,NA,NA,$13026.88,NA,NA,$13026.88,NA,$11724.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13026.88,NA,NA,$13026.88,NA,NA,NA,$14980.91,$13026.88,$13026.88,NA,NA,NA,$13026.88,NA,NA,$13026.88,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-B,NA,NA,$17465.39,$22316.88,NA,$19405.99,NA,NA,NA,NA,NA,NA,NA,NA,$19405.99,NA,NA,$19405.99,NA,$17465.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19405.99,NA,NA,$19405.99,NA,NA,NA,$22316.88,$19405.99,$19405.99,NA,NA,NA,$19405.99,NA,NA,$19405.99,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-C,NA,NA,$14055.39,$17959.67,NA,$15617.10,NA,NA,NA,NA,NA,NA,NA,NA,$15617.10,NA,NA,$15617.10,NA,$14055.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15617.10,NA,NA,$15617.10,NA,NA,NA,$17959.67,$15617.10,$15617.10,NA,NA,NA,$15617.10,NA,NA,$15617.10,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-D,NA,NA,$12587.54,$16084.08,NA,$13986.16,NA,NA,NA,NA,NA,NA,NA,NA,$13986.16,NA,NA,$13986.16,NA,$12587.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13986.16,NA,NA,$13986.16,NA,NA,NA,$16084.08,$13986.16,$13986.16,NA,NA,NA,$13986.16,NA,NA,$13986.16,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-A,NA,NA,$13784.14,$17613.07,NA,$15315.71,NA,NA,NA,NA,NA,NA,NA,NA,$15315.71,NA,NA,$15315.71,NA,$13784.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15315.71,NA,NA,$15315.71,NA,NA,NA,$17613.07,$15315.71,$15315.71,NA,NA,NA,$15315.71,NA,NA,$15315.71,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-B,NA,NA,$20534.39,$26238.38,NA,$22815.98,NA,NA,NA,NA,NA,NA,NA,NA,$22815.98,NA,NA,$22815.98,NA,$20534.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22815.98,NA,NA,$22815.98,NA,NA,NA,$26238.38,$22815.98,$22815.98,NA,NA,NA,$22815.98,NA,NA,$22815.98,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-C,NA,NA,$16524.54,$21114.69,NA,$18360.60,NA,NA,NA,NA,NA,NA,NA,NA,$18360.60,NA,NA,$18360.60,NA,$16524.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18360.60,NA,NA,$18360.60,NA,NA,NA,$21114.69,$18360.60,$18360.60,NA,NA,NA,$18360.60,NA,NA,$18360.60,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-D,NA,NA,$14799.39,$18910.33,NA,$16443.77,NA,NA,NA,NA,NA,NA,NA,NA,$16443.77,NA,NA,$16443.77,NA,$14799.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16443.77,NA,NA,$16443.77,NA,NA,NA,$18910.33,$16443.77,$16443.77,NA,NA,NA,$16443.77,NA,NA,$16443.77,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-A,NA,NA,$15397.69,$19674.82,NA,$17108.54,NA,NA,NA,NA,NA,NA,NA,NA,$17108.54,NA,NA,$17108.54,NA,$15397.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17108.54,NA,NA,$17108.54,NA,NA,NA,$19674.82,$17108.54,$17108.54,NA,NA,NA,$17108.54,NA,NA,$17108.54,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-B,NA,NA,$22938.43,$29310.22,NA,$25487.15,NA,NA,NA,NA,NA,NA,NA,NA,$25487.15,NA,NA,$25487.15,NA,$22938.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25487.15,NA,NA,$25487.15,NA,NA,NA,$29310.22,$25487.15,$25487.15,NA,NA,NA,$25487.15,NA,NA,$25487.15,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-C,NA,NA,$18458.94,$23586.42,NA,$20509.93,NA,NA,NA,NA,NA,NA,NA,NA,$20509.93,NA,NA,$20509.93,NA,$18458.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20509.93,NA,NA,$20509.93,NA,NA,NA,$23586.42,$20509.93,$20509.93,NA,NA,NA,$20509.93,NA,NA,$20509.93,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-D,NA,NA,$16532.29,$21124.59,NA,$18369.21,NA,NA,NA,NA,NA,NA,NA,NA,$18369.21,NA,NA,$18369.21,NA,$16532.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18369.21,NA,NA,$18369.21,NA,NA,NA,$21124.59,$18369.21,$18369.21,NA,NA,NA,$18369.21,NA,NA,$18369.21,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-A,NA,NA,$17745.94,$22675.36,NA,$19717.71,NA,NA,NA,NA,NA,NA,NA,NA,$19717.71,NA,NA,$19717.71,NA,$17745.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19717.71,NA,NA,$19717.71,NA,NA,NA,$22675.36,$19717.71,$19717.71,NA,NA,NA,$19717.71,NA,NA,$19717.71,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-B,NA,NA,$26436.78,$33780.33,NA,$29374.20,NA,NA,NA,NA,NA,NA,NA,NA,$29374.20,NA,NA,$29374.20,NA,$26436.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29374.20,NA,NA,$29374.20,NA,NA,NA,$33780.33,$29374.20,$29374.20,NA,NA,NA,$29374.20,NA,NA,$29374.20,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-C,NA,NA,$21275.28,$27185.09,NA,$23639.21,NA,NA,NA,NA,NA,NA,NA,NA,$23639.21,NA,NA,$23639.21,NA,$21275.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23639.21,NA,NA,$23639.21,NA,NA,NA,$27185.09,$23639.21,$23639.21,NA,NA,NA,$23639.21,NA,NA,$23639.21,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-D,NA,NA,$19054.14,$24346.95,NA,$21171.26,NA,NA,NA,NA,NA,NA,NA,NA,$21171.26,NA,NA,$21171.26,NA,$19054.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21171.26,NA,NA,$21171.26,NA,NA,NA,$24346.95,$21171.26,$21171.26,NA,NA,NA,$21171.26,NA,NA,$21171.26,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-A,NA,NA,$20678.54,$26422.57,NA,$22976.15,NA,NA,NA,NA,NA,NA,NA,NA,$22976.15,NA,NA,$22976.15,NA,$20678.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22976.15,NA,NA,$22976.15,NA,NA,NA,$26422.57,$22976.15,$22976.15,NA,NA,NA,$22976.15,NA,NA,$22976.15,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-B,NA,NA,$30804.68,$39361.53,NA,$34227.42,NA,NA,NA,NA,NA,NA,NA,NA,$34227.42,NA,NA,$34227.42,NA,$30804.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34227.42,NA,NA,$34227.42,NA,NA,NA,$39361.53,$34227.42,$34227.42,NA,NA,NA,$34227.42,NA,NA,$34227.42,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-C,NA,NA,$24790.68,$31676.98,NA,$27545.20,NA,NA,NA,NA,NA,NA,NA,NA,$27545.20,NA,NA,$27545.20,NA,$24790.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27545.20,NA,NA,$27545.20,NA,NA,NA,$31676.98,$27545.20,$27545.20,NA,NA,NA,$27545.20,NA,NA,$27545.20,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-D,NA,NA,$22202.18,$28369.46,NA,$24669.09,NA,NA,NA,NA,NA,NA,NA,NA,$24669.09,NA,NA,$24669.09,NA,$22202.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24669.09,NA,NA,$24669.09,NA,NA,NA,$28369.46,$24669.09,$24669.09,NA,NA,NA,$24669.09,NA,NA,$24669.09,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-A,NA,NA,$12823.14,$16385.12,NA,$14247.93,NA,NA,NA,NA,NA,NA,NA,NA,$14247.93,NA,NA,$14247.93,NA,$12823.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14247.93,NA,NA,$14247.93,NA,NA,NA,$16385.12,$14247.93,$14247.93,NA,NA,NA,$14247.93,NA,NA,$14247.93,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-B,NA,NA,$18772.04,$23986.49,NA,$20857.82,NA,NA,NA,NA,NA,NA,NA,NA,$20857.82,NA,NA,$20857.82,NA,$18772.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20857.82,NA,NA,$20857.82,NA,NA,NA,$23986.49,$20857.82,$20857.82,NA,NA,NA,$20857.82,NA,NA,$20857.82,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-C,NA,NA,$14959.04,$19114.33,NA,$16621.15,NA,NA,NA,NA,NA,NA,NA,NA,$16621.15,NA,NA,$16621.15,NA,$14959.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16621.15,NA,NA,$16621.15,NA,NA,NA,$19114.33,$16621.15,$16621.15,NA,NA,NA,$16621.15,NA,NA,$16621.15,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-D,NA,NA,$14156.14,$18088.40,NA,$15729.04,NA,NA,NA,NA,NA,NA,NA,NA,$15729.04,NA,NA,$15729.04,NA,$14156.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15729.04,NA,NA,$15729.04,NA,NA,NA,$18088.40,$15729.04,$15729.04,NA,NA,NA,$15729.04,NA,NA,$15729.04,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-A,NA,NA,$15966.54,$20401.69,NA,$17740.60,NA,NA,NA,NA,NA,NA,NA,NA,$17740.60,NA,NA,$17740.60,NA,$15966.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17740.60,NA,NA,$17740.60,NA,NA,NA,$20401.69,$17740.60,$17740.60,NA,NA,NA,$17740.60,NA,NA,$17740.60,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-B,NA,NA,$23370.88,$29862.80,NA,$25967.65,NA,NA,NA,NA,NA,NA,NA,NA,$25967.65,NA,NA,$25967.65,NA,$23370.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25967.65,NA,NA,$25967.65,NA,NA,NA,$29862.80,$25967.65,$25967.65,NA,NA,NA,$25967.65,NA,NA,$25967.65,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-C,NA,NA,$18623.24,$23796.36,NA,$20692.49,NA,NA,NA,NA,NA,NA,NA,NA,$20692.49,NA,NA,$20692.49,NA,$18623.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20692.49,NA,NA,$20692.49,NA,NA,NA,$23796.36,$20692.49,$20692.49,NA,NA,NA,$20692.49,NA,NA,$20692.49,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-D,NA,NA,$17625.04,$22520.88,NA,$19583.37,NA,NA,NA,NA,NA,NA,NA,NA,$19583.37,NA,NA,$19583.37,NA,$17625.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19583.37,NA,NA,$19583.37,NA,NA,NA,$22520.88,$19583.37,$19583.37,NA,NA,NA,$19583.37,NA,NA,$19583.37,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-A,NA,NA,$18789.09,$24008.28,NA,$20876.76,NA,NA,NA,NA,NA,NA,NA,NA,$20876.76,NA,NA,$20876.76,NA,$18789.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20876.76,NA,NA,$20876.76,NA,NA,NA,$24008.28,$20876.76,$20876.76,NA,NA,NA,$20876.76,NA,NA,$20876.76,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-B,NA,NA,$27503.18,$35142.95,NA,$30559.09,NA,NA,NA,NA,NA,NA,NA,NA,$30559.09,NA,NA,$30559.09,NA,$27503.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30559.09,NA,NA,$30559.09,NA,NA,NA,$35142.95,$30559.09,$30559.09,NA,NA,NA,$30559.09,NA,NA,$30559.09,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-C,NA,NA,$21915.43,$28003.06,NA,$24350.48,NA,NA,NA,NA,NA,NA,NA,NA,$24350.48,NA,NA,$24350.48,NA,$21915.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24350.48,NA,NA,$24350.48,NA,NA,NA,$28003.06,$24350.48,$24350.48,NA,NA,NA,$24350.48,NA,NA,$24350.48,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-D,NA,NA,$20742.09,$26503.78,NA,$23046.76,NA,NA,NA,NA,NA,NA,NA,NA,$23046.76,NA,NA,$23046.76,NA,$20742.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23046.76,NA,NA,$23046.76,NA,NA,NA,$26503.78,$23046.76,$23046.76,NA,NA,NA,$23046.76,NA,NA,$23046.76,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-A,NA,NA,$21572.88,$27565.35,NA,$23969.87,NA,NA,NA,NA,NA,NA,NA,NA,$23969.87,NA,NA,$23969.87,NA,$21572.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23969.87,NA,NA,$23969.87,NA,NA,NA,$27565.35,$23969.87,$23969.87,NA,NA,NA,$23969.87,NA,NA,$23969.87,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-B,NA,NA,$31578.13,$40349.83,NA,$35086.81,NA,NA,NA,NA,NA,NA,NA,NA,$35086.81,NA,NA,$35086.81,NA,$31578.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35086.81,NA,NA,$35086.81,NA,NA,NA,$40349.83,$35086.81,$35086.81,NA,NA,NA,$35086.81,NA,NA,$35086.81,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-C,NA,NA,$25164.23,$32154.30,NA,$27960.26,NA,NA,NA,NA,NA,NA,NA,NA,$27960.26,NA,NA,$27960.26,NA,$25164.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27960.26,NA,NA,$27960.26,NA,NA,NA,$32154.30,$27960.26,$27960.26,NA,NA,NA,$27960.26,NA,NA,$27960.26,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-D,NA,NA,$23815.73,$30431.21,NA,$26461.93,NA,NA,NA,NA,NA,NA,NA,NA,$26461.93,NA,NA,$26461.93,NA,$23815.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26461.93,NA,NA,$26461.93,NA,NA,NA,$30431.21,$26461.93,$26461.93,NA,NA,NA,$26461.93,NA,NA,$26461.93,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-A,NA,NA,$13956.19,$17832.91,NA,$15506.88,NA,NA,NA,NA,NA,NA,NA,NA,$15506.88,NA,NA,$15506.88,NA,$13956.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15506.88,NA,NA,$15506.88,NA,NA,NA,$17832.91,$15506.88,$15506.88,NA,NA,NA,$15506.88,NA,NA,$15506.88,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-B,NA,NA,$20087.99,$25667.98,NA,$22319.98,NA,NA,NA,NA,NA,NA,NA,NA,$22319.98,NA,NA,$22319.98,NA,$20087.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22319.98,NA,NA,$22319.98,NA,NA,NA,$25667.98,$22319.98,$22319.98,NA,NA,NA,$22319.98,NA,NA,$22319.98,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-C,NA,NA,$16837.64,$21514.76,NA,$18708.49,NA,NA,NA,NA,NA,NA,NA,NA,$18708.49,NA,NA,$18708.49,NA,$16837.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18708.49,NA,NA,$18708.49,NA,NA,NA,$21514.76,$18708.49,$18708.49,NA,NA,NA,$18708.49,NA,NA,$18708.49,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-D,NA,NA,$15109.39,$19306.44,NA,$16788.21,NA,NA,NA,NA,NA,NA,NA,NA,$16788.21,NA,NA,$16788.21,NA,$15109.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16788.21,NA,NA,$16788.21,NA,NA,NA,$19306.44,$16788.21,$16788.21,NA,NA,NA,$16788.21,NA,NA,$16788.21,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-A,NA,NA,$17240.64,$22029.70,NA,$19156.26,NA,NA,NA,NA,NA,NA,NA,NA,$19156.26,NA,NA,$19156.26,NA,$17240.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19156.26,NA,NA,$19156.26,NA,NA,NA,$22029.70,$19156.26,$19156.26,NA,NA,NA,$19156.26,NA,NA,$19156.26,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-B,NA,NA,$24815.48,$31708.67,NA,$27572.76,NA,NA,NA,NA,NA,NA,NA,NA,$27572.76,NA,NA,$27572.76,NA,$24815.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27572.76,NA,NA,$27572.76,NA,NA,NA,$31708.67,$27572.76,$27572.76,NA,NA,NA,$27572.76,NA,NA,$27572.76,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-C,NA,NA,$20799.44,$26577.06,NA,$23110.48,NA,NA,NA,NA,NA,NA,NA,NA,$23110.48,NA,NA,$23110.48,NA,$20799.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23110.48,NA,NA,$23110.48,NA,NA,NA,$26577.06,$23110.48,$23110.48,NA,NA,NA,$23110.48,NA,NA,$23110.48,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-D,NA,NA,$18665.09,$23849.83,NA,$20738.99,NA,NA,NA,NA,NA,NA,NA,NA,$20738.99,NA,NA,$20738.99,NA,$18665.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20738.99,NA,NA,$20738.99,NA,NA,NA,$23849.83,$20738.99,$20738.99,NA,NA,NA,$20738.99,NA,NA,$20738.99,NA,NA
