Encompass Health Rehabilitation Hospital of Salisbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,CAREFIRST (GRP HOSP/MED) (BCMI) negotiated charge,CAREFIRST BCBS (BCMH) negotiated charge,CAREFIRST BCBS EXCHANGE (BCMZ) negotiated charge,CAREFIRST BLUESELECT HMO (BCBH) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CHOICECARE MEDICARE (CHOM) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WC (CVLW) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HUMANA MILITARY TRICARE (TRI) negotiated charge,INFORMED (INFD) negotiated charge,INNOVATIVE HEALTHWARE (INN) negotiated charge,INTEGRA GROUP (INT) negotiated charge,JOHNS HOPKINS HEALTHCARE (JHH) negotiated charge,JOHNS HOPKINS MEDICAID (JHHD) negotiated charge,MULTIPLAN (MUL) negotiated charge,ONE NET (ONT) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,RIVERSIDE HEALTH MEDICAID (RHPD) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-D,NA,NA,$26458.94,$30427.78,NA,NA,NA,NA,NA,NA,$26458.94,$26458.94,NA,NA,NA,$26458.94,NA,NA,NA,NA,NA,NA,NA,$30427.78,$26458.94,NA,$26458.94,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-A,NA,NA,$12264.93,$14104.67,NA,NA,NA,NA,NA,NA,$12264.93,$12264.93,NA,NA,NA,$12264.93,NA,NA,NA,NA,NA,NA,NA,$14104.67,$12264.93,NA,$12264.93,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-B,NA,NA,$18524.33,$21302.98,NA,NA,NA,NA,NA,NA,$18524.33,$18524.33,NA,NA,NA,$18524.33,NA,NA,NA,NA,NA,NA,NA,$21302.98,$18524.33,NA,$18524.33,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-C,NA,NA,$15186.85,$17464.87,NA,NA,NA,NA,NA,NA,$15186.85,$15186.85,NA,NA,NA,$15186.85,NA,NA,NA,NA,NA,NA,NA,$17464.87,$15186.85,NA,$15186.85,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-D,NA,NA,$13707.29,$15763.39,NA,NA,NA,NA,NA,NA,$13707.29,$13707.29,NA,NA,NA,$13707.29,NA,NA,NA,NA,NA,NA,NA,$15763.39,$13707.29,NA,$13707.29,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-A,NA,NA,$15408.37,$17719.63,NA,NA,NA,NA,NA,NA,$15408.37,$15408.37,NA,NA,NA,$15408.37,NA,NA,NA,NA,NA,NA,NA,$17719.63,$15408.37,NA,$15408.37,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-B,NA,NA,$23270.22,$26760.75,NA,NA,NA,NA,NA,NA,$23270.22,$23270.22,NA,NA,NA,$23270.22,NA,NA,NA,NA,NA,NA,NA,$26760.75,$23270.22,NA,$23270.22,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-C,NA,NA,$19078.96,$21940.80,NA,NA,NA,NA,NA,NA,$19078.96,$19078.96,NA,NA,NA,$19078.96,NA,NA,NA,NA,NA,NA,NA,$21940.80,$19078.96,NA,$19078.96,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-D,NA,NA,$17221.03,$19804.18,NA,NA,NA,NA,NA,NA,$17221.03,$17221.03,NA,NA,NA,$17221.03,NA,NA,NA,NA,NA,NA,NA,$19804.18,$17221.03,NA,$17221.03,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-A,NA,NA,$18708.67,$21514.97,NA,NA,NA,NA,NA,NA,$18708.67,$18708.67,NA,NA,NA,$18708.67,NA,NA,NA,NA,NA,NA,NA,$21514.97,$18708.67,NA,$18708.67,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-B,NA,NA,$28255.42,$32493.74,NA,NA,NA,NA,NA,NA,$28255.42,$28255.42,NA,NA,NA,$28255.42,NA,NA,NA,NA,NA,NA,NA,$32493.74,$28255.42,NA,$28255.42,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-C,NA,NA,$23165.11,$26639.88,NA,NA,NA,NA,NA,NA,$23165.11,$23165.11,NA,NA,NA,$23165.11,NA,NA,NA,NA,NA,NA,NA,$26639.88,$23165.11,NA,$23165.11,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-D,NA,NA,$20909.40,$24045.81,NA,NA,NA,NA,NA,NA,$20909.40,$20909.40,NA,NA,NA,$20909.40,NA,NA,NA,NA,NA,NA,NA,$24045.81,$20909.40,NA,$20909.40,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-A,NA,NA,$21975.00,$25271.25,NA,NA,NA,NA,NA,NA,$21975.00,$21975.00,NA,NA,NA,$21975.00,NA,NA,NA,NA,NA,NA,NA,$25271.25,$21975.00,NA,$21975.00,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-B,NA,NA,$33187.27,$38165.36,NA,NA,NA,NA,NA,NA,$33187.27,$33187.27,NA,NA,NA,$33187.27,NA,NA,NA,NA,NA,NA,NA,$38165.36,$33187.27,NA,$33187.27,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-C,NA,NA,$27209.23,$31290.61,NA,NA,NA,NA,NA,NA,$27209.23,$27209.23,NA,NA,NA,$27209.23,NA,NA,NA,NA,NA,NA,NA,$31290.61,$27209.23,NA,$27209.23,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-D,NA,NA,$24558.97,$28242.81,NA,NA,NA,NA,NA,NA,$24558.97,$24558.97,NA,NA,NA,$24558.97,NA,NA,NA,NA,NA,NA,NA,$28242.81,$24558.97,NA,$24558.97,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-A,NA,NA,$14976.64,$17223.13,NA,NA,NA,NA,NA,NA,$14976.64,$14976.64,NA,NA,NA,$14976.64,NA,NA,NA,NA,NA,NA,NA,$17223.13,$14976.64,NA,$14976.64,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-B,NA,NA,$20867.36,$23997.46,NA,NA,NA,NA,NA,NA,$20867.36,$20867.36,NA,NA,NA,$20867.36,NA,NA,NA,NA,NA,NA,NA,$23997.46,$20867.36,NA,$20867.36,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-C,NA,NA,$16711.67,$19218.43,NA,NA,NA,NA,NA,NA,$16711.67,$16711.67,NA,NA,NA,$16711.67,NA,NA,NA,NA,NA,NA,NA,$19218.43,$16711.67,NA,$16711.67,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-D,NA,NA,$15612.12,$17953.93,NA,NA,NA,NA,NA,NA,$15612.12,$15612.12,NA,NA,NA,$15612.12,NA,NA,NA,NA,NA,NA,NA,$17953.93,$15612.12,NA,$15612.12,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-A,NA,NA,$18467.73,$21237.89,NA,NA,NA,NA,NA,NA,$18467.73,$18467.73,NA,NA,NA,$18467.73,NA,NA,NA,NA,NA,NA,NA,$21237.89,$18467.73,NA,$18467.73,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-B,NA,NA,$25731.29,$29590.98,NA,NA,NA,NA,NA,NA,$25731.29,$25731.29,NA,NA,NA,$25731.29,NA,NA,NA,NA,NA,NA,NA,$29590.98,$25731.29,NA,$25731.29,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-C,NA,NA,$20607.02,$23698.08,NA,NA,NA,NA,NA,NA,$20607.02,$20607.02,NA,NA,NA,$20607.02,NA,NA,NA,NA,NA,NA,NA,$23698.08,$20607.02,NA,$20607.02,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-D,NA,NA,$19251.98,$22139.77,NA,NA,NA,NA,NA,NA,$19251.98,$19251.98,NA,NA,NA,$19251.98,NA,NA,NA,NA,NA,NA,NA,$22139.77,$19251.98,NA,$19251.98,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-A,NA,NA,$21443.01,$24659.46,NA,NA,NA,NA,NA,NA,$21443.01,$21443.01,NA,NA,NA,$21443.01,NA,NA,NA,NA,NA,NA,NA,$24659.46,$21443.01,NA,$21443.01,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-B,NA,NA,$29875.66,$34357.00,NA,NA,NA,NA,NA,NA,$29875.66,$29875.66,NA,NA,NA,$29875.66,NA,NA,NA,NA,NA,NA,NA,$34357.00,$29875.66,NA,$29875.66,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-C,NA,NA,$23925.10,$27513.87,NA,NA,NA,NA,NA,NA,$23925.10,$23925.10,NA,NA,NA,$23925.10,NA,NA,NA,NA,NA,NA,NA,$27513.87,$23925.10,NA,$23925.10,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-D,NA,NA,$22351.76,$25704.53,NA,NA,NA,NA,NA,NA,$22351.76,$22351.76,NA,NA,NA,$22351.76,NA,NA,NA,NA,NA,NA,NA,$25704.53,$22351.76,NA,$22351.76,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-A,NA,NA,$24861.34,$28590.55,NA,NA,NA,NA,NA,NA,$24861.34,$24861.34,NA,NA,NA,$24861.34,NA,NA,NA,NA,NA,NA,NA,$28590.55,$24861.34,NA,$24861.34,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-B,NA,NA,$34637.71,$39833.37,NA,NA,NA,NA,NA,NA,$34637.71,$34637.71,NA,NA,NA,$34637.71,NA,NA,NA,NA,NA,NA,NA,$39833.37,$34637.71,NA,$34637.71,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-C,NA,NA,$27737.98,$31898.68,NA,NA,NA,NA,NA,NA,$27737.98,$27737.98,NA,NA,NA,$27737.98,NA,NA,NA,NA,NA,NA,NA,$31898.68,$27737.98,NA,$27737.98,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-D,NA,NA,$25915.63,$29802.97,NA,NA,NA,NA,NA,NA,$25915.63,$25915.63,NA,NA,NA,$25915.63,NA,NA,NA,NA,NA,NA,NA,$29802.97,$25915.63,NA,$25915.63,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-A,NA,NA,$12981.26,$14928.45,NA,NA,NA,NA,NA,NA,$12981.26,$12981.26,NA,NA,NA,$12981.26,NA,NA,NA,NA,NA,NA,NA,$14928.45,$12981.26,NA,$12981.26,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-B,NA,NA,$15990.49,$18389.07,NA,NA,NA,NA,NA,NA,$15990.49,$15990.49,NA,NA,NA,$15990.49,NA,NA,NA,NA,NA,NA,NA,$18389.07,$15990.49,NA,$15990.49,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-C,NA,NA,$15990.49,$18389.07,NA,NA,NA,NA,NA,NA,$15990.49,$15990.49,NA,NA,NA,$15990.49,NA,NA,NA,NA,NA,NA,NA,$18389.07,$15990.49,NA,$15990.49,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-D,NA,NA,$14422.01,$16585.31,NA,NA,NA,NA,NA,NA,$14422.01,$14422.01,NA,NA,NA,$14422.01,NA,NA,NA,NA,NA,NA,NA,$16585.31,$14422.01,NA,$14422.01,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-A,NA,NA,$14540.05,$16721.05,NA,NA,NA,NA,NA,NA,$14540.05,$14540.05,NA,NA,NA,$14540.05,NA,NA,NA,NA,NA,NA,NA,$16721.05,$14540.05,NA,$14540.05,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-B,NA,NA,$17913.10,$20600.07,NA,NA,NA,NA,NA,NA,$17913.10,$17913.10,NA,NA,NA,$17913.10,NA,NA,NA,NA,NA,NA,NA,$20600.07,$17913.10,NA,$17913.10,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-C,NA,NA,$17913.10,$20600.07,NA,NA,NA,NA,NA,NA,$17913.10,$17913.10,NA,NA,NA,$17913.10,NA,NA,NA,NA,NA,NA,NA,$20600.07,$17913.10,NA,$17913.10,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-D,NA,NA,$16155.43,$18578.74,NA,NA,NA,NA,NA,NA,$16155.43,$16155.43,NA,NA,NA,$16155.43,NA,NA,NA,NA,NA,NA,NA,$18578.74,$16155.43,NA,$16155.43,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-A,NA,NA,$17769.19,$20434.57,NA,NA,NA,NA,NA,NA,$17769.19,$17769.19,NA,NA,NA,$17769.19,NA,NA,NA,NA,NA,NA,NA,$20434.57,$17769.19,NA,$17769.19,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-B,NA,NA,$21890.92,$25174.56,NA,NA,NA,NA,NA,NA,$21890.92,$21890.92,NA,NA,NA,$21890.92,NA,NA,NA,NA,NA,NA,NA,$25174.56,$21890.92,NA,$21890.92,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-C,NA,NA,$21890.92,$25174.56,NA,NA,NA,NA,NA,NA,$21890.92,$21890.92,NA,NA,NA,$21890.92,NA,NA,NA,NA,NA,NA,NA,$25174.56,$21890.92,NA,$21890.92,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-D,NA,NA,$19741.93,$22703.22,NA,NA,NA,NA,NA,NA,$19741.93,$19741.93,NA,NA,NA,$19741.93,NA,NA,NA,NA,NA,NA,NA,$22703.22,$19741.93,NA,$19741.93,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-A,NA,NA,$22578.14,$25964.86,NA,NA,NA,NA,NA,NA,$22578.14,$22578.14,NA,NA,NA,$22578.14,NA,NA,NA,NA,NA,NA,NA,$25964.86,$22578.14,NA,$22578.14,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-B,NA,NA,$27813.98,$31986.08,NA,NA,NA,NA,NA,NA,$27813.98,$27813.98,NA,NA,NA,$27813.98,NA,NA,NA,NA,NA,NA,NA,$31986.08,$27813.98,NA,$27813.98,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-C,NA,NA,$27813.98,$31986.08,NA,NA,NA,NA,NA,NA,$27813.98,$27813.98,NA,NA,NA,$27813.98,NA,NA,NA,NA,NA,NA,NA,$31986.08,$27813.98,NA,$27813.98,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-D,NA,NA,$25084.49,$28847.16,NA,NA,NA,NA,NA,NA,$25084.49,$25084.49,NA,NA,NA,$25084.49,NA,NA,NA,NA,NA,NA,NA,$28847.16,$25084.49,NA,$25084.49,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-A,NA,NA,$14604.73,$16795.43,NA,NA,NA,NA,NA,NA,$14604.73,$14604.73,NA,NA,NA,$14604.73,NA,NA,NA,NA,NA,NA,NA,$16795.43,$14604.73,NA,$14604.73,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-B,NA,NA,$22492.44,$25866.31,NA,NA,NA,NA,NA,NA,$22492.44,$22492.44,NA,NA,NA,$22492.44,NA,NA,NA,NA,NA,NA,NA,$25866.31,$22492.44,NA,$22492.44,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-C,NA,NA,$17644.68,$20291.38,NA,NA,NA,NA,NA,NA,$17644.68,$17644.68,NA,NA,NA,$17644.68,NA,NA,NA,NA,NA,NA,NA,$20291.38,$17644.68,NA,$17644.68,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-D,NA,NA,$16039.00,$18444.85,NA,NA,NA,NA,NA,NA,$16039.00,$16039.00,NA,NA,NA,$16039.00,NA,NA,NA,NA,NA,NA,NA,$18444.85,$16039.00,NA,$16039.00,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-A,NA,NA,$17837.10,$20512.67,NA,NA,NA,NA,NA,NA,$17837.10,$17837.10,NA,NA,NA,$17837.10,NA,NA,NA,NA,NA,NA,NA,$20512.67,$17837.10,NA,$17837.10,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-B,NA,NA,$27469.56,$31590.00,NA,NA,NA,NA,NA,NA,$27469.56,$27469.56,NA,NA,NA,$27469.56,NA,NA,NA,NA,NA,NA,NA,$31590.00,$27469.56,NA,$27469.56,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-C,NA,NA,$21551.35,$24784.05,NA,NA,NA,NA,NA,NA,$21551.35,$21551.35,NA,NA,NA,$21551.35,NA,NA,NA,NA,NA,NA,NA,$24784.05,$21551.35,NA,$21551.35,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-D,NA,NA,$19589.93,$22528.42,NA,NA,NA,NA,NA,NA,$19589.93,$19589.93,NA,NA,NA,$19589.93,NA,NA,NA,NA,NA,NA,NA,$22528.42,$19589.93,NA,$19589.93,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-A,NA,NA,$21145.48,$24317.31,NA,NA,NA,NA,NA,NA,$21145.48,$21145.48,NA,NA,NA,$21145.48,NA,NA,NA,NA,NA,NA,NA,$24317.31,$21145.48,NA,$21145.48,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-B,NA,NA,$32566.34,$37451.29,NA,NA,NA,NA,NA,NA,$32566.34,$32566.34,NA,NA,NA,$32566.34,NA,NA,NA,NA,NA,NA,NA,$37451.29,$32566.34,NA,$32566.34,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-C,NA,NA,$25546.95,$29378.99,NA,NA,NA,NA,NA,NA,$25546.95,$25546.95,NA,NA,NA,$25546.95,NA,NA,NA,NA,NA,NA,NA,$29378.99,$25546.95,NA,$25546.95,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-D,NA,NA,$23223.33,$26706.82,NA,NA,NA,NA,NA,NA,$23223.33,$23223.33,NA,NA,NA,$23223.33,NA,NA,NA,NA,NA,NA,NA,$26706.82,$23223.33,NA,$23223.33,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-A,NA,NA,$23391.49,$26900.22,NA,NA,NA,NA,NA,NA,$23391.49,$23391.49,NA,NA,NA,$23391.49,NA,NA,NA,NA,NA,NA,NA,$26900.22,$23391.49,NA,$23391.49,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-B,NA,NA,$36025.10,$41428.86,NA,NA,NA,NA,NA,NA,$36025.10,$36025.10,NA,NA,NA,$36025.10,NA,NA,NA,NA,NA,NA,NA,$41428.86,$36025.10,NA,$36025.10,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-C,NA,NA,$28261.89,$32501.17,NA,NA,NA,NA,NA,NA,$28261.89,$28261.89,NA,NA,NA,$28261.89,NA,NA,NA,NA,NA,NA,NA,$32501.17,$28261.89,NA,$28261.89,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-D,NA,NA,$25690.86,$29544.49,NA,NA,NA,NA,NA,NA,$25690.86,$25690.86,NA,NA,NA,$25690.86,NA,NA,NA,NA,NA,NA,NA,$29544.49,$25690.86,NA,$25690.86,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-A,NA,NA,$25666.61,$29516.60,NA,NA,NA,NA,NA,NA,$25666.61,$25666.61,NA,NA,NA,$25666.61,NA,NA,NA,NA,NA,NA,NA,$29516.60,$25666.61,NA,$25666.61,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-B,NA,NA,$39530.75,$45460.36,NA,NA,NA,NA,NA,NA,$39530.75,$39530.75,NA,NA,NA,$39530.75,NA,NA,NA,NA,NA,NA,NA,$45460.36,$39530.75,NA,$39530.75,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-C,NA,NA,$31012.40,$35664.27,NA,NA,NA,NA,NA,NA,$31012.40,$31012.40,NA,NA,NA,$31012.40,NA,NA,NA,NA,NA,NA,NA,$35664.27,$31012.40,NA,$31012.40,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-D,NA,NA,$28190.74,$32419.35,NA,NA,NA,NA,NA,NA,$28190.74,$28190.74,NA,NA,NA,$28190.74,NA,NA,NA,NA,NA,NA,NA,$32419.35,$28190.74,NA,$28190.74,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-A,NA,NA,$13227.04,$15211.10,NA,NA,NA,NA,NA,NA,$13227.04,$13227.04,NA,NA,NA,$13227.04,NA,NA,NA,NA,NA,NA,NA,$15211.10,$13227.04,NA,$13227.04,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-B,NA,NA,$20020.05,$23023.06,NA,NA,NA,NA,NA,NA,$20020.05,$20020.05,NA,NA,NA,$20020.05,NA,NA,NA,NA,NA,NA,NA,$23023.06,$20020.05,NA,$20020.05,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-C,NA,NA,$15880.54,$18262.62,NA,NA,NA,NA,NA,NA,$15880.54,$15880.54,NA,NA,NA,$15880.54,NA,NA,NA,NA,NA,NA,NA,$18262.62,$15880.54,NA,$15880.54,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-D,NA,NA,$14261.92,$16401.21,NA,NA,NA,NA,NA,NA,$14261.92,$14261.92,NA,NA,NA,$14261.92,NA,NA,NA,NA,NA,NA,NA,$16401.21,$14261.92,NA,$14261.92,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-A,NA,NA,$16845.89,$19372.77,NA,NA,NA,NA,NA,NA,$16845.89,$16845.89,NA,NA,NA,$16845.89,NA,NA,NA,NA,NA,NA,NA,$19372.77,$16845.89,NA,$16845.89,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-B,NA,NA,$25495.21,$29319.49,NA,NA,NA,NA,NA,NA,$25495.21,$25495.21,NA,NA,NA,$25495.21,NA,NA,NA,NA,NA,NA,NA,$29319.49,$25495.21,NA,$25495.21,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-C,NA,NA,$20222.18,$23255.50,NA,NA,NA,NA,NA,NA,$20222.18,$20222.18,NA,NA,NA,$20222.18,NA,NA,NA,NA,NA,NA,NA,$23255.50,$20222.18,NA,$20222.18,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-D,NA,NA,$18162.12,$20886.44,NA,NA,NA,NA,NA,NA,$18162.12,$18162.12,NA,NA,NA,$18162.12,NA,NA,NA,NA,NA,NA,NA,$20886.44,$18162.12,NA,$18162.12,NA,NA,NA
