Encompass Health Lakeshore Rehabilitation Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,BC FEP (BCFD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,BCBS OF AL MEDICARE ADVAN (BCAD) negotiated charge,BCBS OF ALABAMA (BCAL) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL (CVL) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,COVENTRY-NATIONAL (CHCN) negotiated charge,COVENTRY-SOUTHCARE (CHC) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,HEALTH CHOICE OF ALABAMA (HEAK) negotiated charge,HEALTHSPRING MEDICARE (HLSM) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,MULTIPLAN (MUL) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,ONECALL MEDICAL (OCL) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,TRICARE (TRI) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,UNITED MINE WORKERS (UMW) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-B,NA,NA,$22789.96,$27587.85,NA,NA,NA,NA,NA,$22789.96,NA,NA,NA,$23989.43,NA,NA,NA,NA,NA,NA,NA,NA,$23989.43,NA,$23989.43,NA,NA,NA,NA,$27587.85,$23989.43,$23989.43,NA,$22789.96,$23989.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-C,NA,NA,$19101.72,$23123.13,NA,NA,NA,NA,NA,$19101.72,NA,NA,NA,$20107.07,NA,NA,NA,NA,NA,NA,NA,NA,$20107.07,NA,$20107.07,NA,NA,NA,NA,$23123.13,$20107.07,$20107.07,NA,$19101.72,$20107.07,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-D,NA,NA,$17141.58,$20750.33,NA,NA,NA,NA,NA,$17141.58,NA,NA,NA,$18043.77,NA,NA,NA,NA,NA,NA,NA,NA,$18043.77,NA,$18043.77,NA,NA,NA,NA,$20750.33,$18043.77,$18043.77,NA,$17141.58,$18043.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-A,NA,NA,$18501.01,$22395.96,NA,NA,NA,NA,NA,$18501.01,NA,NA,NA,$19474.74,NA,NA,NA,NA,NA,NA,NA,NA,$19474.74,NA,$19474.74,NA,NA,NA,NA,$22395.96,$19474.74,$19474.74,NA,$18501.01,$19474.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-B,NA,NA,$26630.52,$32236.94,NA,NA,NA,NA,NA,$26630.52,NA,NA,NA,$28032.12,NA,NA,NA,NA,NA,NA,NA,NA,$28032.12,NA,$28032.12,NA,NA,NA,NA,$32236.94,$28032.12,$28032.12,NA,$26630.52,$28032.12,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-C,NA,NA,$22321.63,$27020.93,NA,NA,NA,NA,NA,$22321.63,NA,NA,NA,$23496.46,NA,NA,NA,NA,NA,NA,NA,NA,$23496.46,NA,$23496.46,NA,NA,NA,NA,$27020.93,$23496.46,$23496.46,NA,$22321.63,$23496.46,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-D,NA,NA,$20031.25,$24248.36,NA,NA,NA,NA,NA,$20031.25,NA,NA,NA,$21085.53,NA,NA,NA,NA,NA,NA,NA,NA,$21085.53,NA,$21085.53,NA,NA,NA,NA,$24248.36,$21085.53,$21085.53,NA,$20031.25,$21085.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-A,NA,NA,$21804.91,$26395.42,NA,NA,NA,NA,NA,$21804.91,NA,NA,NA,$22952.54,NA,NA,NA,NA,NA,NA,NA,NA,$22952.54,NA,$22952.54,NA,NA,NA,NA,$26395.42,$22952.54,$22952.54,NA,$21804.91,$22952.54,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-B,NA,NA,$31386.37,$37994.03,NA,NA,NA,NA,NA,$31386.37,NA,NA,NA,$33038.29,NA,NA,NA,NA,NA,NA,NA,NA,$33038.29,NA,$33038.29,NA,NA,NA,NA,$37994.03,$33038.29,$33038.29,NA,$31386.37,$33038.29,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-C,NA,NA,$26307.39,$31845.78,NA,NA,NA,NA,NA,$26307.39,NA,NA,NA,$27691.99,NA,NA,NA,NA,NA,NA,NA,NA,$27691.99,NA,$27691.99,NA,NA,NA,NA,$31845.78,$27691.99,$27691.99,NA,$26307.39,$27691.99,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-D,NA,NA,$23608.46,$28578.67,NA,NA,NA,NA,NA,$23608.46,NA,NA,NA,$24851.01,NA,NA,NA,NA,NA,NA,NA,NA,$24851.01,NA,$24851.01,NA,NA,NA,NA,$28578.67,$24851.01,$24851.01,NA,$23608.46,$24851.01,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-A,NA,NA,$13964.37,$16904.23,NA,NA,NA,NA,NA,$13964.37,NA,NA,NA,$14699.33,NA,NA,NA,NA,NA,NA,NA,NA,$14699.33,NA,$14699.33,NA,NA,NA,NA,$16904.23,$14699.33,$14699.33,NA,$13964.37,$14699.33,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-B,NA,NA,$18503.85,$22399.40,NA,NA,NA,NA,NA,$18503.85,NA,NA,NA,$19477.74,NA,NA,NA,NA,NA,NA,NA,NA,$19477.74,NA,$19477.74,NA,NA,NA,NA,$22399.40,$19477.74,$19477.74,NA,$18503.85,$19477.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-C,NA,NA,$16488.20,$19959.40,NA,NA,NA,NA,NA,$16488.20,NA,NA,NA,$17356.00,NA,NA,NA,NA,NA,NA,NA,NA,$17356.00,NA,$17356.00,NA,NA,NA,NA,$19959.40,$17356.00,$17356.00,NA,$16488.20,$17356.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-D,NA,NA,$14401.38,$17433.24,NA,NA,NA,NA,NA,$14401.38,NA,NA,NA,$15159.34,NA,NA,NA,NA,NA,NA,NA,NA,$15159.34,NA,$15159.34,NA,NA,NA,NA,$17433.24,$15159.34,$15159.34,NA,$14401.38,$15159.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-A,NA,NA,$18657.59,$22585.50,NA,NA,NA,NA,NA,$18657.59,NA,NA,NA,$19639.57,NA,NA,NA,NA,NA,NA,NA,NA,$19639.57,NA,$19639.57,NA,NA,NA,NA,$22585.50,$19639.57,$19639.57,NA,$18657.59,$19639.57,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-B,NA,NA,$24721.63,$29926.18,NA,NA,NA,NA,NA,$24721.63,NA,NA,NA,$26022.76,NA,NA,NA,NA,NA,NA,NA,NA,$26022.76,NA,$26022.76,NA,NA,NA,NA,$29926.18,$26022.76,$26022.76,NA,$24721.63,$26022.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-C,NA,NA,$22029.82,$26667.68,NA,NA,NA,NA,NA,$22029.82,NA,NA,NA,$23189.28,NA,NA,NA,NA,NA,NA,NA,NA,$23189.28,NA,$23189.28,NA,NA,NA,NA,$26667.68,$23189.28,$23189.28,NA,$22029.82,$23189.28,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-D,NA,NA,$19241.22,$23292.00,NA,NA,NA,NA,NA,$19241.22,NA,NA,NA,$20253.91,NA,NA,NA,NA,NA,NA,NA,NA,$20253.91,NA,$20253.91,NA,NA,NA,NA,$23292.00,$20253.91,$20253.91,NA,$19241.22,$20253.91,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-A,NA,NA,$20965.06,$25378.75,NA,NA,NA,NA,NA,$20965.06,NA,NA,NA,$22068.48,NA,NA,NA,NA,NA,NA,NA,NA,$22068.48,NA,$22068.48,NA,NA,NA,NA,$25378.75,$22068.48,$22068.48,NA,$20965.06,$22068.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-B,NA,NA,$27779.27,$33627.53,NA,NA,NA,NA,NA,$27779.27,NA,NA,NA,$29241.33,NA,NA,NA,NA,NA,NA,NA,NA,$29241.33,NA,$29241.33,NA,NA,NA,NA,$33627.53,$29241.33,$29241.33,NA,$27779.27,$29241.33,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-C,NA,NA,$24754.37,$29965.81,NA,NA,NA,NA,NA,$24754.37,NA,NA,NA,$26057.23,NA,NA,NA,NA,NA,NA,NA,NA,$26057.23,NA,$26057.23,NA,NA,NA,NA,$29965.81,$26057.23,$26057.23,NA,$24754.37,$26057.23,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-D,NA,NA,$21619.86,$26171.41,NA,NA,NA,NA,NA,$21619.86,NA,NA,NA,$22757.74,NA,NA,NA,NA,NA,NA,NA,NA,$22757.74,NA,$22757.74,NA,NA,NA,NA,$26171.41,$22757.74,$22757.74,NA,$21619.86,$22757.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-A,NA,NA,$12409.92,$15022.54,NA,NA,NA,NA,NA,$12409.92,NA,NA,NA,$13063.08,NA,NA,NA,NA,NA,NA,NA,NA,$13063.08,NA,$13063.08,NA,NA,NA,NA,$15022.54,$13063.08,$13063.08,NA,$12409.92,$13063.08,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-B,NA,NA,$20286.05,$24556.80,NA,NA,NA,NA,NA,$20286.05,NA,NA,NA,$21353.74,NA,NA,NA,NA,NA,NA,NA,NA,$21353.74,NA,$21353.74,NA,NA,NA,NA,$24556.80,$21353.74,$21353.74,NA,$20286.05,$21353.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-C,NA,NA,$13515.97,$16361.44,NA,NA,NA,NA,NA,$13515.97,NA,NA,NA,$14227.34,NA,NA,NA,NA,NA,NA,NA,NA,$14227.34,NA,$14227.34,NA,NA,NA,NA,$16361.44,$14227.34,$14227.34,NA,$13515.97,$14227.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-D,NA,NA,$13515.97,$16361.44,NA,NA,NA,NA,NA,$13515.97,NA,NA,NA,$14227.34,NA,NA,NA,NA,NA,NA,NA,NA,$14227.34,NA,$14227.34,NA,NA,NA,NA,$16361.44,$14227.34,$14227.34,NA,$13515.97,$14227.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-A,NA,NA,$15592.83,$18875.53,NA,NA,NA,NA,NA,$15592.83,NA,NA,NA,$16413.51,NA,NA,NA,NA,NA,NA,NA,NA,$16413.51,NA,$16413.51,NA,NA,NA,NA,$18875.53,$16413.51,$16413.51,NA,$15592.83,$16413.51,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-B,NA,NA,$25490.31,$30856.69,NA,NA,NA,NA,NA,$25490.31,NA,NA,NA,$26831.90,NA,NA,NA,NA,NA,NA,NA,NA,$26831.90,NA,$26831.90,NA,NA,NA,NA,$30856.69,$26831.90,$26831.90,NA,$25490.31,$26831.90,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-C,NA,NA,$16982.15,$20557.34,NA,NA,NA,NA,NA,$16982.15,NA,NA,NA,$17875.95,NA,NA,NA,NA,NA,NA,NA,NA,$17875.95,NA,$17875.95,NA,NA,NA,NA,$20557.34,$17875.95,$17875.95,NA,$16982.15,$17875.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-D,NA,NA,$16982.15,$20557.34,NA,NA,NA,NA,NA,$16982.15,NA,NA,NA,$17875.95,NA,NA,NA,NA,NA,NA,NA,NA,$17875.95,NA,$17875.95,NA,NA,NA,NA,$20557.34,$17875.95,$17875.95,NA,$16982.15,$17875.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-A,NA,NA,$18126.63,$21942.76,NA,NA,NA,NA,NA,$18126.63,NA,NA,NA,$19080.66,NA,NA,NA,NA,NA,NA,NA,NA,$19080.66,NA,$19080.66,NA,NA,NA,NA,$21942.76,$19080.66,$19080.66,NA,$18126.63,$19080.66,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-B,NA,NA,$29629.80,$35867.65,NA,NA,NA,NA,NA,$29629.80,NA,NA,NA,$31189.26,NA,NA,NA,NA,NA,NA,NA,NA,$31189.26,NA,$31189.26,NA,NA,NA,NA,$35867.65,$31189.26,$31189.26,NA,$29629.80,$31189.26,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-C,NA,NA,$19739.44,$23895.11,NA,NA,NA,NA,NA,$19739.44,NA,NA,NA,$20778.35,NA,NA,NA,NA,NA,NA,NA,NA,$20778.35,NA,$20778.35,NA,NA,NA,NA,$23895.11,$20778.35,$20778.35,NA,$19739.44,$20778.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-D,NA,NA,$19739.44,$23895.11,NA,NA,NA,NA,NA,$19739.44,NA,NA,NA,$20778.35,NA,NA,NA,NA,NA,NA,NA,NA,$20778.35,NA,$20778.35,NA,NA,NA,NA,$23895.11,$20778.35,$20778.35,NA,$19739.44,$20778.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-A,NA,NA,$19050.47,$23061.10,NA,NA,NA,NA,NA,$19050.47,NA,NA,NA,$20053.13,NA,NA,NA,NA,NA,NA,NA,NA,$20053.13,NA,$20053.13,NA,NA,NA,NA,$23061.10,$20053.13,$20053.13,NA,$19050.47,$20053.13,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-B,NA,NA,$31141.53,$37697.65,NA,NA,NA,NA,NA,$31141.53,NA,NA,NA,$32780.56,NA,NA,NA,NA,NA,NA,NA,NA,$32780.56,NA,$32780.56,NA,NA,NA,NA,$37697.65,$32780.56,$32780.56,NA,$31141.53,$32780.56,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-C,NA,NA,$20747.26,$25115.11,NA,NA,NA,NA,NA,$20747.26,NA,NA,NA,$21839.22,NA,NA,NA,NA,NA,NA,NA,NA,$21839.22,NA,$21839.22,NA,NA,NA,NA,$25115.11,$21839.22,$21839.22,NA,$20747.26,$21839.22,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-D,NA,NA,$20747.26,$25115.11,NA,NA,NA,NA,NA,$20747.26,NA,NA,NA,$21839.22,NA,NA,NA,NA,NA,NA,NA,NA,$21839.22,NA,$21839.22,NA,NA,NA,NA,$25115.11,$21839.22,$21839.22,NA,$20747.26,$21839.22,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-A,NA,NA,$11170.07,$13521.66,NA,NA,NA,NA,NA,$11170.07,NA,NA,NA,$11757.97,NA,NA,NA,NA,NA,NA,NA,NA,$11757.97,NA,$11757.97,NA,NA,NA,NA,$13521.66,$11757.97,$11757.97,NA,$11170.07,$11757.97,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-B,NA,NA,$16052.62,$19432.11,NA,NA,NA,NA,NA,$16052.62,NA,NA,NA,$16897.49,NA,NA,NA,NA,NA,NA,NA,NA,$16897.49,NA,$16897.49,NA,NA,NA,NA,$19432.11,$16897.49,$16897.49,NA,$16052.62,$16897.49,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-C,NA,NA,$13254.05,$16044.37,NA,NA,NA,NA,NA,$13254.05,NA,NA,NA,$13951.63,NA,NA,NA,NA,NA,NA,NA,NA,$13951.63,NA,$13951.63,NA,NA,NA,NA,$16044.37,$13951.63,$13951.63,NA,$13254.05,$13951.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-D,NA,NA,$12582.16,$15231.04,NA,NA,NA,NA,NA,$12582.16,NA,NA,NA,$13244.38,NA,NA,NA,NA,NA,NA,NA,NA,$13244.38,NA,$13244.38,NA,NA,NA,NA,$15231.04,$13244.38,$13244.38,NA,$12582.16,$13244.38,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-A,NA,NA,$15283.94,$18501.61,NA,NA,NA,NA,NA,$15283.94,NA,NA,NA,$16088.35,NA,NA,NA,NA,NA,NA,NA,NA,$16088.35,NA,$16088.35,NA,NA,NA,NA,$18501.61,$16088.35,$16088.35,NA,$15283.94,$16088.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-B,NA,NA,$21962.92,$26586.69,NA,NA,NA,NA,NA,$21962.92,NA,NA,NA,$23118.86,NA,NA,NA,NA,NA,NA,NA,NA,$23118.86,NA,$23118.86,NA,NA,NA,NA,$26586.69,$23118.86,$23118.86,NA,$21962.92,$23118.86,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-C,NA,NA,$18135.17,$21953.10,NA,NA,NA,NA,NA,$18135.17,NA,NA,NA,$19089.65,NA,NA,NA,NA,NA,NA,NA,NA,$19089.65,NA,$19089.65,NA,NA,NA,NA,$21953.10,$19089.65,$19089.65,NA,$18135.17,$19089.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-D,NA,NA,$17215.60,$20839.94,NA,NA,NA,NA,NA,$17215.60,NA,NA,NA,$18121.69,NA,NA,NA,NA,NA,NA,NA,NA,$18121.69,NA,$18121.69,NA,NA,NA,NA,$20839.94,$18121.69,$18121.69,NA,$17215.60,$18121.69,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-A,NA,NA,$17618.45,$21327.59,NA,NA,NA,NA,NA,$17618.45,NA,NA,NA,$18545.73,NA,NA,NA,NA,NA,NA,NA,NA,$18545.73,NA,$18545.73,NA,NA,NA,NA,$21327.59,$18545.73,$18545.73,NA,$17618.45,$18545.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-B,NA,NA,$25318.07,$30648.19,NA,NA,NA,NA,NA,$25318.07,NA,NA,NA,$26650.60,NA,NA,NA,NA,NA,NA,NA,NA,$26650.60,NA,$26650.60,NA,NA,NA,NA,$30648.19,$26650.60,$26650.60,NA,$25318.07,$26650.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-C,NA,NA,$20905.27,$25306.38,NA,NA,NA,NA,NA,$20905.27,NA,NA,NA,$22005.55,NA,NA,NA,NA,NA,NA,NA,NA,$22005.55,NA,$22005.55,NA,NA,NA,NA,$25306.38,$22005.55,$22005.55,NA,$20905.27,$22005.55,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-D,NA,NA,$19844.77,$24022.62,NA,NA,NA,NA,NA,$19844.77,NA,NA,NA,$20889.24,NA,NA,NA,NA,NA,NA,NA,NA,$20889.24,NA,$20889.24,NA,NA,NA,NA,$24022.62,$20889.24,$20889.24,NA,$19844.77,$20889.24,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-A,NA,NA,$20422.71,$24722.23,NA,NA,NA,NA,NA,$20422.71,NA,NA,NA,$21497.59,NA,NA,NA,NA,NA,NA,NA,NA,$21497.59,NA,$21497.59,NA,NA,NA,NA,$24722.23,$21497.59,$21497.59,NA,$20422.71,$21497.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-B,NA,NA,$29347.95,$35526.46,NA,NA,NA,NA,NA,$29347.95,NA,NA,NA,$30892.57,NA,NA,NA,NA,NA,NA,NA,NA,$30892.57,NA,$30892.57,NA,NA,NA,NA,$35526.46,$30892.57,$30892.57,NA,$29347.95,$30892.57,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-C,NA,NA,$24233.37,$29335.13,NA,NA,NA,NA,NA,$24233.37,NA,NA,NA,$25508.81,NA,NA,NA,NA,NA,NA,NA,NA,$25508.81,NA,$25508.81,NA,NA,NA,NA,$29335.13,$25508.81,$25508.81,NA,$24233.37,$25508.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-D,NA,NA,$23004.91,$27848.04,NA,NA,NA,NA,NA,$23004.91,NA,NA,NA,$24215.69,NA,NA,NA,NA,NA,NA,NA,NA,$24215.69,NA,$24215.69,NA,NA,NA,NA,$27848.04,$24215.69,$24215.69,NA,$23004.91,$24215.69,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-A,NA,NA,$20678.94,$25032.40,NA,NA,NA,NA,NA,$20678.94,NA,NA,NA,$21767.30,NA,NA,NA,NA,NA,NA,NA,NA,$21767.30,NA,$21767.30,NA,NA,NA,NA,$25032.40,$21767.30,$21767.30,NA,$20678.94,$21767.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-B,NA,NA,$29716.63,$35972.76,NA,NA,NA,NA,NA,$29716.63,NA,NA,NA,$31280.66,NA,NA,NA,NA,NA,NA,NA,NA,$31280.66,NA,$31280.66,NA,NA,NA,NA,$35972.76,$31280.66,$31280.66,NA,$29716.63,$31280.66,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-C,NA,NA,$24536.57,$29702.17,NA,NA,NA,NA,NA,$24536.57,NA,NA,NA,$25827.97,NA,NA,NA,NA,NA,NA,NA,NA,$25827.97,NA,$25827.97,NA,NA,NA,NA,$29702.17,$25827.97,$25827.97,NA,$24536.57,$25827.97,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-D,NA,NA,$23292.45,$28196.12,NA,NA,NA,NA,NA,$23292.45,NA,NA,NA,$24518.37,NA,NA,NA,NA,NA,NA,NA,NA,$24518.37,NA,$24518.37,NA,NA,NA,NA,$28196.12,$24518.37,$24518.37,NA,$23292.45,$24518.37,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-A,NA,NA,$10797.12,$13070.19,NA,NA,NA,NA,NA,$10797.12,NA,NA,NA,$11365.39,NA,NA,NA,NA,NA,NA,NA,NA,$11365.39,NA,$11365.39,NA,NA,NA,NA,$13070.19,$11365.39,$11365.39,NA,$10797.12,$11365.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-B,NA,NA,$16307.42,$19740.56,NA,NA,NA,NA,NA,$16307.42,NA,NA,NA,$17165.70,NA,NA,NA,NA,NA,NA,NA,NA,$17165.70,NA,$17165.70,NA,NA,NA,NA,$19740.56,$17165.70,$17165.70,NA,$16307.42,$17165.70,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-C,NA,NA,$13369.35,$16183.95,NA,NA,NA,NA,NA,$13369.35,NA,NA,NA,$14073.00,NA,NA,NA,NA,NA,NA,NA,NA,$14073.00,NA,$14073.00,NA,NA,NA,NA,$16183.95,$14073.00,$14073.00,NA,$13369.35,$14073.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-D,NA,NA,$12066.86,$14607.26,NA,NA,NA,NA,NA,$12066.86,NA,NA,NA,$12701.96,NA,NA,NA,NA,NA,NA,NA,NA,$12701.96,NA,$12701.96,NA,NA,NA,NA,$14607.26,$12701.96,$12701.96,NA,$12066.86,$12701.96,NA,NA,NA,NA
