Encompass Health Rehabilitation Hospital of Sunrise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,AVMED HEALTH MEDICARE (AVMM) negotiated charge,AVMED HEALTH PLAN (AVMD) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREPLUS HEALTH MEDICARE (CPHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,COVENTRY HEALTHCARE (CHC) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA EXCHANGE (HUMZ) negotiated charge,HUMANA MEDICAID (HUMD) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,INTEGRA GROUP WC (INTW) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,VISTA HEALTH PLAN (VIS) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-B,NA,NA,$23330.33,$28241.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24558.24,NA,NA,NA,NA,NA,NA,NA,$24558.24,NA,NA,NA,NA,NA,NA,NA,$24558.24,NA,NA,$28241.98,$24558.24,NA,$24558.24,$24558.24,NA,$23330.33,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-C,NA,NA,$18774.30,$22726.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19762.43,NA,NA,NA,NA,NA,NA,NA,$19762.43,NA,NA,NA,NA,NA,NA,NA,$19762.43,NA,NA,$22726.79,$19762.43,NA,$19762.43,$19762.43,NA,$18774.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-D,NA,NA,$16814.74,$20354.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17699.73,NA,NA,NA,NA,NA,NA,NA,$17699.73,NA,NA,NA,NA,NA,NA,NA,$17699.73,NA,NA,$20354.68,$17699.73,NA,$17699.73,$17699.73,NA,$16814.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-A,NA,NA,$18049.12,$21848.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18999.08,NA,NA,NA,NA,NA,NA,NA,$18999.08,NA,NA,NA,NA,NA,NA,NA,$18999.08,NA,NA,$21848.94,$18999.08,NA,$18999.08,$18999.08,NA,$18049.12,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-B,NA,NA,$26888.45,$32549.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28303.63,NA,NA,NA,NA,NA,NA,NA,$28303.63,NA,NA,NA,NA,NA,NA,NA,$28303.63,NA,NA,$32549.17,$28303.63,NA,$28303.63,$28303.63,NA,$26888.45,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-C,NA,NA,$21638.77,$26194.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22777.65,NA,NA,NA,NA,NA,NA,NA,$22777.65,NA,NA,NA,NA,NA,NA,NA,$22777.65,NA,NA,$26194.30,$22777.65,NA,$22777.65,$22777.65,NA,$21638.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-D,NA,NA,$19379.67,$23459.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20399.66,NA,NA,NA,NA,NA,NA,NA,$20399.66,NA,NA,NA,NA,NA,NA,NA,$20399.66,NA,NA,$23459.60,$20399.66,NA,$20399.66,$20399.66,NA,$19379.67,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-A,NA,NA,$21031.82,$25459.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22138.76,NA,NA,NA,NA,NA,NA,NA,$22138.76,NA,NA,NA,NA,NA,NA,NA,$22138.76,NA,NA,$25459.58,$22138.76,NA,$22138.76,$22138.76,NA,$21031.82,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-B,NA,NA,$31330.97,$37926.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32979.97,NA,NA,NA,NA,NA,NA,NA,$32979.97,NA,NA,NA,NA,NA,NA,NA,$32979.97,NA,NA,$37926.96,$32979.97,NA,$32979.97,$32979.97,NA,$31330.97,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-C,NA,NA,$25214.23,$30522.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26541.29,NA,NA,NA,NA,NA,NA,NA,$26541.29,NA,NA,NA,NA,NA,NA,NA,$26541.29,NA,NA,$30522.48,$26541.29,NA,$26541.29,$26541.29,NA,$25214.23,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-D,NA,NA,$22581.50,$27335.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23770.00,NA,NA,NA,NA,NA,NA,NA,$23770.00,NA,NA,NA,NA,NA,NA,NA,$23770.00,NA,NA,$27335.51,$23770.00,NA,$23770.00,$23770.00,NA,$22581.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-A,NA,NA,$13042.22,$15787.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13728.65,NA,NA,NA,NA,NA,NA,NA,$13728.65,NA,NA,NA,NA,NA,NA,NA,$13728.65,NA,NA,$15787.95,$13728.65,NA,$13728.65,$13728.65,NA,$13042.22,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-B,NA,NA,$19092.75,$23112.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20097.64,NA,NA,NA,NA,NA,NA,NA,$20097.64,NA,NA,NA,NA,NA,NA,NA,$20097.64,NA,NA,$23112.28,$20097.64,NA,$20097.64,$20097.64,NA,$19092.75,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-C,NA,NA,$15214.61,$18417.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16015.38,NA,NA,NA,NA,NA,NA,NA,$16015.38,NA,NA,NA,NA,NA,NA,NA,$16015.38,NA,NA,$18417.69,$16015.38,NA,$16015.38,$16015.38,NA,$15214.61,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-D,NA,NA,$14398.00,$17429.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15155.78,NA,NA,NA,NA,NA,NA,NA,$15155.78,NA,NA,NA,NA,NA,NA,NA,$15155.78,NA,NA,$17429.15,$15155.78,NA,$15155.78,$15155.78,NA,$14398.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-A,NA,NA,$16239.32,$19658.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17094.03,NA,NA,NA,NA,NA,NA,NA,$17094.03,NA,NA,NA,NA,NA,NA,NA,$17094.03,NA,NA,$19658.13,$17094.03,NA,$17094.03,$17094.03,NA,$16239.32,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-B,NA,NA,$23770.17,$28774.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25021.23,NA,NA,NA,NA,NA,NA,NA,$25021.23,NA,NA,NA,NA,NA,NA,NA,$25021.23,NA,NA,$28774.42,$25021.23,NA,$25021.23,$25021.23,NA,$23770.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-C,NA,NA,$18941.41,$22929.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19938.33,NA,NA,NA,NA,NA,NA,NA,$19938.33,NA,NA,NA,NA,NA,NA,NA,$19938.33,NA,NA,$22929.08,$19938.33,NA,$19938.33,$19938.33,NA,$18941.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-D,NA,NA,$17926.16,$21700.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18869.64,NA,NA,NA,NA,NA,NA,NA,$18869.64,NA,NA,NA,NA,NA,NA,NA,$18869.64,NA,NA,$21700.09,$18869.64,NA,$18869.64,$18869.64,NA,$17926.16,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-A,NA,NA,$19110.09,$23133.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20115.89,NA,NA,NA,NA,NA,NA,NA,$20115.89,NA,NA,NA,NA,NA,NA,NA,$20115.89,NA,NA,$23133.27,$20115.89,NA,$20115.89,$20115.89,NA,$19110.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-B,NA,NA,$27973.07,$33862.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29445.33,NA,NA,NA,NA,NA,NA,NA,$29445.33,NA,NA,NA,NA,NA,NA,NA,$29445.33,NA,NA,$33862.13,$29445.33,NA,$29445.33,$29445.33,NA,$27973.07,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-C,NA,NA,$22289.86,$26982.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23463.01,NA,NA,NA,NA,NA,NA,NA,$23463.01,NA,NA,NA,NA,NA,NA,NA,$23463.01,NA,NA,$26982.46,$23463.01,NA,$23463.01,$23463.01,NA,$22289.86,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-D,NA,NA,$21096.46,$25537.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22206.80,NA,NA,NA,NA,NA,NA,NA,$22206.80,NA,NA,NA,NA,NA,NA,NA,$22206.80,NA,NA,$25537.82,$22206.80,NA,$22206.80,$22206.80,NA,$21096.46,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-A,NA,NA,$21941.45,$26560.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23096.27,NA,NA,NA,NA,NA,NA,NA,$23096.27,NA,NA,NA,NA,NA,NA,NA,$23096.27,NA,NA,$26560.71,$23096.27,NA,$23096.27,$23096.27,NA,$21941.45,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-B,NA,NA,$32117.63,$38879.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33808.04,NA,NA,NA,NA,NA,NA,NA,$33808.04,NA,NA,NA,NA,NA,NA,NA,$33808.04,NA,NA,$38879.24,$33808.04,NA,$33808.04,$33808.04,NA,$32117.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-C,NA,NA,$25594.16,$30982.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26941.22,NA,NA,NA,NA,NA,NA,NA,$26941.22,NA,NA,NA,NA,NA,NA,NA,$26941.22,NA,NA,$30982.40,$26941.22,NA,$26941.22,$26941.22,NA,$25594.16,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-D,NA,NA,$24222.62,$29322.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25497.50,NA,NA,NA,NA,NA,NA,NA,$25497.50,NA,NA,NA,NA,NA,NA,NA,$25497.50,NA,NA,$29322.12,$25497.50,NA,$25497.50,$25497.50,NA,$24222.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-A,NA,NA,$14194.63,$17182.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14941.71,NA,NA,NA,NA,NA,NA,NA,$14941.71,NA,NA,NA,NA,NA,NA,NA,$14941.71,NA,NA,$17182.97,$14941.71,NA,$14941.71,$14941.71,NA,$14194.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-B,NA,NA,$20431.19,$24732.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21506.51,NA,NA,NA,NA,NA,NA,NA,$21506.51,NA,NA,NA,NA,NA,NA,NA,$21506.51,NA,NA,$24732.49,$21506.51,NA,$21506.51,$21506.51,NA,$20431.19,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-C,NA,NA,$17125.31,$20730.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18026.64,NA,NA,NA,NA,NA,NA,NA,$18026.64,NA,NA,NA,NA,NA,NA,NA,$18026.64,NA,NA,$20730.63,$18026.64,NA,$18026.64,$18026.64,NA,$17125.31,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-D,NA,NA,$15367.53,$18602.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16176.35,NA,NA,NA,NA,NA,NA,NA,$16176.35,NA,NA,NA,NA,NA,NA,NA,$16176.35,NA,NA,$18602.80,$16176.35,NA,$16176.35,$16176.35,NA,$15367.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-A,NA,NA,$17535.19,$21226.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18458.10,NA,NA,NA,NA,NA,NA,NA,$18458.10,NA,NA,NA,NA,NA,NA,NA,$18458.10,NA,NA,$21226.81,$18458.10,NA,$18458.10,$18458.10,NA,$17535.19,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-B,NA,NA,$25239.45,$30553.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26567.84,NA,NA,NA,NA,NA,NA,NA,$26567.84,NA,NA,NA,NA,NA,NA,NA,$26567.84,NA,NA,$30553.02,$26567.84,NA,$26567.84,$26567.84,NA,$25239.45,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-C,NA,NA,$21154.79,$25608.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22268.20,NA,NA,NA,NA,NA,NA,NA,$22268.20,NA,NA,NA,NA,NA,NA,NA,$22268.20,NA,NA,$25608.43,$22268.20,NA,$22268.20,$22268.20,NA,$21154.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-D,NA,NA,$18983.98,$22980.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19983.13,NA,NA,NA,NA,NA,NA,NA,$19983.13,NA,NA,NA,NA,NA,NA,NA,$19983.13,NA,NA,$22980.60,$19983.13,NA,$19983.13,$19983.13,NA,$18983.98,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-A,NA,NA,$20489.52,$24803.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21567.91,NA,NA,NA,NA,NA,NA,NA,$21567.91,NA,NA,NA,NA,NA,NA,NA,$21567.91,NA,NA,$24803.10,$21567.91,NA,$21567.91,$21567.91,NA,$20489.52,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-B,NA,NA,$29492.79,$35701.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31045.05,NA,NA,NA,NA,NA,NA,NA,$31045.05,NA,NA,NA,NA,NA,NA,NA,$31045.05,NA,NA,$35701.80,$31045.05,NA,$31045.05,$31045.05,NA,$29492.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-C,NA,NA,$24720.79,$29925.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26021.88,NA,NA,NA,NA,NA,NA,NA,$26021.88,NA,NA,NA,NA,NA,NA,NA,$26021.88,NA,NA,$29925.16,$26021.88,NA,$26021.88,$26021.88,NA,$24720.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-D,NA,NA,$22184.23,$26854.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23351.82,NA,NA,NA,NA,NA,NA,NA,$23351.82,NA,NA,NA,NA,NA,NA,NA,$23351.82,NA,NA,$26854.60,$23351.82,NA,$23351.82,$23351.82,NA,$22184.23,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-A,NA,NA,$24148.53,$29232.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25419.50,NA,NA,NA,NA,NA,NA,NA,$25419.50,NA,NA,NA,NA,NA,NA,NA,$25419.50,NA,NA,$29232.43,$25419.50,NA,$25419.50,$25419.50,NA,$24148.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-B,NA,NA,$34759.82,$42077.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36589.28,NA,NA,NA,NA,NA,NA,NA,$36589.28,NA,NA,NA,NA,NA,NA,NA,$36589.28,NA,NA,$42077.67,$36589.28,NA,$36589.28,$36589.28,NA,$34759.82,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-C,NA,NA,$29134.93,$35268.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30668.35,NA,NA,NA,NA,NA,NA,NA,$30668.35,NA,NA,NA,NA,NA,NA,NA,$30668.35,NA,NA,$35268.60,$30668.35,NA,$30668.35,$30668.35,NA,$29134.93,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-D,NA,NA,$26145.93,$31650.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27522.03,NA,NA,NA,NA,NA,NA,NA,$27522.03,NA,NA,NA,NA,NA,NA,NA,$27522.03,NA,NA,$31650.33,$27522.03,NA,$27522.03,$27522.03,NA,$26145.93,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-A,NA,NA,$15465.27,$18721.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16279.23,NA,NA,NA,NA,NA,NA,NA,$16279.23,NA,NA,NA,NA,NA,NA,NA,$16279.23,NA,NA,$18721.12,$16279.23,NA,$16279.23,$16279.23,NA,$15465.27,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-B,NA,NA,$20492.67,$24806.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21571.23,NA,NA,NA,NA,NA,NA,NA,$21571.23,NA,NA,NA,NA,NA,NA,NA,$21571.23,NA,NA,$24806.91,$21571.23,NA,$21571.23,$21571.23,NA,$20492.67,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-C,NA,NA,$18260.37,$22104.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19221.44,NA,NA,NA,NA,NA,NA,NA,$19221.44,NA,NA,NA,NA,NA,NA,NA,$19221.44,NA,NA,$22104.66,$19221.44,NA,$19221.44,$19221.44,NA,$18260.37,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-D,NA,NA,$15949.25,$19306.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16788.69,NA,NA,NA,NA,NA,NA,NA,$16788.69,NA,NA,NA,NA,NA,NA,NA,$16788.69,NA,NA,$19306.99,$16788.69,NA,$16788.69,$16788.69,NA,$15949.25,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-A,NA,NA,$20662.93,$25013.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21750.45,NA,NA,NA,NA,NA,NA,NA,$21750.45,NA,NA,NA,NA,NA,NA,NA,$21750.45,NA,NA,$25013.02,$21750.45,NA,$21750.45,$21750.45,NA,$20662.93,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-B,NA,NA,$27378.73,$33142.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28819.72,NA,NA,NA,NA,NA,NA,NA,$28819.72,NA,NA,NA,NA,NA,NA,NA,$28819.72,NA,NA,$33142.68,$28819.72,NA,$28819.72,$28819.72,NA,$27378.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-C,NA,NA,$24397.61,$29533.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25681.69,NA,NA,NA,NA,NA,NA,NA,$25681.69,NA,NA,NA,NA,NA,NA,NA,$25681.69,NA,NA,$29533.95,$25681.69,NA,$25681.69,$25681.69,NA,$24397.61,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-D,NA,NA,$21309.28,$25795.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22430.83,NA,NA,NA,NA,NA,NA,NA,$22430.83,NA,NA,NA,NA,NA,NA,NA,$22430.83,NA,NA,$25795.45,$22430.83,NA,$22430.83,$22430.83,NA,$21309.28,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-A,NA,NA,$23218.40,$28106.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24440.42,NA,NA,NA,NA,NA,NA,NA,$24440.42,NA,NA,NA,NA,NA,NA,NA,$24440.42,NA,NA,$28106.49,$24440.42,NA,$24440.42,$24440.42,NA,$23218.40,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-B,NA,NA,$30765.01,$37241.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32384.23,NA,NA,NA,NA,NA,NA,NA,$32384.23,NA,NA,NA,NA,NA,NA,NA,$32384.23,NA,NA,$37241.86,$32384.23,NA,$32384.23,$32384.23,NA,$30765.01,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-C,NA,NA,$27414.99,$33186.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28857.89,NA,NA,NA,NA,NA,NA,NA,$28857.89,NA,NA,NA,NA,NA,NA,NA,$28857.89,NA,NA,$33186.57,$28857.89,NA,$28857.89,$28857.89,NA,$27414.99,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-D,NA,NA,$23943.58,$28984.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25203.77,NA,NA,NA,NA,NA,NA,NA,$25203.77,NA,NA,NA,NA,NA,NA,NA,$25203.77,NA,NA,$28984.34,$25203.77,NA,$25203.77,$25203.77,NA,$23943.58,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-A,NA,NA,$13743.76,$16637.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14467.11,NA,NA,NA,NA,NA,NA,NA,$14467.11,NA,NA,NA,NA,NA,NA,NA,$14467.11,NA,NA,$16637.18,$14467.11,NA,$14467.11,$14467.11,NA,$13743.76,NA,NA,NA,NA
